date,county,state,fips,cases,deaths
2023-01-01,Abbeville,South Carolina,45001,7597,95
2023-01-01,Aiken,South Carolina,45003,50294,657
2023-01-01,Allendale,South Carolina,45005,2378,35
2023-01-01,Anderson,South Carolina,45007,67659,1066
2023-01-01,Bamberg,South Carolina,45009,4153,76
2023-01-01,Barnwell,South Carolina,45011,6618,105
2023-01-01,Beaufort,South Carolina,45013,52192,405
2023-01-01,Berkeley,South Carolina,45015,64135,516
2023-01-01,Calhoun,South Carolina,45017,3455,61
2023-01-01,Charleston,South Carolina,45019,134632,1004
2023-01-01,Cherokee,South Carolina,45021,17776,329
2023-01-01,Chester,South Carolina,45023,12134,170
2023-01-01,Chesterfield,South Carolina,45025,14366,216
2023-01-01,Clarendon,South Carolina,45027,10471,171
2023-01-01,Colleton,South Carolina,45029,10901,225
2023-01-01,Darlington,South Carolina,45031,21621,336
2023-01-01,Dillon,South Carolina,45033,11350,151
2023-01-01,Dorchester,South Carolina,45035,67973,540
2023-01-01,Edgefield,South Carolina,45037,8086,100
2023-01-01,Fairfield,South Carolina,45039,7336,112
2023-01-01,Florence,South Carolina,45041,48951,676
2023-01-01,Georgetown,South Carolina,45043,19042,262
2023-01-01,Greenville,South Carolina,45045,201123,2091
2023-01-01,Greenwood,South Carolina,45047,25946,323
2023-01-01,Hampton,South Carolina,45049,5832,87
2023-01-01,Horry,South Carolina,45051,117319,1245
2023-01-01,Jasper,South Carolina,45053,6991,107
2023-01-01,Kershaw,South Carolina,45055,26643,273
2023-01-01,Lancaster,South Carolina,45057,30408,324
2023-01-01,Laurens,South Carolina,45059,22317,318
2023-01-01,Lee,South Carolina,45061,4938,118
2023-01-01,Lexington,South Carolina,45063,119149,929
2023-01-01,Marion,South Carolina,45067,10317,179
2023-01-01,Marlboro,South Carolina,45069,9525,137
2023-01-01,McCormick,South Carolina,45065,2674,41
2023-01-01,Newberry,South Carolina,45071,15884,214
2023-01-01,Oconee,South Carolina,45073,28318,371
2023-01-01,Orangeburg,South Carolina,45075,28527,436
2023-01-01,Pickens,South Carolina,45077,52897,662
2023-01-01,Richland,South Carolina,45079,154518,1000
2023-01-01,Saluda,South Carolina,45081,4448,86
2023-01-01,Spartanburg,South Carolina,45083,113011,1597
2023-01-01,Sumter,South Carolina,45085,34079,421
2023-01-01,Union,South Carolina,45087,9411,159
2023-01-01,Williamsburg,South Carolina,45089,9988,168
2023-01-01,York,South Carolina,45091,92676,791
2023-01-02,Abbeville,South Carolina,45001,7597,95
2023-01-02,Aiken,South Carolina,45003,50294,657
2023-01-02,Allendale,South Carolina,45005,2378,35
2023-01-02,Anderson,South Carolina,45007,67659,1066
