County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
Abbeville,11/11/2020,1.008956951,1.028666711,6,2,11,5
Abbeville,11/12/2020,1.014360484,1.020366349,6,1,11,5
Abbeville,11/13/2020,1.022783295,1.006967972,6,2,11,6
Abbeville,11/14/2020,1.077973112,1.000260326,5,1,10,4
Abbeville,11/15/2020,1.111923313,0.989852384,5,1,10,4
Abbeville,11/16/2020,1.044362457,0.985681911,5,1,10,4
Abbeville,11/17/2020,1.050521535,0.978781032,5,1,10,4
Abbeville,11/18/2020,1.05592095,0.975289403,5,1,10,5
Abbeville,11/19/2020,1.062792008,0.979160913,5,1,10,5
Abbeville,11/20/2020,1.073072436,0.981167282,5,2,10,5
Abbeville,11/21/2020,1.084519928,0.980367998,5,1,10,6
Abbeville,11/22/2020,1.099323816,0.97714882,5,1,10,7
Abbeville,11/23/2020,1.117083856,0.978991421,5,1,10,6
Abbeville,11/24/2020,1.138993527,0.991086486,5,1,9,7
Abbeville,11/25/2020,1.161904961,1.061851176,5,2,10,7
Abbeville,11/26/2020,1.187179295,1.074663153,6,1,11,7
Abbeville,11/27/2020,1.213600324,1.08378522,6,2,11,7
Abbeville,11/28/2020,1.238116591,1.092703346,6,2,11,8
Abbeville,11/29/2020,1.257843672,1.128475396,7,2,12,7
Abbeville,11/30/2020,1.270478235,1.107297777,7,2,12,8
Abbeville,12/1/2020,1.275171528,1.113365382,7,2,13,7
Abbeville,12/2/2020,1.272838508,1.141498736,7,3,13,6
Abbeville,12/3/2020,1.262802335,1.115476342,7,2,12,8
Abbeville,12/4/2020,1.245555946,1.158101039,7,3,12,8
Abbeville,12/5/2020,1.222452548,1.118792534,7,3,14,10
Abbeville,12/6/2020,1.195289806,1.098798147,7,2,13,11
Abbeville,12/7/2020,1.167828338,1.197312143,8,3,14,12
Abbeville,12/8/2020,1.141747603,1.081692075,8,3,13,12
Abbeville,12/9/2020,1.117178285,1.159140883,9,4,16,11
Abbeville,12/10/2020,1.096021229,1.148958449,10,4,17,11
Abbeville,12/11/2020,1.07698205,1.140135772,10,4,17,11
Abbeville,12/12/2020,1.063191495,1.132257051,11,5,18,10
Abbeville,12/13/2020,1.053523015,1.095684231,11,5,19,10
Abbeville,12/14/2020,1.046360123,1.123352212,12,6,19,9
Abbeville,12/15/2020,1.039417758,1.103311827,12,6,19,10
Abbeville,12/16/2020,1.033688625,1.079774551,12,5,18,10
Abbeville,12/17/2020,1.029248365,1.11765332,12,6,19,10
Abbeville,12/18/2020,1.024076193,1.066551908,11,5,19,10
Abbeville,12/19/2020,1.017262877,1.116569334,12,6,20,9
Abbeville,12/20/2020,1.011442316,1.134288333,13,6,20,11
Abbeville,12/21/2020,1.005236985,1.002099119,11,5,19,10
Abbeville,12/22/2020,0.999674117,1.119828098,13,7,21,10
Abbeville,12/23/2020,0.997022701,0.997151593,10,4,16,10
Abbeville,12/24/2020,0.998693539,0.98729028,10,4,16,12
Abbeville,12/25/2020,1.004757518,0.985391154,10,4,16,10
Abbeville,12/26/2020,1.013137333,0.981578253,10,4,16,9
Abbeville,12/27/2020,1.023841593,0.97889241,10,4,17,10
Abbeville,12/28/2020,1.037481258,0.985172535,10,4,17,9
Abbeville,12/29/2020,1.052824325,0.984978148,10,4,17,10
Abbeville,12/30/2020,1.068428585,0.981727699,10,4,17,9
Abbeville,12/31/2020,1.08415821,0.992654572,10,4,17,8
Abbeville,1/1/2021,1.100500496,0.983662669,10,4,17,8
Abbeville,1/2/2021,1.114150503,0.997459262,10,4,16,8
Abbeville,1/3/2021,1.126080324,1.002214251,10,5,17,6
Abbeville,1/4/2021,1.134553016,0.9636023,10,4,16,7
Abbeville,1/5/2021,1.138261602,1.001342133,10,5,17,6
Abbeville,1/6/2021,1.136798492,1.085946475,9,3,15,7
Abbeville,1/7/2021,1.13205056,1.090233875,9,4,16,8
Abbeville,1/8/2021,1.123001782,1.086433369,8,3,15,10
Abbeville,1/9/2021,1.111791038,1.084036818,8,3,14,11
Abbeville,1/10/2021,1.099083378,1.090468512,8,3,14,13
Abbeville,1/11/2021,1.083788021,1.077243703,8,3,14,13
Abbeville,1/12/2021,1.067047848,1.081834974,8,3,14,12
Abbeville,1/13/2021,1.04998942,1.103545696,9,3,15,14
Abbeville,1/14/2021,1.03248901,1.086935112,9,4,15,16
Abbeville,1/15/2021,1.014159883,1.103521269,9,4,16,16
Abbeville,1/16/2021,0.995027414,1.079646493,9,4,16,16
Abbeville,1/17/2021,0.973642357,1.059672191,9,4,15,16
Abbeville,1/18/2021,1.011785645,1.205436659,10,4,18,16
Abbeville,1/19/2021,1.042509848,1.065165602,9,4,16,17
Abbeville,1/20/2021,0.994065696,1.090950579,16,8,23,24
Abbeville,1/21/2021,0.953108017,1.069380395,16,9,25,25
Abbeville,1/22/2021,0.919222833,1.082937707,17,9,26,26
Abbeville,1/23/2021,0.896256202,1.095895378,18,10,26,30
Abbeville,1/24/2021,0.853845805,1.065943997,17,10,26,30
Abbeville,1/25/2021,0.85408457,1.085897499,18,10,27,31
Abbeville,1/26/2021,0.858852905,1.070816954,18,10,27,32
Abbeville,1/27/2021,0.868811905,1.049425125,18,10,26,23
Abbeville,1/28/2021,0.88385593,1.10251695,19,11,28,20
Abbeville,1/29/2021,0.903585241,1.05462848,18,10,27,21
Abbeville,1/30/2021,0.925680871,1.079527636,19,11,28,21
Abbeville,1/31/2021,0.946003114,1.063564192,19,11,28,19
Abbeville,2/1/2021,0.96473619,0.913622585,17,9,25,19
Abbeville,2/2/2021,0.981006133,1.109184756,20,12,29,18
Aiken,11/11/2020,1.002441209,0.912849477,30,20,41,36
Aiken,11/12/2020,0.992638276,0.908184261,31,20,42,36
Aiken,11/13/2020,0.984221641,0.91618293,32,21,43,36
Aiken,11/14/2020,0.777977114,0.88848604,31,21,42,41
Aiken,11/15/2020,0.785639376,0.883202047,31,21,42,43
Aiken,11/16/2020,0.970767487,0.914359634,31,21,43,48
Aiken,11/17/2020,0.96755984,0.907594462,31,20,42,46
Aiken,11/18/2020,0.966950956,0.91627054,30,20,42,50
Aiken,11/19/2020,0.969252074,0.923946343,29,20,41,49
Aiken,11/20/2020,0.97620445,0.910784756,29,18,41,53
Aiken,11/21/2020,0.988213308,0.924741874,29,19,39,52
Aiken,11/22/2020,1.005457219,0.923265905,28,18,39,52
Aiken,11/23/2020,1.024251875,0.934137979,29,19,40,52
Aiken,11/24/2020,1.044876329,0.943686603,29,19,40,53
Aiken,11/25/2020,1.065947562,0.911831237,45,33,60,54
Aiken,11/26/2020,1.088975877,0.918064175,46,34,59,49
Aiken,11/27/2020,1.112578312,0.928842544,47,35,62,46
Aiken,11/28/2020,1.136729923,0.932578163,48,35,61,42
