County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
Abbeville,11/11/2020,0.969081798,1.028666711,6,2,11,5
Abbeville,11/12/2020,1.00180109,1.020366349,6,1,11,5
Abbeville,11/13/2020,1.041600331,1.006967972,6,2,11,6
Abbeville,11/14/2020,1.078090215,1.000260326,5,1,10,4
Abbeville,11/15/2020,1.112338193,0.989852384,5,1,10,4
Abbeville,11/16/2020,1.143248572,0.985681911,5,1,10,4
Abbeville,11/17/2020,1.171748902,0.978781032,5,1,10,4
Abbeville,11/18/2020,1.185376037,0.975289403,5,1,10,5
Abbeville,11/19/2020,1.191614116,0.979160913,5,1,10,5
Abbeville,11/20/2020,1.192434064,0.981167282,5,2,10,5
Abbeville,11/21/2020,1.188576433,0.980367998,5,1,10,6
Abbeville,11/22/2020,1.187234368,0.97714882,5,1,10,7
Abbeville,11/23/2020,1.186846094,0.978991421,5,1,10,6
Abbeville,11/24/2020,1.186248753,0.991086486,5,1,9,7
Abbeville,11/25/2020,1.176984886,0.98019506,5,1,10,7
Abbeville,11/26/2020,1.172326801,0.98288376,5,1,10,7
Abbeville,11/27/2020,1.168663273,0.985933688,5,1,10,7
Abbeville,11/28/2020,1.164207428,0.977960881,5,1,10,8
Abbeville,11/29/2020,1.157981861,0.975852942,5,1,10,7
Abbeville,11/30/2020,1.147282692,1.041157912,5,1,10,8
Abbeville,12/1/2020,1.130464691,1.032020066,5,1,10,7
Abbeville,12/2/2020,1.109679636,1.170883202,8,3,14,6
Abbeville,12/3/2020,1.085369862,1.179501105,9,3,15,8
Abbeville,12/4/2020,1.058000668,1.190481093,9,4,15,8
Abbeville,12/5/2020,1.033752689,1.202688247,9,4,15,10
Abbeville,12/6/2020,1.007111718,1.21436087,9,4,16,11
Abbeville,12/7/2020,0.983718926,1.199241418,10,4,16,12
Abbeville,12/8/2020,0.97009262,1.198392764,10,4,16,12
Abbeville,12/9/2020,0.962609926,1.202647088,10,4,17,11
Abbeville,12/10/2020,0.959259836,1.176175215,10,4,17,11
Abbeville,12/11/2020,0.962060703,1.197660432,11,5,18,11
Abbeville,12/12/2020,0.97240205,1.180386443,11,5,18,10
Abbeville,12/13/2020,0.987021316,1.187575369,12,5,18,10
Abbeville,12/14/2020,0.99889803,1.171912495,12,6,18,9
Abbeville,12/15/2020,1.005293152,1.190032301,12,6,20,10
Abbeville,12/16/2020,1.005187494,1.228905627,13,6,20,10
Abbeville,12/17/2020,1.001445457,1.190746417,13,6,21,10
Abbeville,12/18/2020,0.988842243,1.135076899,12,6,21,10
Abbeville,12/19/2020,0.967484983,1.202629234,14,7,21,9
Abbeville,12/20/2020,0.94425823,1.128772872,13,7,21,11
Abbeville,12/21/2020,0.918721468,1.198811158,15,8,23,10
Abbeville,12/22/2020,0.89433949,1.201530067,15,9,23,10
Abbeville,12/23/2020,0.874830532,0.996831469,10,4,16,10
Abbeville,12/24/2020,0.861793307,0.987453373,10,4,16,12
Abbeville,12/25/2020,0.860519343,0.985569229,10,4,16,10
Abbeville,12/26/2020,0.867929118,0.981952358,10,4,17,9
