,County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
1,Abbeville,11/11/2020,1.008956951,0.987048695,5.512,1,11,5
2,Abbeville,11/12/2020,1.014360484,0.999015283,5.282,1,10,5
3,Abbeville,11/13/2020,1.022783295,1.010993438,5.218,1,10,6
4,Abbeville,11/14/2020,1.077973112,1.021931977,5.332,1,11,4
5,Abbeville,11/15/2020,1.111923313,1.028923189,5.447,1,11,4
6,Abbeville,11/16/2020,1.044362457,1.034020036,5.45,1,11,4
7,Abbeville,11/17/2020,1.050521535,1.038736999,5.491,1,11,4
8,Aiken,11/11/2020,1.002441209,0.895947464,30.352,20,42,36
9,Aiken,11/12/2020,0.992638276,0.89609244,30.664,20,41,36
10,Aiken,11/13/2020,0.984221641,0.898326517,31.11,20,43,36
11,Aiken,11/14/2020,0.777977114,0.889242713,30.149,19,42,41
12,Aiken,11/15/2020,0.785639376,0.894184818,29.484,19,41,43
13,Aiken,11/16/2020,0.970767487,0.907567036,29.335,19,42,48
14,Aiken,11/17/2020,0.96755984,0.908612643,28.741,19,39.025,46
15,Allendale,11/11/2020,1.030487127,0.981069202,1.284,0,4,1
16,Allendale,11/12/2020,1.029686008,0.975946301,1.489,0,4,1
17,Allendale,11/13/2020,1.033531711,0.972406494,1.536,0,4,0
18,Allendale,11/14/2020,0.945602206,0.968979034,1.629,0,5,0
19,Allendale,11/15/2020,0.956099639,0.969235241,1.578,0,4.025,0
20,Allendale,11/16/2020,1.065908866,0.971483563,1.678,0,5,0
21,Allendale,11/17/2020,1.08020032,0.973800884,1.615,0,5,1
22,Anderson,11/11/2020,1.058496734,1.049292441,28.355,19,40,28
23,Anderson,11/12/2020,1.050874643,1.04635457,28.504,19,39,27
24,Anderson,11/13/2020,1.043988464,1.044265758,28.589,19,40,36
25,Anderson,11/14/2020,1.042334677,1.042451744,29.175,19,41,37
26,Anderson,11/15/2020,1.045527137,1.040213212,29.371,18,41,34
27,Anderson,11/16/2020,1.021068164,1.038175127,29.71,19,42,32
28,Anderson,11/17/2020,1.014508308,1.036349568,29.637,18,43,32
29,Bamberg,11/11/2020,1.12739556,1.14608569,0.314,0,2,1
30,Bamberg,11/12/2020,1.140261155,1.155263818,0.214,0,1,1
31,Bamberg,11/13/2020,1.150361768,1.158463144,0.196,0,1,1
32,Bamberg,11/14/2020,1.259174754,1.157911531,0.195,0,1,1
33,Bamberg,11/15/2020,1.274336042,1.152105086,0.181,0,2,2
34,Bamberg,11/16/2020,1.172188909,1.142022599,0.184,0,2,2
35,Bamberg,11/17/2020,1.176885932,1.129805104,0.205,0,2,2
36,Barnwell,11/11/2020,1.094724185,1.135554043,2.633,0,6,2
37,Barnwell,11/12/2020,1.097644951,1.12946081,2.405,0,6,2
38,Barnwell,11/13/2020,1.098088089,1.121602431,2.262,0,5,3
39,Barnwell,11/14/2020,1.068374277,1.112431343,2.311,0,6,4
40,Barnwell,11/15/2020,1.03928949,1.102851289,2.406,0,6,4
41,Barnwell,11/16/2020,1.107291821,1.092929143,2.328,0,6,4
42,Barnwell,11/17/2020,1.112984469,1.083975817,2.371,0,6,3
43,Beaufort,11/11/2020,1.126385337,1.118756278,19.167,11,29,14
44,Beaufort,11/12/2020,1.128850853,1.119029628,19.106,11,28,17
45,Beaufort,11/13/2020,1.12797409,1.117593348,19.732,11,29,18
46,Beaufort,11/14/2020,1.117789878,1.115651572,20.001,12,30,21
47,Beaufort,11/15/2020,1.118901467,1.111451897,20.596,12,31,24
48,Beaufort,11/16/2020,1.121992526,1.106387408,20.507,12,30.025,24
49,Beaufort,11/17/2020,1.120729639,1.100683173,21.121,12,32,26
50,Berkeley,11/11/2020,1.124063338,1.113425303,35,24,47.025,29
51,Berkeley,11/12/2020,1.115386254,1.106817376,36.426,25,48,31
52,Berkeley,11/13/2020,1.107063433,1.099011031,37.305,26,49.025,36
53,Berkeley,11/14/2020,1.094988088,1.090015488,38.21,27,51,39
54,Berkeley,11/15/2020,1.093927098,1.081510916,38.277,26,52,40
55,Berkeley,11/16/2020,1.077551614,1.07261568,39.145,26,53,40
56,Berkeley,11/17/2020,1.068586121,1.064291953,39.176,26.975,53,41
57,Calhoun,11/11/2020,1.040035027,1.009828238,24.073,15,34,20
58,Calhoun,11/12/2020,1.027833168,1.006455477,24.594,15,35,26
59,Calhoun,11/13/2020,1.012284339,1.003023698,24.116,15,34,26
60,Calhoun,11/14/2020,0.960749456,0.999642957,24.082,15,34,28
61,Calhoun,11/15/2020,0.957892774,0.997920796,23.988,14,34,3
62,Calhoun,11/16/2020,0.971093325,0.998028615,24.534,14,35,22
63,Calhoun,11/17/2020,0.960361978,0.998555866,23.954,14,35.025,19
