Date,Rt_actual,Rt_forecast,Case_actual,Case_forecast,Rt_lower95,Case_lower95,Rt_upper95,Case_upper95,County
11/11/2020,1.008956951,1.065281857,5,28.78684284,0.271653905,1,1.558984083,12,Abbeville
11/12/2020,1.014360484,1.065281846,5,29.72280216,0.271653905,0.975,1.558984083,12,Abbeville
11/13/2020,1.022783295,1.065281917,6,33.65580611,0.271653905,0,1.558984083,12,Abbeville
11/14/2020,1.077973112,1.065281846,4,32.93031074,0.271653905,0,1.558984083,13,Abbeville
11/15/2020,1.111923313,1.065281882,4,30.22053081,0.271653905,0,1.558984083,14,Abbeville
11/16/2020,1.044362457,1.065281923,4,34.04866027,0.271653905,0,1.558984083,15,Abbeville
11/17/2020,1.050521535,1.065281965,4,36.09546247,0.271653905,0,1.558984083,15,Abbeville
11/18/2020,1.05592095,0.98554287,5,38.93727848,0.401411969,0,1.737819037,10,Abbeville
11/19/2020,1.062792008,0.985542814,5,40.69418808,0.401411969,0,1.737819037,10,Abbeville
11/20/2020,1.073072436,0.985543116,5,45.66791032,0.401411969,0,1.737819037,10,Abbeville
11/21/2020,1.084519928,0.985542832,6,45.2683522,0.401411969,0,1.737819037,11,Abbeville
11/22/2020,1.099323816,0.985543115,7,42.37785258,0.401411969,0,1.737819037,12,Abbeville
11/23/2020,1.117083856,0.985542832,6,47.37208416,0.401411969,0,1.737819037,14,Abbeville
11/24/2020,1.138993527,0.985542855,7,50.27439212,0.401411969,0,1.737819037,15,Abbeville
11/25/2020,1.161904961,0.991608857,7,41.24256091,0.659624697,1,2.175836324,14,Abbeville
11/26/2020,1.187179295,0.991606042,7,42.17438069,0.659624697,1,2.175836324,16,Abbeville
11/27/2020,1.213600324,0.991608591,7,46.18386373,0.659624697,1,2.175836324,19,Abbeville
11/28/2020,1.238116591,0.991605184,8,44.5311653,0.659624697,1,2.175836324,21,Abbeville
11/29/2020,1.257843672,0.991608418,7,40.70219237,0.659624697,1,2.175836324,23.025,Abbeville
11/30/2020,1.270478235,0.991608426,8,44.07353949,0.659624697,1,2.175836324,30,Abbeville
12/1/2020,1.275171528,0.991608542,7,45.36318667,0.659624697,1,2.175836324,36,Abbeville
12/2/2020,1.272838508,1.013534502,6,36.3280314,0.60046433,2,1.796853073,16,Abbeville
12/3/2020,1.262802335,1.013533882,8,36.12966336,0.60046433,2,1.796853073,17,Abbeville
12/4/2020,1.245555946,1.013533961,8,39.07224538,0.60046433,2,1.796853073,19,Abbeville
12/5/2020,1.222452548,1.013534575,10,36.84124472,0.60046433,2,1.796853073,21,Abbeville
12/6/2020,1.195289806,1.013534043,11,33.71624742,0.60046433,2,1.796853073,24,Abbeville
12/7/2020,1.167828338,1.013534559,12,35.29727715,0.60046433,2,1.796853073,28,Abbeville
12/8/2020,1.141747603,1.013534504,12,35.40618537,0.60046433,2,1.796853073,31,Abbeville
12/9/2020,1.117178285,1.376415665,11,65.8221637,0.767792783,4,2.069166849,22,Abbeville
12/10/2020,1.096021229,1.376415699,11,71.35982975,0.767792783,4,2.069166849,26,Abbeville
12/11/2020,1.07698205,1.376415718,11,82.14123786,0.767792783,5,2.069166849,28,Abbeville
12/12/2020,1.063191495,1.376415597,10,85.96811086,0.767792783,4,2.069166849,33,Abbeville
12/13/2020,1.053523015,1.376415569,10,88.18848075,0.767792783,5,2.069166849,39,Abbeville
12/14/2020,1.046360123,1.376415583,9,98.76805309,0.767792783,4.975,2.069166849,47.025,Abbeville
12/15/2020,1.039417758,1.37641557,10,108.5279922,0.767792783,4,2.069166849,57.025,Abbeville
12/16/2020,1.033688625,1.107902694,10,68.49475759,0.54434836,4,1.418807702,20,Abbeville
12/17/2020,1.029248365,1.10790265,10,69.15030981,0.54434836,4,1.418807702,21,Abbeville
12/18/2020,1.024076193,1.107902789,10,74.70163456,0.54434836,4,1.418807702,22,Abbeville
12/19/2020,1.017262877,1.107902589,9,73.46819794,0.54434836,3,1.418807702,23,Abbeville
12/20/2020,1.011442316,1.107902549,11,69.45681159,0.54434836,3,1.418807702,25,Abbeville
12/21/2020,1.005236985,1.107902639,10,73.26601827,0.54434836,2,1.418807702,26,Abbeville
12/22/2020,0.999674117,1.107902807,10,76.09925875,0.54434836,2.975,1.418807702,28,Abbeville
12/23/2020,0.997022701,1.069752089,10,65.13906189,0.610668488,3,1.458474759,19,Abbeville
12/24/2020,0.998693539,1.069752121,12,64.30303561,0.610668488,3,1.458474759,19,Abbeville
12/25/2020,1.004757518,1.069752022,10,67.91137058,0.610668488,3,1.458474759,21,Abbeville
12/26/2020,1.013137333,1.069752113,9,65.70409876,0.610668488,3,1.458474759,21,Abbeville
12/27/2020,1.023841593,1.069752061,10,61.20709026,0.610668488,3,1.458474759,23,Abbeville
12/28/2020,1.037481258,1.069752058,9,61.85451621,0.610668488,3,1.458474759,24,Abbeville
12/29/2020,1.052824325,1.069752127,10,61.75601755,0.610668488,2,1.458474759,24,Abbeville
12/30/2020,1.068428585,1.02990184,9,66.59900279,0.668605924,3,1.403305141,18.025,Abbeville
12/31/2020,1.08415821,1.029902034,8,67.44649724,0.668605924,3,1.403305141,19,Abbeville
1/1/2021,1.100500496,1.02990195,8,71.62182245,0.668605924,3,1.403305141,19,Abbeville
1/2/2021,1.114150503,1.029901818,8,72.33240136,0.668605924,3,1.403305141,20,Abbeville
1/3/2021,1.126080324,1.029901838,6,72.48749192,0.668605924,3,1.403305141,21,Abbeville
1/4/2021,1.134553016,1.029901863,7,75.93198396,0.668605924,2,1.403305141,22,Abbeville
1/5/2021,1.138261602,1.02990185,6,78.88609322,0.668605924,3,1.403305141,23,Abbeville
1/6/2021,1.136798492,0.979546025,7,86.76893934,0.542376883,2,1.207151093,14,Abbeville
1/7/2021,1.13205056,0.979545887,8,91.5813638,0.542376883,2,1.207151093,14,Abbeville
1/8/2021,1.123001782,0.979545803,10,6.000000279,0.542376883,1,1.207151093,14,Abbeville
1/9/2021,1.111791038,0.979545988,11,106.5501134,0.542376883,1,1.207151093,14,Abbeville
1/10/2021,1.099083378,0.979546034,13,110.8608369,0.542376883,1,1.207151093,14,Abbeville
1/11/2021,1.083788021,0.979545826,13,6.000000001,0.542376883,1,1.207151093,14.025,Abbeville
1/12/2021,1.067047848,0.979545922,12,130.5641272,0.542376883,1,1.207151093,14,Abbeville
1/13/2021,1.04998942,1.045638864,14,96.70906206,0.84834578,4,2.000987426,21,Abbeville
1/14/2021,1.03248901,1.045638879,16,96.05452157,0.84834578,4,2.000987426,24,Abbeville
1/15/2021,1.014159883,1.045638938,16,98.9018041,0.84834578,5,2.000987426,28,Abbeville
1/16/2021,0.995027414,1.045639379,16,96.64103049,0.84834578,4,2.000987426,32,Abbeville
1/17/2021,0.973642357,1.045639019,16,90.65920458,0.84834578,4,2.000987426,38,Abbeville
1/18/2021,1.011785645,1.045638377,16,91.88856789,0.84834578,4,2.000987426,47,Abbeville
1/19/2021,1.042509848,1.045639538,17,92.54409301,0.84834578,4,2.000987426,54,Abbeville
1/20/2021,0.994065696,1.138231724,24,94.65151573,0.774349921,9,1.734662247,32,Abbeville
1/21/2021,0.953108017,1.13823171,25,96.95658935,0.774349921,9,1.734662247,34.025,Abbeville
1/22/2021,0.919222833,1.138231729,26,102.5919566,0.774349921,9.975,1.734662247,38,Abbeville
1/23/2021,0.896256202,1.138231717,30,104.9732623,0.774349921,9,1.734662247,42.025,Abbeville
1/24/2021,0.853845805,1.138231721,30,105.5657824,0.774349921,9,1.734662247,48,Abbeville
1/25/2021,0.85408457,1.138231701,31,108.6641506,0.774349921,8,1.734662247,53.025,Abbeville
1/26/2021,0.858852905,1.138231712,32,111.5136114,0.774349921,8,1.734662247,61,Abbeville
1/27/2021,0.868811905,1.339928608,23,77.19123144,0.922889122,22,1.842265377,56,Abbeville
1/28/2021,0.88385593,1.339931075,20,74.96140147,0.922889122,23,1.842265377,63,Abbeville
1/29/2021,0.903585241,1.339930755,21,74.48595499,0.922889122,24,1.842265377,71.025,Abbeville
1/30/2021,0.925680871,1.339930093,21,71.33364681,0.922889122,25,1.842265377,82,Abbeville
1/31/2021,0.946003114,1.339929376,19,66.60311686,0.922889122,26,1.842265377,97,Abbeville
2/1/2021,0.96473619,1.339931767,19,63.84367537,0.922889122,25,1.842265377,106.05,Abbeville
2/2/2021,0.981006133,1.339930908,18,61.48491162,0.922889122,24,1.842265377,125.025,Abbeville
11/11/2020,1.002441209,1.088922553,36,35.76229705,0.189977805,13,3.283071586,80,Aiken
11/12/2020,0.992638276,1.088922532,36,36.2874906,0.189977805,11,3.283071586,94,Aiken
11/13/2020,0.984221641,1.088922564,36,39.62715773,0.189977805,10,3.283071586,124.025,Aiken
11/14/2020,0.777977114,1.088922488,41,39.76903352,0.189977805,8,3.283071586,156.025,Aiken
11/15/2020,0.785639376,1.088922523,43,37.75581412,0.189977805,6,3.283071586,216.025,Aiken
11/16/2020,0.970767487,1.088922605,48,39.24737662,0.189977805,4,3.283071586,318,Aiken
11/17/2020,0.96755984,1.088922552,46,40.84483083,0.189977805,3,3.283071586,475.025,Aiken
11/18/2020,0.966950956,1.059914846,50,47.16130186,0.324121647,19,4.042094735,104,Aiken
11/19/2020,0.969252074,1.059914788,49,48.42961505,0.324121647,17,4.042094735,133,Aiken
11/20/2020,0.97620445,1.059914379,53,52.99483649,0.324121647,16,4.042094735,178.025,Aiken
11/21/2020,0.988213308,1.059914825,52,53.71106214,0.324121647,14,4.042094735,243.025,Aiken
11/22/2020,1.005457219,1.059914387,52,52.29283223,0.324121647,11.975,4.042094735,386.025,Aiken
11/23/2020,1.024251875,1.059914826,52,54.40826552,0.324121647,10,4.042094735,606.15,Aiken
11/24/2020,1.044876329,1.059914826,53,56.73577528,0.324121647,8,4.042094735,879.75,Aiken
11/25/2020,1.065947562,0.974889898,54,49.85691359,0.189731461,22,3.106528312,107.025,Aiken
11/26/2020,1.088975877,0.974893131,49,50.34553622,0.189731461,19.975,3.106528312,127.025,Aiken
11/27/2020,1.112578312,0.974890171,46,53.89319699,0.189731461,16,3.106528312,154.025,Aiken
11/28/2020,1.136729923,0.974894122,42,53.58402371,0.189731461,12,3.106528312,207.05,Aiken
11/29/2020,1.151377975,0.97489038,39,51.29836115,0.189731461,10,3.106528312,290.125,Aiken
11/30/2020,1.163525989,0.974890369,43,51.65583735,0.189731461,7,3.106528312,387.075,Aiken
12/1/2020,1.173287192,0.974890266,38,52.37447639,0.189731461,6,3.106528312,514.075,Aiken
12/2/2020,1.1779432,0.92291037,39,44.36642404,0.147814528,14,2.794043841,74,Aiken
12/3/2020,1.177556317,0.92291076,51,43.72446387,0.147814528,12,2.794043841,79,Aiken
12/4/2020,1.173513782,0.922910698,56,46.1629471,0.147814528,9,2.794043841,92,Aiken
12/5/2020,1.16272911,0.922910325,69,44.95119799,0.147814528,7,2.794043841,121,Aiken
12/6/2020,1.145230266,0.92291003,80,42.48055792,0.147814528,5,2.794043841,157.05,Aiken
12/7/2020,1.122105681,0.922910331,80,42.30061892,0.147814528,3,2.794043841,218.175,Aiken
12/8/2020,1.095048612,0.922910362,91,42.28460907,0.147814528,2,2.794043841,272.075,Aiken
12/9/2020,1.067777395,1.335672061,90,74.84137246,0.386115528,48.975,5.636286595,227.025,Aiken
12/10/2020,1.041100831,1.335672047,85,79.80918187,0.386115528,48,5.636286595,333.05,Aiken
12/11/2020,1.015873344,1.335672159,95,90.16377372,0.386115528,45,5.636286595,507,Aiken
12/12/2020,0.994564214,1.335672098,92,94.25692899,0.386115528,37.975,5.636286595,850.1,Aiken
12/13/2020,0.976135861,1.335672251,94,96.46758414,0.386115528,38,5.636286595,1631.4,Aiken
12/14/2020,0.960923007,1.335672364,94,105.1373692,0.386115528,31.975,5.636286595,2771.05,Aiken
12/15/2020,0.950060861,1.335672076,90,114.135447,0.386115528,26,5.636286595,5292.675,Aiken
12/16/2020,0.944232475,1.099770157,103,77.1269996,0.166734516,41,2.608505152,169,Aiken
12/17/2020,0.940726486,1.099769771,107,77.33482752,0.166734516,33,2.608505152,177.025,Aiken
12/18/2020,0.94141773,1.099770525,101,82.44547849,0.166734516,27.975,2.608505152,203.05,Aiken
12/19/2020,0.943153157,1.099769774,103,82.11976089,0.166734516,19,2.608505152,253,Aiken
12/20/2020,0.948223338,1.09976964,95,78.63210538,0.166734516,14,2.608505152,333,Aiken
12/21/2020,0.957149472,1.099769738,92,80.3073924,0.166734516,12,2.608505152,395.05,Aiken
12/22/2020,0.969718569,1.099770565,89,82.41334501,0.166734516,9,2.608505152,527.05,Aiken
12/23/2020,0.983962541,0.95943951,93,74.55259102,0.217824648,44,2.797105904,169.025,Aiken
12/24/2020,0.998692965,0.959439516,93,73.58341223,0.217824648,37,2.797105904,185,Aiken
12/25/2020,1.010535614,0.959439509,77,77.39400018,0.217824648,31,2.797105904,224.025,Aiken
12/26/2020,1.022559658,0.959439517,72,76.257864,0.217824648,26,2.797105904,289,Aiken
12/27/2020,1.031154441,0.959439511,88,72.26756272,0.217824648,19.975,2.797105904,372.125,Aiken
12/28/2020,1.036271652,0.959439512,88,71.48597632,0.217824648,15,2.797105904,496.325,Aiken
12/29/2020,1.034331805,0.959439514,91,71.19376585,0.217824648,12,2.797105904,687.075,Aiken
12/30/2020,1.025291746,1.122468705,77,75.01624305,0.418095109,42,4.795644579,183.025,Aiken
12/31/2020,1.010807746,1.122468389,83,75.42410902,0.418095109,40,4.795644579,239.025,Aiken
1/1/2021,0.997482285,1.122468486,83,79.61493971,0.418095109,37,4.795644579,323.025,Aiken
1/2/2021,0.984979418,1.122468764,93,80.15519477,0.418095109,31,4.795644579,524.45,Aiken
1/3/2021,0.974300286,1.122468702,101,79.88130008,0.418095109,28,4.795644579,849.85,Aiken
1/4/2021,0.968372351,1.122468626,105,82.24938764,0.418095109,24,4.795644579,1496.7,Aiken
1/5/2021,0.963301344,1.122468678,100,84.6951014,0.418095109,19,4.795644579,2509.4,Aiken
1/6/2021,0.962655525,1.089982812,97,93.89038173,0.368188782,56,3.269024467,202.025,Aiken
1/7/2021,0.965319742,1.08998268,95,97.91716118,0.368188782,54,3.269024467,251,Aiken
