Date,Rt_actual,Rt_forecast,Case_actual,Case_forecast,Rt_lower95,Case_lower95,Rt_upper95,Case_upper95,County
11/11/2020,1.008956951,0.837599112,5,5,0.271653905,1,1.558984083,12,Abbeville
11/12/2020,1.014360484,0.837599112,5,4,0.271653905,0.975,1.558984083,12,Abbeville
11/13/2020,1.022783295,0.837599112,6,4,0.271653905,0,1.558984083,12,Abbeville
11/14/2020,1.077973112,0.837599112,4,4,0.271653905,0,1.558984083,13,Abbeville
11/15/2020,1.111923313,0.837599112,4,4,0.271653905,0,1.558984083,14,Abbeville
11/16/2020,1.044362457,0.837599112,4,4,0.271653905,0,1.558984083,15,Abbeville
11/17/2020,1.050521535,0.837599112,4,3,0.271653905,0,1.558984083,15,Abbeville
11/18/2020,1.05592095,0.868137155,5,4,0.401411969,0,1.737819037,10,Abbeville
11/19/2020,1.062792008,0.868137155,5,4,0.401411969,0,1.737819037,10,Abbeville
11/20/2020,1.073072436,0.868137155,5,4,0.401411969,0,1.737819037,10,Abbeville
11/21/2020,1.084519928,0.868137155,6,3,0.401411969,0,1.737819037,11,Abbeville
11/22/2020,1.099323816,0.868137155,7,3,0.401411969,0,1.737819037,12,Abbeville
11/23/2020,1.117083856,0.868137155,6,3,0.401411969,0,1.737819037,14,Abbeville
11/24/2020,1.138993527,0.868137155,7,3,0.401411969,0,1.737819037,15,Abbeville
11/25/2020,1.161904961,1.0634676,7,6,0.659624697,1,2.175836324,14,Abbeville
11/26/2020,1.187179295,1.0634676,7,6,0.659624697,1,2.175836324,16,Abbeville
11/27/2020,1.213600324,1.0634676,7,6,0.659624697,1,2.175836324,19,Abbeville
11/28/2020,1.238116591,1.0634676,8,6,0.659624697,1,2.175836324,21,Abbeville
11/29/2020,1.257843672,1.0634676,7,6,0.659624697,1,2.175836324,23.025,Abbeville
11/30/2020,1.270478235,1.0634676,8,6,0.659624697,1,2.175836324,30,Abbeville
12/1/2020,1.275171528,1.0634676,7,6.5,0.659624697,1,2.175836324,36,Abbeville
12/2/2020,1.272838508,1.103149966,6,8,0.60046433,2,1.796853073,16,Abbeville
12/3/2020,1.262802335,1.103149966,8,8,0.60046433,2,1.796853073,17,Abbeville
12/4/2020,1.245555946,1.103149966,8,8,0.60046433,2,1.796853073,19,Abbeville
12/5/2020,1.222452548,1.103149966,10,8,0.60046433,2,1.796853073,21,Abbeville
12/6/2020,1.195289806,1.103149966,11,8,0.60046433,2,1.796853073,24,Abbeville
12/7/2020,1.167828338,1.103149966,12,9,0.60046433,2,1.796853073,28,Abbeville
12/8/2020,1.141747603,1.103149966,12,9,0.60046433,2,1.796853073,31,Abbeville
12/9/2020,1.117178285,1.216893232,11,11,0.767792783,4,2.069166849,22,Abbeville
12/10/2020,1.096021229,1.216893232,11,12,0.767792783,4,2.069166849,26,Abbeville
12/11/2020,1.07698205,1.216893232,11,13,0.767792783,5,2.069166849,28,Abbeville
12/12/2020,1.063191495,1.216893232,10,14,0.767792783,4,2.069166849,33,Abbeville
12/13/2020,1.053523015,1.216893232,10,14,0.767792783,5,2.069166849,39,Abbeville
12/14/2020,1.046360123,1.216893232,9,15,0.767792783,4.975,2.069166849,47.025,Abbeville
12/15/2020,1.039417758,1.216893232,10,16,0.767792783,4,2.069166849,57.025,Abbeville
12/16/2020,1.033688625,1.046922901,10,11,0.54434836,4,1.418807702,20,Abbeville
12/17/2020,1.029248365,1.046922901,10,11,0.54434836,4,1.418807702,21,Abbeville
12/18/2020,1.024076193,1.046922901,10,11,0.54434836,4,1.418807702,22,Abbeville
12/19/2020,1.017262877,1.046922901,9,11,0.54434836,3,1.418807702,23,Abbeville
12/20/2020,1.011442316,1.046922901,11,11,0.54434836,3,1.418807702,25,Abbeville
12/21/2020,1.005236985,1.046922901,10,11,0.54434836,2,1.418807702,26,Abbeville
12/22/2020,0.999674117,1.046922901,10,12,0.54434836,2.975,1.418807702,28,Abbeville
12/23/2020,0.997022701,0.998001086,10,10,0.610668488,3,1.458474759,19,Abbeville
12/24/2020,0.998693539,0.998001086,12,10,0.610668488,3,1.458474759,19,Abbeville
12/25/2020,1.004757518,0.998001086,10,10,0.610668488,3,1.458474759,21,Abbeville
12/26/2020,1.013137333,0.998001086,9,10,0.610668488,3,1.458474759,21,Abbeville
12/27/2020,1.023841593,0.998001086,10,10,0.610668488,3,1.458474759,23,Abbeville
12/28/2020,1.037481258,0.998001086,9,10,0.610668488,3,1.458474759,24,Abbeville
12/29/2020,1.052824325,0.998001086,10,10,0.610668488,2,1.458474759,24,Abbeville
12/30/2020,1.068428585,0.969051743,9,10,0.668605924,3,1.403305141,18.025,Abbeville
12/31/2020,1.08415821,0.969051743,8,10,0.668605924,3,1.403305141,19,Abbeville
1/1/2021,1.100500496,0.969051743,8,9,0.668605924,3,1.403305141,19,Abbeville
1/2/2021,1.114150503,0.969051743,8,9,0.668605924,3,1.403305141,20,Abbeville
1/3/2021,1.126080324,0.969051743,6,9,0.668605924,3,1.403305141,21,Abbeville
1/4/2021,1.134553016,0.969051743,7,9,0.668605924,2,1.403305141,22,Abbeville
1/5/2021,1.138261602,0.969051743,6,9,0.668605924,3,1.403305141,23,Abbeville
1/6/2021,1.136798492,0.862252212,7,6,0.542376883,2,1.207151093,14,Abbeville
1/7/2021,1.13205056,0.862252212,8,6,0.542376883,2,1.207151093,14,Abbeville
1/8/2021,1.123001782,0.862252212,10,6,0.542376883,1,1.207151093,14,Abbeville
1/9/2021,1.111791038,0.862252212,11,6,0.542376883,1,1.207151093,14,Abbeville
1/10/2021,1.099083378,0.862252212,13,6,0.542376883,1,1.207151093,14,Abbeville
1/11/2021,1.083788021,0.862252212,13,6,0.542376883,1,1.207151093,14.025,Abbeville
1/12/2021,1.067047848,0.862252212,12,5,0.542376883,1,1.207151093,14,Abbeville
1/13/2021,1.04998942,1.147883387,14,11,0.84834578,4,2.000987426,21,Abbeville
1/14/2021,1.03248901,1.147883387,16,12,0.84834578,4,2.000987426,24,Abbeville
1/15/2021,1.014159883,1.147883387,16,12,0.84834578,5,2.000987426,28,Abbeville
1/16/2021,0.995027414,1.147883387,16,13,0.84834578,4,2.000987426,32,Abbeville
1/17/2021,0.973642357,1.147883387,16,13,0.84834578,4,2.000987426,38,Abbeville
1/18/2021,1.011785645,1.147883387,16,13,0.84834578,4,2.000987426,47,Abbeville
1/19/2021,1.042509848,1.147883387,17,14,0.84834578,4,2.000987426,54,Abbeville
1/20/2021,0.994065696,1.212658248,24,18,0.774349921,9,1.734662247,32,Abbeville
1/21/2021,0.953108017,1.212658248,25,20,0.774349921,9,1.734662247,34.025,Abbeville
1/22/2021,0.919222833,1.212658248,26,21,0.774349921,9.975,1.734662247,38,Abbeville
1/23/2021,0.896256202,1.212658248,30,22,0.774349921,9,1.734662247,42.025,Abbeville
1/24/2021,0.853845805,1.212658248,30,23,0.774349921,9,1.734662247,48,Abbeville
1/25/2021,0.85408457,1.212658248,31,24,0.774349921,8,1.734662247,53.025,Abbeville
1/26/2021,0.858852905,1.212658248,32,25,0.774349921,8,1.734662247,61,Abbeville
1/27/2021,0.868811905,1.343524963,23,37,0.922889122,22,1.842265377,56,Abbeville
1/28/2021,0.88385593,1.343524963,20,41,0.922889122,23,1.842265377,63,Abbeville
1/29/2021,0.903585241,1.343524963,21,44,0.922889122,24,1.842265377,71.025,Abbeville
1/30/2021,0.925680871,1.343524963,21,47,0.922889122,25,1.842265377,82,Abbeville
1/31/2021,0.946003114,1.343524963,19,51,0.922889122,26,1.842265377,97,Abbeville
2/1/2021,0.96473619,1.343524963,19,54,0.922889122,25,1.842265377,106.05,Abbeville
2/2/2021,0.981006133,1.343524963,18,58,0.922889122,24,1.842265377,125.025,Abbeville
11/11/2020,1.002441209,0.85091635,36,35,0.189977805,13,3.283071586,80,Aiken
11/12/2020,0.992638276,0.85091635,36,35,0.189977805,11,3.283071586,94,Aiken
11/13/2020,0.984221641,0.85091635,36,33,0.189977805,10,3.283071586,124.025,Aiken
11/14/2020,0.777977114,0.85091635,41,32,0.189977805,8,3.283071586,156.025,Aiken
11/15/2020,0.785639376,0.85091635,43,31,0.189977805,6,3.283071586,216.025,Aiken
11/16/2020,0.970767487,0.85091635,48,31,0.189977805,4,3.283071586,318,Aiken
11/17/2020,0.96755984,0.85091635,46,30,0.189977805,3,3.283071586,475.025,Aiken
11/18/2020,0.966950956,1.286116963,50,46,0.324121647,19,4.042094735,104,Aiken
11/19/2020,0.969252074,1.286116963,49,48,0.324121647,17,4.042094735,133,Aiken
11/20/2020,0.97620445,1.286116963,53,51,0.324121647,16,4.042094735,178.025,Aiken
11/21/2020,0.988213308,1.286116963,52,55,0.324121647,14,4.042094735,243.025,Aiken
11/22/2020,1.005457219,1.286116963,52,58,0.324121647,11.975,4.042094735,386.025,Aiken
11/23/2020,1.024251875,1.286116963,52,60.5,0.324121647,10,4.042094735,606.15,Aiken
11/24/2020,1.044876329,1.286116963,53,69,0.324121647,8,4.042094735,879.75,Aiken
11/25/2020,1.065947562,0.8650683,54,52,0.189731461,22,3.106528312,107.025,Aiken
11/26/2020,1.088975877,0.8650683,49,50,0.189731461,19.975,3.106528312,127.025,Aiken
11/27/2020,1.112578312,0.8650683,46,48,0.189731461,16,3.106528312,154.025,Aiken
11/28/2020,1.136729923,0.8650683,42,46,0.189731461,12,3.106528312,207.05,Aiken
11/29/2020,1.151377975,0.8650683,39,44,0.189731461,10,3.106528312,290.125,Aiken
