"County","Date","Rt_actual","Rt_forecast","Case_forecast","Case_lower95","Case_upper95","Case_actual"
"Abbeville",2020-11-11,0.969081798,0.970145003582756,5.542,2,11,5
"Abbeville",2020-11-12,1.00180109,0.995856696713899,5.443,1,10,5
"Abbeville",2020-11-13,1.041600331,1.0183697373943,5.541,1,11,6
"Abbeville",2020-11-14,1.078090215,1.0363091064372,5.508,1,11,4
"Abbeville",2020-11-15,1.112338193,1.04910881917939,5.545,1,10.025,4
"Abbeville",2020-11-16,1.143248572,1.05704298814194,5.682,1,11,4
"Abbeville",2020-11-17,1.171748902,1.06080025583461,5.854,1,12,4
"Aiken",2020-11-11,0.768821467,0.782882905904343,26.596,17,37.025,36
"Aiken",2020-11-12,0.764470333,0.796718794538892,27.299,18,38,36
"Aiken",2020-11-13,0.7665463,0.821778792413431,27.318,17.975,38,36
"Aiken",2020-11-14,0.774072175,0.853891870985575,27.54,17,38,41
"Aiken",2020-11-15,0.782783572,0.889116590767256,27.551,17,39,43
"Aiken",2020-11-16,0.755829939,0.923120050795387,28.132,18,39,48
"Aiken",2020-11-17,0.736134671,0.952879463193001,27.836,17,39.025,46
"Allendale",2020-11-11,0.940348143,0.931619479221954,1.2,0,4,1
"Allendale",2020-11-12,0.933690535,0.916399719786408,1.358,0,4,1
"Allendale",2020-11-13,0.936330771,0.90367427678725,1.365,0,4,0
"Allendale",2020-11-14,0.944282855,0.895274928547256,1.369,0,4,0
"Allendale",2020-11-15,0.955063194,0.892560641571926,1.3,0,4,0
"Allendale",2020-11-16,0.9742999,0.895648760717316,1.337,0,4,0
"Allendale",2020-11-17,1.000105568,0.904087245814408,1.301,0,4,1
"Anderson",2020-11-11,1.03608592,1.03960743349108,28.149,18,40,28
"Anderson",2020-11-12,1.036268516,1.04209934553014,28.503,19,39,27
"Anderson",2020-11-13,1.038301636,1.04533307943681,28.542,19,40,36
"Anderson",2020-11-14,1.043038934,1.04848844262817,28.969,19,40,37
"Anderson",2020-11-15,1.046456905,1.05071785807369,29.088,18,41,34
"Anderson",2020-11-16,1.048733519,1.05177403489345,29.695,18,42,32
"Anderson",2020-11-17,1.052630458,1.05144169138815,29.792,19,41,32
"Bamberg",2020-11-11,1.184433126,1.18124545719086,0.396,0,2,1
"Bamberg",2020-11-12,1.212411407,1.19871648480838,0.355,0,2,1
"Bamberg",2020-11-13,1.23677699,1.20684208621042,0.285,0,2,1
"Bamberg",2020-11-14,1.260675021,1.20491394496037,0.287,0,2,1
"Bamberg",2020-11-15,1.275877642,1.19403777601319,0.27,0,2,2
"Bamberg",2020-11-16,1.289412306,1.17631829197816,0.272,0,2,2
"Bamberg",2020-11-17,1.300321389,1.15407304630599,0.282,0,2,2
"Barnwell",2020-11-11,1.177280317,1.17815045318214,2.742,0,6,2
"Barnwell",2020-11-12,1.1407468,1.16033162995515,2.471,0,6,2
"Barnwell",2020-11-13,1.103032809,1.1388960869518,2.505,0,6,3
"Barnwell",2020-11-14,1.068066417,1.11582978281891,2.379,0,6,4
"Barnwell",2020-11-15,1.038120783,1.09257559940964,2.386,0,6,4
"Barnwell",2020-11-16,1.016257944,1.07072887447156,2.44,0,6,4
"Barnwell",2020-11-17,1.000454435,1.05121470886073,2.463,0,6,3
"Beaufort",2020-11-11,1.11352045,1.11389839538264,18.899,11,27,14
"Beaufort",2020-11-12,1.114537179,1.11188972065255,18.836,11,28,17
"Beaufort",2020-11-13,1.116351179,1.10746855198413,19.303,11,29,18
"Beaufort",2020-11-14,1.117474501,1.10077455225622,19.536,11,29,21
"Beaufort",2020-11-15,1.118904938,1.09229686521306,19.809,11,30,24
"Beaufort",2020-11-16,1.118876839,1.0826653920666,19.962,12,30,24
"Beaufort",2020-11-17,1.120025995,1.0724645903744,20.172,11,30,26
"Berkeley",2020-11-11,1.101394552,1.098222338603,34.222,23,47,29
"Berkeley",2020-11-12,1.096707103,1.0888725544974,35.576,24,48,31
"Berkeley",2020-11-13,1.096128884,1.0784862541399,36.083,25,48,36
"Berkeley",2020-11-14,1.095113016,1.06789130996336,36.345,25.975,48.025,39
"Berkeley",2020-11-15,1.094027888,1.05753817764204,36.376,24,49,40
"Berkeley",2020-11-16,1.094630396,1.04809942378583,36.705,24,50,40
"Berkeley",2020-11-17,1.094504242,1.03993282610633,36.956,25,49.025,41
"Calhoun",2020-11-11,0.967420262,0.967292413117774,22.645,13,32,20
"Calhoun",2020-11-12,0.963873187,0.962060226121569,22.844,14,33,26
"Calhoun",2020-11-13,0.962323891,0.95817117931129,22.696,14,33,26
"Calhoun",2020-11-14,0.960021977,0.956132088568467,22.41,13,32,28
"Calhoun",2020-11-15,0.957437412,0.956535698527197,22.127,13,32,3
"Calhoun",2020-11-16,0.954994804,0.959428014252163,22.225,13,32,22
"Calhoun",2020-11-17,0.955040436,0.964438595528963,21.84,13,33,19
"Charleston",2020-11-11,1.092868094,1.09453416877674,72.91,57,90.025,72
"Charleston",2020-11-12,1.07586242,1.08098939424634,72.826,57,90,74
"Charleston",2020-11-13,1.064039981,1.07192830689377,72.775,57,90.025,82
"Charleston",2020-11-14,1.053236383,1.0669571673607,73.605,57.975,92,83
"Charleston",2020-11-15,1.035235173,1.06443911710698,74.566,58,91.025,88
"Charleston",2020-11-16,1.012770642,1.06240954361862,75.659,58,94,91
"Charleston",2020-11-17,0.99046509,1.06034737109126,75.932,59.975,96,93
"Cherokee",2020-11-11,1.106543974,1.10722075020553,23.301,14,33,23
"Cherokee",2020-11-12,1.099895538,1.10110667775964,24.248,15,34,27
"Cherokee",2020-11-13,1.093096378,1.09378685312385,24.939,15,35,39
"Cherokee",2020-11-14,1.087569409,1.08548098639611,25.472,15,36,33
"Cherokee",2020-11-15,1.082146547,1.07659248940069,26.035,16,37.025,23
"Cherokee",2020-11-16,1.078261937,1.06751689005793,26.115,16,37,20
"Cherokee",2020-11-17,1.073860705,1.05876947698109,26.403,16,38,36
"Chester",2020-11-11,1.191659511,1.19410395557595,33.23,22,45,39
"Chester",2020-11-12,1.18582708,1.18768931680761,34.959,24,46,41
"Chester",2020-11-13,1.177866717,1.17888257909205,35.842,25,48,46
"Chester",2020-11-14,1.169369921,1.1669615670837,36.799,26,49,51
"Chester",2020-11-15,1.159503885,1.15231304362162,37.642,26,50,55
"Chester",2020-11-16,1.152260971,1.1357967097835,38.51,26.975,52,50
"Chester",2020-11-17,1.144708363,1.11820139549581,38.66,26.975,52.025,44
"Chesterfield",2020-11-11,1.109702639,1.11213593066027,27.016,17,38,32
"Chesterfield",2020-11-12,1.111022649,1.11076137293943,28.672,19,39,37
"Chesterfield",2020-11-13,1.11226524,1.10674305757734,30.278,20,41,36
"Chesterfield",2020-11-14,1.111100409,1.10018247736171,30.537,20,42,33
"Chesterfield",2020-11-15,1.110905956,1.09174631494293,31.078,20,43.025,29
"Chesterfield",2020-11-16,1.108860548,1.08214218012073,31.909,21,44,24
"Chesterfield",2020-11-17,1.104325932,1.07210383017706,31.835,20,44,36
"Clarendon",2020-11-11,0.778134607,0.77998630889354,6.242,2,12,7
"Clarendon",2020-11-12,0.814151895,0.816371357735693,6.827,2,12,7
"Clarendon",2020-11-13,0.86644445,0.861117783203019,7.266,3,13,6
"Clarendon",2020-11-14,0.928558846,0.909000920736443,7.257,3,13,5
"Clarendon",2020-11-15,0.995564598,0.954967533033303,7.596,3,14,6
"Clarendon",2020-11-16,1.073021903,0.995834057630495,7.655,3,14,4
