County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
Abbeville,11/11/2020,1.008956951,0.961509607,5.385,2,10,5
Abbeville,11/12/2020,1.014360484,0.977792155,5.184,1,11,5
Abbeville,11/13/2020,1.022783295,0.996477142,5.09,1,10,6
Abbeville,11/14/2020,1.077973112,1.011097501,5.281,1,10,4
Abbeville,11/15/2020,1.111923313,1.021893167,5.285,1,10,4
Abbeville,11/16/2020,1.044362457,1.02913501,5.4,1,11,4
Abbeville,11/17/2020,1.050521535,1.038529945,5.448,1,11,4
Abbeville,11/18/2020,1.05592095,1.045260973,5.426,1,12,5
Abbeville,11/19/2020,1.062792008,1.052115702,5.508,1,12,5
Abbeville,11/20/2020,1.073072436,1.062424642,5.647,1,12,5
Abbeville,11/21/2020,1.084519928,1.068837481,5.789,1,12,6
Abbeville,11/22/2020,1.099323816,1.07268718,5.87,1,13,7
Abbeville,11/23/2020,1.117083856,1.074732954,5.877,1,12,6
Abbeville,11/24/2020,1.138993527,1.075770703,5.95,1,12,7
Aiken,11/11/2020,1.002441209,0.791718187,26.947,17,37,36
Aiken,11/12/2020,0.992638276,0.795918858,27.704,18,39,36
Aiken,11/13/2020,0.984221641,0.798564743,26.945,17,37.025,36
Aiken,11/14/2020,0.777977114,0.802596883,26.327,17,37,41
Aiken,11/15/2020,0.785639376,0.809396944,25.449,15.975,37,43
Aiken,11/16/2020,0.970767487,0.821867822,24.814,15,36,48
Aiken,11/17/2020,0.96755984,0.829221863,23.916,14.975,34,46
Aiken,11/18/2020,0.966950956,0.841621904,23.479,14,34,50
Aiken,11/19/2020,0.969252074,0.858252797,22.62,13.975,33,49
Aiken,11/20/2020,0.97620445,0.873214139,21.928,12,33,53
Aiken,11/21/2020,0.988213308,0.888545922,21.831,12,33,52
Aiken,11/22/2020,1.005457219,0.909737026,21.393,12,32,52
Aiken,11/23/2020,1.024251875,0.929792793,21.804,12,33,52
Aiken,11/24/2020,1.044876329,0.948706553,21.38,11,33,53
Allendale,11/11/2020,1.030487127,0.939587904,1.236,0,4,1
Allendale,11/12/2020,1.029686008,0.933851492,1.374,0,4,1
Allendale,11/13/2020,1.033531711,0.932351627,1.483,0,4,0
Allendale,11/14/2020,0.945602206,0.932077002,1.487,0,4,0
Allendale,11/15/2020,0.956099639,0.933833362,1.526,0,4.025,0
Allendale,11/16/2020,1.065908866,0.936337442,1.477,0,4,0
Allendale,11/17/2020,1.08020032,0.937649121,1.44,0,5,1
Allendale,11/18/2020,1.093948675,0.940019437,1.482,0,4,1
Allendale,11/19/2020,1.108115652,0.9448789,1.4,0,4,1
Allendale,11/20/2020,1.122368623,0.949007772,1.407,0,5,1
Allendale,11/21/2020,1.141898296,0.952940355,1.325,0,5,0
Allendale,11/22/2020,1.161928929,0.960709926,1.361,0,5,0
