County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
Abbeville,11/11/2020,1.008956951,1.010924894,5.653,2,11,5
Abbeville,11/12/2020,1.014360484,1.015476588,5.328,1,10,5
Abbeville,11/13/2020,1.022783295,1.017793419,5.312,1,10.025,6
Abbeville,11/14/2020,1.077973112,1.01967201,5.382,1,10,4
Abbeville,11/15/2020,1.111923313,1.020051676,5.478,1,11,4
Abbeville,11/16/2020,1.044362457,1.020697125,5.415,1,11,4
Abbeville,11/17/2020,1.050521535,1.021057418,5.45,1,11,4
Abbeville,11/18/2020,1.05592095,1.021514581,5.414,1,10,5
Abbeville,11/19/2020,1.062792008,1.022005203,5.441,1,11,5
Abbeville,11/20/2020,1.073072436,1.022324427,5.573,1,11,5
Abbeville,11/21/2020,1.084519928,1.0224799,5.523,1,11,6
Abbeville,11/22/2020,1.099323816,1.022619589,5.549,1,12,7
Abbeville,11/23/2020,1.117083856,1.022882346,5.649,1,12,6
Abbeville,11/24/2020,1.138993527,1.022983206,5.529,1,12,7
Aiken,11/11/2020,1.002441209,1.014696804,34.86,24,46,36
Aiken,11/12/2020,0.992638276,1.015635833,35.381,24,46.025,36
Aiken,11/13/2020,0.984221641,1.017343193,36.129,25,49,36
Aiken,11/14/2020,0.777977114,1.018931652,35.964,24,48.025,41
Aiken,11/15/2020,0.785639376,1.01990907,36.084,24,48,43
Aiken,11/16/2020,0.970767487,1.020472152,36.7,25,50,48
Aiken,11/17/2020,0.96755984,1.020713998,36.774,25,51,46
Aiken,11/18/2020,0.966950956,1.021036603,36.868,24,50,50
Aiken,11/19/2020,0.969252074,1.021514581,37.241,25,52,49
Aiken,11/20/2020,0.97620445,1.022005203,37.177,24,52,53
Aiken,11/21/2020,0.988213308,1.022324427,37.439,24,52,52
Aiken,11/22/2020,1.005457219,1.0224799,37.762,24,52,52
Aiken,11/23/2020,1.024251875,1.022619589,38.128,24,53,52
Aiken,11/24/2020,1.044876329,1.022882346,38.144,24.975,53,53
Allendale,11/11/2020,1.030487127,1.028101265,1.356,0,4,1
Allendale,11/12/2020,1.029686008,1.027435904,1.54,0,5,1
Allendale,11/13/2020,1.033531711,1.026805484,1.635,0,5,0
Allendale,11/14/2020,0.945602206,1.02653718,1.674,0,4.025,0
Allendale,11/15/2020,0.956099639,1.026012218,1.729,0,5,0
Allendale,11/16/2020,1.065908866,1.025724754,1.765,0,5,0
Allendale,11/17/2020,1.08020032,1.025287448,1.839,0,5,1
Allendale,11/18/2020,1.093948675,1.024376161,1.839,0,5,1
Allendale,11/19/2020,1.108115652,1.022410063,1.716,0,5,1
Allendale,11/20/2020,1.122368623,1.021750161,1.829,0,5,1
Allendale,11/21/2020,1.141898296,1.021843328,1.765,0,6,0
Allendale,11/22/2020,1.161928929,1.022579918,1.725,0,6,0
Allendale,11/23/2020,1.182350121,1.022793618,1.8,0,6,0
Allendale,11/24/2020,1.200604857,1.022885146,1.821,0,6,0
Anderson,11/11/2020,1.058496734,1.067704189,28.694,18,40,28
Anderson,11/12/2020,1.050874643,1.067370051,29.191,19,40,27
Anderson,11/13/2020,1.043988464,1.068070252,29.42,19,40,36
Anderson,11/14/2020,1.042334677,1.068285225,29.963,19,42,37
Anderson,11/15/2020,1.045527137,1.069472607,30.631,20,42,34
Anderson,11/16/2020,1.021068164,1.070834058,31.402,21,43,32
Anderson,11/17/2020,1.014508308,1.072593998,31.721,20,44,32
Anderson,11/18/2020,1.01147657,1.074186869,31.831,20,44,27
Anderson,11/19/2020,1.012952219,1.076388079,32.397,20,47,31
Anderson,11/20/2020,1.020514549,1.077443903,33.418,21,47,42
Anderson,11/21/2020,1.03023992,1.079543112,33.396,21,48,39
Anderson,11/22/2020,1.042971836,1.080447135,34.217,21,50,35
Anderson,11/23/2020,1.058404193,1.081165495,34.887,21,51.025,28
Anderson,11/24/2020,1.0767191,1.082045607,35.363,22,50,23
Bamberg,11/11/2020,1.12739556,1.107094309,0.318,0,2,1
Bamberg,11/12/2020,1.140261155,1.10511362,0.21,0,1,1
Bamberg,11/13/2020,1.150361768,1.099443323,0.176,0,1,1
Bamberg,11/14/2020,1.259174754,1.095111451,0.184,0,1,1
Bamberg,11/15/2020,1.274336042,1.091225151,0.156,0,1.025,2
Bamberg,11/16/2020,1.172188909,1.089421855,0.15,0,2,2
Bamberg,11/17/2020,1.176885932,1.08571307,0.169,0,2,2
Bamberg,11/18/2020,1.183401624,1.084650876,0.193,0,2,2
Bamberg,11/19/2020,1.189927375,1.08356293,0.182,0,2,1
Bamberg,11/20/2020,1.195942065,1.083294038,0.188,0,2,1
Bamberg,11/21/2020,1.202659244,1.083228316,0.203,0,2,2
Bamberg,11/22/2020,1.208018662,1.083207834,0.209,0,2,2
Bamberg,11/23/2020,1.212502081,1.083095307,0.205,0,2,2
Bamberg,11/24/2020,1.215130074,1.08307861,0.199,0,2,3
Barnwell,11/11/2020,1.094724185,1.084807378,2.558,0,6,2
Barnwell,11/12/2020,1.097644951,1.084950343,2.249,0,5,2
Barnwell,11/13/2020,1.098088089,1.084045659,2.203,0,6,3
Barnwell,11/14/2020,1.068374277,1.083498627,2.22,0,5,4
Barnwell,11/15/2020,1.03928949,1.083322747,2.172,0,6,4
Barnwell,11/16/2020,1.107291821,1.083281576,2.225,0,6,4
Barnwell,11/17/2020,1.112984469,1.083415805,2.275,0,6,3
Barnwell,11/18/2020,1.119257052,1.083518382,2.295,0,6,4
Barnwell,11/19/2020,1.127281378,1.083553245,2.377,0,6,4
Barnwell,11/20/2020,1.135369161,1.083613682,2.376,0,7,4
Barnwell,11/21/2020,1.150143706,1.083636602,2.429,0,7,4
Barnwell,11/22/2020,1.168978698,1.083636602,2.475,0,7,4
Barnwell,11/23/2020,1.190397318,1.083636602,2.592,0,8,4
Barnwell,11/24/2020,1.21267947,1.083636602,2.594,0,7,5
Beaufort,11/11/2020,1.126385337,1.116442355,19.185,11,28,14
Beaufort,11/12/2020,1.128850853,1.117579448,19.036,11,27,17
Beaufort,11/13/2020,1.12797409,1.116151082,19.514,11,29,18
Beaufort,11/14/2020,1.117789878,1.116314145,19.972,11,30,21
Beaufort,11/15/2020,1.118901467,1.115309595,20.608,12,30,24
Beaufort,11/16/2020,1.121992526,1.114988949,20.838,12,31,24
Beaufort,11/17/2020,1.120729639,1.113805609,21.563,12,32.025,26
Beaufort,11/18/2020,1.121573659,1.11301607,21.841,13,32,25
Beaufort,11/19/2020,1.123753428,1.111618201,22.247,13,34,28
Beaufort,11/20/2020,1.123858524,1.10984921,22.794,13,35,27
Beaufort,11/21/2020,1.126843209,1.104765287,23.187,12,35,35
Beaufort,11/22/2020,1.130400629,1.100598115,23.656,13,36,33
Beaufort,11/23/2020,1.134486457,1.09516073,24.141,12,37,28
Beaufort,11/24/2020,1.139137192,1.091394229,24.556,13.975,38,28
Berkeley,11/11/2020,1.124063338,1.132123384,35.952,25,48,29
Berkeley,11/12/2020,1.115386254,1.1327647,37.077,26,50,31
Berkeley,11/13/2020,1.107063433,1.134522605,38.396,27,51,36
Berkeley,11/14/2020,1.094988088,1.134702804,39.76,28,53,39
Berkeley,11/15/2020,1.093927098,1.134314935,41.004,29,55,40
Berkeley,11/16/2020,1.077551614,1.134200045,41.797,29,56,40
Berkeley,11/17/2020,1.068586121,1.134200045,42.884,30,57,41
Berkeley,11/18/2020,1.06235484,1.134200045,44.145,30,60,36
Berkeley,11/19/2020,1.062086943,1.134200045,45.314,31,63,40
Berkeley,11/20/2020,1.06710378,1.134200045,46.936,33,63.025,44
Berkeley,11/21/2020,1.076351139,1.134200045,47.96,33,65,54
