County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
Abbeville,11/11/2020,1.008956951,1.008896758,5.698,2,11,5
Abbeville,11/12/2020,1.014360484,1.011043373,5.54,1,10,5
Abbeville,11/13/2020,1.022783295,1.012506561,5.364,1,10,6
Abbeville,11/14/2020,1.077973112,1.013379755,5.52,1,11,4
Abbeville,11/15/2020,1.111923313,1.013673118,5.448,1,10,4
Abbeville,11/16/2020,1.044362457,1.013490776,5.385,1,11,4
Abbeville,11/17/2020,1.050521535,1.012914978,5.51,1,11,4
Abbeville,11/18/2020,1.05592095,1.012037653,5.522,1,12,5
Abbeville,11/19/2020,1.062792008,1.010937907,5.501,1,11,5
Abbeville,11/20/2020,1.073072436,1.009687672,5.43,1,11,5
Abbeville,11/21/2020,1.084519928,1.008347621,5.501,1,11,6
Abbeville,11/22/2020,1.099323816,1.006968642,5.379,1,11,7
Abbeville,11/23/2020,1.117083856,1.005591681,5.443,1,11,6
Abbeville,11/24/2020,1.138993527,1.004248753,5.509,1,12,7
Aiken,11/11/2020,1.002441209,1.00457971,34.011,23,45.025,36
Aiken,11/12/2020,0.992638276,0.999841161,34.633,23.975,47,36
Aiken,11/13/2020,0.984221641,0.996181524,34.668,24,47.025,36
Aiken,11/14/2020,0.777977114,0.993409416,34.569,23.975,47,41
Aiken,11/15/2020,0.785639376,0.991489382,34.429,24,46,43
Aiken,11/16/2020,0.970767487,0.99027425,34.428,23,47,48
Aiken,11/17/2020,0.96755984,0.9896522,34.429,23,47,46
Aiken,11/18/2020,0.966950956,0.989499029,33.847,22,47,50
Aiken,11/19/2020,0.969252074,0.989707115,34.287,22,48,49
Aiken,11/20/2020,0.97620445,0.990177206,34.078,22,48,53
Aiken,11/21/2020,0.988213308,0.990824035,34.213,22,48,52
Aiken,11/22/2020,1.005457219,0.991574554,34.074,21,50,52
Aiken,11/23/2020,1.024251875,0.992368456,34.424,21.975,49,52
Aiken,11/24/2020,1.044876329,0.99315709,34.01,21,49,53
Allendale,11/11/2020,1.030487127,1.02497161,1.309,0,4,1
Allendale,11/12/2020,1.029686008,1.022704763,1.468,0,4,1
Allendale,11/13/2020,1.033531711,1.020431669,1.638,0,5,0
Allendale,11/14/2020,0.945602206,1.018072739,1.672,0,5,0
Allendale,11/15/2020,0.956099639,1.015704665,1.578,0,5,0
Allendale,11/16/2020,1.065908866,1.013366778,1.599,0,5,0
Allendale,11/17/2020,1.08020032,1.011114848,1.678,0,5,1
Allendale,11/18/2020,1.093948675,1.008985953,1.685,0,5,1
Allendale,11/19/2020,1.108115652,1.007009988,1.605,0,5,1
Allendale,11/20/2020,1.122368623,1.005204624,1.641,0,5,1
Allendale,11/21/2020,1.141898296,1.003578998,1.724,0,5,0
Allendale,11/22/2020,1.161928929,1.002134206,1.641,0,5,0
Allendale,11/23/2020,1.182350121,1.000865325,1.683,0,6,0
Allendale,11/24/2020,1.200604857,0.999762692,1.614,0,6,0
Anderson,11/11/2020,1.058496734,1.060128532,28.481,19,39,28
Anderson,11/12/2020,1.050874643,1.053013125,28.625,19,39.025,27
