,County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
1,Abbeville,11/11/2020,1.008956951,0.963858843,5.345,2,10,5
2,Abbeville,11/12/2020,1.014360484,0.983621299,5.22,1,10,5
3,Abbeville,11/13/2020,1.022783295,1.001875997,5.239,1,10,6
4,Abbeville,11/14/2020,1.077973112,1.020142198,5.326,1,10,4
5,Abbeville,11/15/2020,1.111923313,1.027593136,5.261,1,10,4
6,Abbeville,11/16/2020,1.044362457,1.03070426,5.294,1,10,4
7,Abbeville,11/17/2020,1.050521535,1.03697753,5.434,1,11,4
8,Abbeville,11/18/2020,1.05592095,1.04175961,5.427,1,11,5
9,Abbeville,11/19/2020,1.062792008,1.045627356,5.572,1,11,5
10,Abbeville,11/20/2020,1.073072436,1.049380064,5.576,1,12,5
11,Abbeville,11/21/2020,1.084519928,1.058341503,5.741,1,12,6
12,Abbeville,11/22/2020,1.099323816,1.062639713,5.618,1,12,7
13,Abbeville,11/23/2020,1.117083856,1.068899751,5.857,1,12,6
14,Abbeville,11/24/2020,1.138993527,1.076161265,6.042,1,13,7
15,Aiken,11/11/2020,1.002441209,0.772582412,26.595,17,37,36
16,Aiken,11/12/2020,0.992638276,0.762662053,26.583,17,37,36
17,Aiken,11/13/2020,0.984221641,0.756675839,25.274,16,36,36
18,Aiken,11/14/2020,0.777977114,0.749064267,24.332,15,34.025,41
19,Aiken,11/15/2020,0.785639376,0.737300217,22.895,14,34,43
20,Aiken,11/16/2020,0.970767487,0.725564957,21.288,12,32,48
21,Aiken,11/17/2020,0.96755984,0.709087908,19.455,11,29,46
22,Aiken,11/18/2020,0.966950956,0.698876441,17.849,10,27.025,50
23,Aiken,11/19/2020,0.969252074,0.698102891,16.819,9,26,49
24,Aiken,11/20/2020,0.97620445,0.703309894,15.92,9,25,53
25,Aiken,11/21/2020,0.988213308,0.709831774,14.809,8,24,52
26,Aiken,11/22/2020,1.005457219,0.717598557,13.984,7,22.025,52
27,Aiken,11/23/2020,1.024251875,0.722279966,13.233,6,22,52
28,Aiken,11/24/2020,1.044876329,0.725034893,12.117,5,21,53
29,Allendale,11/11/2020,1.030487127,0.938707888,1.214,0,4,1
30,Allendale,11/12/2020,1.029686008,0.936899543,1.455,0,4,1
31,Allendale,11/13/2020,1.033531711,0.933870554,1.521,0,4,0
32,Allendale,11/14/2020,0.945602206,0.937108397,1.59,0,4,0
33,Allendale,11/15/2020,0.956099639,0.940910339,1.464,0,4,0
34,Allendale,11/16/2020,1.065908866,0.949872017,1.544,0,5,0
35,Allendale,11/17/2020,1.08020032,0.958180189,1.487,0,4,1
36,Allendale,11/18/2020,1.093948675,0.968165934,1.475,0,5,1
37,Allendale,11/19/2020,1.108115652,0.973763525,1.397,0,4,1
38,Allendale,11/20/2020,1.122368623,0.979845822,1.536,0,5,1
39,Allendale,11/21/2020,1.141898296,0.981127799,1.357,0,4,0
40,Allendale,11/22/2020,1.161928929,0.985417902,1.436,0,5,0
41,Allendale,11/23/2020,1.182350121,0.990291297,1.438,0,5,0
42,Allendale,11/24/2020,1.200604857,0.996701419,1.436,0,5,0
43,Anderson,11/11/2020,1.058496734,1.039047599,27.975,18,39,28
44,Anderson,11/12/2020,1.050874643,1.038138628,28.259,18,39,27
45,Anderson,11/13/2020,1.043988464,1.037160873,28.703,18,40,36
46,Anderson,11/14/2020,1.042334677,1.036747694,28.742,18,40,37
47,Anderson,11/15/2020,1.045527137,1.036976457,29.411,19,41,34
48,Anderson,11/16/2020,1.021068164,1.037339687,29.273,18,41,32
49,Anderson,11/17/2020,1.014508308,1.037555337,29.449,19,41,32
50,Anderson,11/18/2020,1.01147657,1.036534548,29.776,19,41.025,27
51,Anderson,11/19/2020,1.012952219,1.035732508,29.592,19,42,31
52,Anderson,11/20/2020,1.020514549,1.036002278,29.92,18,43,42
53,Anderson,11/21/2020,1.03023992,1.036312699,30.029,18.975,43,39
54,Anderson,11/22/2020,1.042971836,1.037191391,30.588,18,45,35
55,Anderson,11/23/2020,1.058404193,1.038518548,30.85,18,44.025,28
56,Anderson,11/24/2020,1.0767191,1.038654566,31.124,18,45,23
57,Bamberg,11/11/2020,1.12739556,1.176843286,0.341,0,2,1
58,Bamberg,11/12/2020,1.140261155,1.190351129,0.226,0,1,1
59,Bamberg,11/13/2020,1.150361768,1.193918705,0.192,0,1,1
60,Bamberg,11/14/2020,1.259174754,1.190332651,0.183,0,1,1
61,Bamberg,11/15/2020,1.274336042,1.181522131,0.174,0,1.025,2
62,Bamberg,11/16/2020,1.172188909,1.166386724,0.192,0,2,2
63,Bamberg,11/17/2020,1.176885932,1.146056652,0.163,0,2,2
64,Bamberg,11/18/2020,1.183401624,1.127852321,0.184,0,2,2
65,Bamberg,11/19/2020,1.189927375,1.103000283,0.208,0,2,1
66,Bamberg,11/20/2020,1.195942065,1.073162317,0.22,0,2,1
67,Bamberg,11/21/2020,1.202659244,1.043611526,0.208,0,2,2
68,Bamberg,11/22/2020,1.208018662,1.018298149,0.18,0,2,2
69,Bamberg,11/23/2020,1.212502081,0.998877585,0.206,0,2,2
70,Bamberg,11/24/2020,1.215130074,0.97735846,0.186,0,2,3
71,Barnwell,11/11/2020,1.094724185,1.178380847,2.728,0,7,2
72,Barnwell,11/12/2020,1.097644951,1.164229155,2.493,0,6,2
73,Barnwell,11/13/2020,1.098088089,1.149327755,2.455,0,6,3
74,Barnwell,11/14/2020,1.068374277,1.13166678,2.372,0,6,4
75,Barnwell,11/15/2020,1.03928949,1.112536073,2.338,0,6,4
76,Barnwell,11/16/2020,1.107291821,1.0927248,2.432,0,6,4
77,Barnwell,11/17/2020,1.112984469,1.075302124,2.372,0,7,3
78,Barnwell,11/18/2020,1.119257052,1.058748007,2.456,0,7,4
79,Barnwell,11/19/2020,1.127281378,1.041995764,2.359,0,6,4
80,Barnwell,11/20/2020,1.135369161,1.022965193,2.405,0,6,4
81,Barnwell,11/21/2020,1.150143706,1.013499022,2.488,0,7,4
82,Barnwell,11/22/2020,1.168978698,1.002840519,2.454,0,7,4
83,Barnwell,11/23/2020,1.190397318,0.995862782,2.453,0,7,4
84,Barnwell,11/24/2020,1.21267947,0.990925252,2.369,0,7,5
85,Beaufort,11/11/2020,1.126385337,1.115264297,19.121,11,28,14
86,Beaufort,11/12/2020,1.128850853,1.11456883,19.118,11,28,17
87,Beaufort,11/13/2020,1.12797409,1.113401055,19.688,12,29,18
88,Beaufort,11/14/2020,1.117789878,1.11276722,19.857,11,30,21
89,Beaufort,11/15/2020,1.118901467,1.110713005,20.314,12,31,24
90,Beaufort,11/16/2020,1.121992526,1.106924653,20.884,12,31,24
91,Beaufort,11/17/2020,1.120729639,1.103956819,20.952,11.975,31,26
92,Beaufort,11/18/2020,1.121573659,1.098464131,21.581,12,34,25
93,Beaufort,11/19/2020,1.123753428,1.090389013,21.931,12,32,28
94,Beaufort,11/20/2020,1.123858524,1.07883513,21.75,12,34,27
95,Beaufort,11/21/2020,1.126843209,1.064231277,22.093,12,32.025,35
96,Beaufort,11/22/2020,1.130400629,1.046879053,21.801,12,34.025,33
97,Beaufort,11/23/2020,1.134486457,1.030697703,22.342,11.975,35,28
98,Beaufort,11/24/2020,1.139137192,1.012210011,22.073,12,34,28
99,Berkeley,11/11/2020,1.124063338,1.099193454,34.775,24,47,29
100,Berkeley,11/12/2020,1.115386254,1.091948032,35.657,24,48,31
101,Berkeley,11/13/2020,1.107063433,1.080589414,36.399,25,48,36
102,Berkeley,11/14/2020,1.094988088,1.066296458,36.963,25,50,39
103,Berkeley,11/15/2020,1.093927098,1.051869273,36.908,26,49.025,40
104,Berkeley,11/16/2020,1.077551614,1.035264611,36.909,25,50,40
105,Berkeley,11/17/2020,1.068586121,1.017954707,36.794,24,50,41
106,Berkeley,11/18/2020,1.06235484,1.003848314,36.357,24,49,36
107,Berkeley,11/19/2020,1.062086943,0.989816248,36.183,23.975,50,40
108,Berkeley,11/20/2020,1.06710378,0.983643889,36.221,23.975,50.025,44
109,Berkeley,11/21/2020,1.076351139,0.976462543,35.399,22.975,49.025,54
110,Berkeley,11/22/2020,1.088890802,0.973113954,35.431,22,49,50
111,Berkeley,11/23/2020,1.102451671,0.97319746,35.461,22,50,55
112,Berkeley,11/24/2020,1.119728527,0.974648058,35.329,23,51,44
113,Calhoun,11/11/2020,1.040035027,0.971555948,23.128,14,33.025,20
114,Calhoun,11/12/2020,1.027833168,0.9679932,23.439,15,33,26
115,Calhoun,11/13/2020,1.012284339,0.963960111,22.914,14,33,26
116,Calhoun,11/14/2020,0.960749456,0.96043843,22.835,14,33,28
117,Calhoun,11/15/2020,0.957892774,0.954426169,22.326,13,32,3
118,Calhoun,11/16/2020,0.971093325,0.95102042,22.536,13,32,22
119,Calhoun,11/17/2020,0.960361978,0.946102738,21.809,13,34,19
120,Calhoun,11/18/2020,0.952907877,0.942162752,21.401,12,32,19
121,Calhoun,11/19/2020,0.948037467,0.940083086,21.493,12,32,24
122,Calhoun,11/20/2020,0.948431688,0.940258265,21.283,12,33,17
123,Calhoun,11/21/2020,0.954027271,0.943375289,20.799,11,32,10
124,Calhoun,11/22/2020,0.964871766,0.949931324,20.615,11,33,2
125,Calhoun,11/23/2020,0.977006473,0.957119048,20.861,10,32,28
126,Calhoun,11/24/2020,0.991157122,0.964677751,20.57,10,33,14
127,Charleston,11/11/2020,1.087999465,1.091422439,73.337,56,91,72
128,Charleston,11/12/2020,1.072556593,1.065085769,71.779,54,89,74
129,Charleston,11/13/2020,1.059756918,1.04589963,71.657,56,89.025,82
130,Charleston,11/14/2020,1.053481412,1.024217844,71.116,55,89,83
131,Charleston,11/15/2020,1.035343701,1.004494786,70.345,53,88,88
132,Charleston,11/16/2020,1.014710617,0.989895225,69.855,52,88,91
133,Charleston,11/17/2020,1.00048626,0.984189987,69.558,53,87.025,93
134,Charleston,11/18/2020,0.992054547,0.978581846,68.874,52,88,101
135,Charleston,11/19/2020,0.990278818,0.973006964,68.655,50,87,103
136,Charleston,11/20/2020,0.994414396,0.976892292,68.308,51,86,103
137,Charleston,11/21/2020,0.995464879,0.977811337,68.179,50,88,103
138,Charleston,11/22/2020,0.996769708,0.978857398,68.372,50,88,95
139,Charleston,11/23/2020,1.00177153,0.979407787,67.505,49,87,99
140,Charleston,11/24/2020,1.01074818,0.977436543,67.238,48,88.025,104
141,Cherokee,11/11/2020,1.145197746,1.107971549,23.469,14,34,23
142,Cherokee,11/12/2020,1.143619616,1.102345943,24.899,16,36,27
143,Cherokee,11/13/2020,1.13790024,1.096275806,25.494,16,36,39
144,Cherokee,11/14/2020,1.088834972,1.089553118,26.171,17,38,33
145,Cherokee,11/15/2020,1.082948681,1.078900814,26.422,17,37,23
146,Cherokee,11/16/2020,1.109983795,1.06548357,26.489,16,38,20
147,Cherokee,11/17/2020,1.101988488,1.053852677,26.514,16,38,36
148,Cherokee,11/18/2020,1.095978995,1.040628433,26.344,16,39,27
149,Cherokee,11/19/2020,1.091615124,1.025324464,27.084,16,39.025,34
150,Cherokee,11/20/2020,1.090743437,1.011842608,26.58,16,38,33
151,Cherokee,11/21/2020,1.091159416,0.998594642,26.315,15,39,62
152,Cherokee,11/22/2020,1.092479836,0.987672269,26.334,16,39,30
153,Cherokee,11/23/2020,1.095641255,0.98065567,25.886,14.975,39,26
154,Cherokee,11/24/2020,1.099495673,0.97606498,25.798,15,38,29
155,Chester,11/11/2020,1.095694291,1.196994543,34.067,23.975,46,39
156,Chester,11/12/2020,1.088410126,1.195616841,35.495,24,47,41
157,Chester,11/13/2020,1.079539856,1.195775628,36.918,25.975,50,46
158,Chester,11/14/2020,1.166426285,1.195583582,38.726,27,52,51
159,Chester,11/15/2020,1.156915296,1.196057081,40.273,28,53.025,55
160,Chester,11/16/2020,1.051730456,1.195072412,41.655,29,56,50
161,Chester,11/17/2020,1.043258699,1.189630508,43.425,30,58,44
162,Chester,11/18/2020,1.039216397,1.185224652,44.788,30,60,48
163,Chester,11/19/2020,1.041181602,1.180885553,46.339,32,62,64
164,Chester,11/20/2020,1.050719651,1.174706221,47.912,33,65,67
