,County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
1,Abbeville,11/11/2020,1.008956951,1.006705642,5.719,2,11,5
2,Abbeville,11/12/2020,1.014360484,1.009601951,5.435,2,10,5
3,Abbeville,11/13/2020,1.022783295,1.018206358,5.367,1,10,6
4,Abbeville,11/14/2020,1.077973112,1.030522466,5.369,1,11,4
5,Abbeville,11/15/2020,1.111923313,1.040348649,5.512,1,11,4
6,Abbeville,11/16/2020,1.044362457,1.053224921,5.714,1,12,4
7,Abbeville,11/17/2020,1.050521535,1.062865019,5.754,1,11.025,4
8,Abbeville,11/18/2020,1.05592095,1.072183371,5.748,1,12,5
9,Abbeville,11/19/2020,1.062792008,1.078484058,6.03,2,12,5
10,Abbeville,11/20/2020,1.073072436,1.081091881,6.093,2,13,5
11,Abbeville,11/21/2020,1.084519928,1.082839012,6.323,1,13,6
12,Abbeville,11/22/2020,1.099323816,1.086463094,6.434,1,13,7
13,Abbeville,11/23/2020,1.117083856,1.089282513,6.432,1,14,6
14,Abbeville,11/24/2020,1.138993527,1.088635564,6.59,1.975,13,7
15,Aiken,11/11/2020,1.002441209,1.005587697,34.517,23,47,36
16,Aiken,11/12/2020,0.992638276,1.00191617,34.965,24,47,36
17,Aiken,11/13/2020,0.984221641,0.994488657,34.897,24,46,36
18,Aiken,11/14/2020,0.777977114,0.978083849,34.268,23,47,41
19,Aiken,11/15/2020,0.785639376,0.968498409,34.114,23,47,43
20,Aiken,11/16/2020,0.970767487,0.960438848,33.62,22,45,48
21,Aiken,11/17/2020,0.96755984,0.952282667,33.255,22,46,46
22,Aiken,11/18/2020,0.966950956,0.947574973,32.578,21,46,50
23,Aiken,11/19/2020,0.969252074,0.943978369,32.272,21,46,49
24,Aiken,11/20/2020,0.97620445,0.940724373,31.803,21,45,53
25,Aiken,11/21/2020,0.988213308,0.939830124,31.241,20,44,52
26,Aiken,11/22/2020,1.005457219,0.941138864,30.693,19,45,52
27,Aiken,11/23/2020,1.024251875,0.945600986,30.825,19,44,52
28,Aiken,11/24/2020,1.044876329,0.954972446,30.638,19,45,53
29,Allendale,11/11/2020,1.030487127,1.023492455,1.364,0,4,1
30,Allendale,11/12/2020,1.029686008,1.018048048,1.526,0,4,1
31,Allendale,11/13/2020,1.033531711,1.016330481,1.61,0,4,0
32,Allendale,11/14/2020,0.945602206,1.01101172,1.649,0,5,0
33,Allendale,11/15/2020,0.956099639,1.008831143,1.755,0,5,0
34,Allendale,11/16/2020,1.065908866,1.00596714,1.724,0,5,0
35,Allendale,11/17/2020,1.08020032,1.004015684,1.754,0,5,1
36,Allendale,11/18/2020,1.093948675,1.00911212,1.719,0,5,1
37,Allendale,11/19/2020,1.108115652,1.018324733,1.663,0,5,1
38,Allendale,11/20/2020,1.122368623,1.029502153,1.759,0,5,1
39,Allendale,11/21/2020,1.141898296,1.038699627,1.776,0,6,0
40,Allendale,11/22/2020,1.161928929,1.049323916,1.813,0,6,0
41,Allendale,11/23/2020,1.182350121,1.056563377,1.826,0,6,0
42,Allendale,11/24/2020,1.200604857,1.062032819,1.919,0,6,0
43,Anderson,11/11/2020,1.058496734,1.058511376,28.909,19,40,28
44,Anderson,11/12/2020,1.050874643,1.051093936,28.753,19,40,27
