,County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
1,Abbeville,11/11/2020,0.969081798,0.987048695,5.383,1,10,5
2,Abbeville,11/12/2020,1.00180109,0.999015283,5.179,1,10,5
3,Abbeville,11/13/2020,1.041600331,1.010993438,5.202,1,10,6
4,Abbeville,11/14/2020,1.078090215,1.021931977,5.361,1,10,4
5,Abbeville,11/15/2020,1.112338193,1.028923189,5.343,1,10.025,4
6,Abbeville,11/16/2020,1.143248572,1.034020036,5.404,1,11,4
7,Abbeville,11/17/2020,1.171748902,1.038736999,5.41,1,11,4
8,Abbeville,11/18/2020,1.185376037,1.042178393,5.612,1,11,5
9,Abbeville,11/19/2020,1.191614116,1.0445954,5.544,1,11,5
10,Abbeville,11/20/2020,1.192434064,1.046677291,5.595,1,12,5
11,Abbeville,11/21/2020,1.188576433,1.048644813,5.751,1,12,6
12,Abbeville,11/22/2020,1.187234368,1.04961807,5.679,1,12,7
13,Abbeville,11/23/2020,1.186846094,1.05046959,5.83,1,12,6
14,Abbeville,11/24/2020,1.186248753,1.050715795,5.764,1,12,7
15,Abbeville,11/25/2020,0.768821467,1.05049991,5.827,1,13,7
16,Abbeville,11/26/2020,0.764470333,1.050355068,5.985,1,14,7
17,Abbeville,11/27/2020,0.7665463,1.049471942,6.082,1,13,7
18,Abbeville,11/28/2020,0.774072175,1.048615965,6.028,1,14,8
19,Abbeville,11/29/2020,0.782783572,1.04701676,6.062,1,13,7
20,Abbeville,11/30/2020,0.755829939,1.045942134,6.145,1,14,8
21,Abbeville,12/1/2020,0.736134671,1.04387182,6.313,1,15,7
22,Aiken,11/11/2020,0.724611522,0.895947464,30.504,20,41,36
23,Aiken,11/12/2020,0.720800414,0.89609244,30.877,20,42,36
24,Aiken,11/13/2020,0.718956024,0.898326517,30.951,20,42,36
25,Aiken,11/14/2020,0.727891069,0.889242713,30.268,20,43,41
26,Aiken,11/15/2020,0.747847983,0.894184818,29.794,19,42,43
27,Aiken,11/16/2020,0.765969674,0.907567036,29.791,20,41,48
28,Aiken,11/17/2020,0.778530122,0.908612643,28.855,19,41,46
29,Aiken,11/18/2020,0.940348143,0.911274987,28.176,17,41,50
30,Aiken,11/19/2020,0.933690535,0.91558817,27.892,17,39.025,49
31,Aiken,11/20/2020,0.936330771,0.9199528,27.241,17,39,53
32,Aiken,11/21/2020,0.944282855,0.925227674,26.809,16,39,52
33,Aiken,11/22/2020,0.955063194,0.932073969,26.658,16,38.025,52
34,Aiken,11/23/2020,0.9742999,0.938400851,26.582,16,39,52
35,Aiken,11/24/2020,1.000105568,0.944045123,26.249,15,39,53
36,Aiken,11/25/2020,1.03095973,0.949997729,25.627,14,38.025,54
37,Aiken,11/26/2020,1.067121912,0.956002793,26.07,15,39,49
38,Aiken,11/27/2020,1.107829363,0.963207818,25.996,14,40,46
39,Aiken,11/28/2020,1.158973626,0.970625057,25.812,15,39,42
40,Aiken,11/29/2020,1.212025009,0.976376922,25.586,14,38.025,39
41,Aiken,11/30/2020,1.257853159,0.980381053,25.752,14,40,43
42,Aiken,12/1/2020,1.299106136,0.984785388,25.695,14,39,38
43,Allendale,11/11/2020,1.03608592,0.981069202,1.326,0,4,1
44,Allendale,11/12/2020,1.036268516,0.975946301,1.431,0,4,1
45,Allendale,11/13/2020,1.038301636,0.972406494,1.548,0,4,0
46,Allendale,11/14/2020,1.043038934,0.968979034,1.56,0,5,0
47,Allendale,11/15/2020,1.046456905,0.969235241,1.58,0,5,0
48,Allendale,11/16/2020,1.048733519,0.971483563,1.707,0,5,0
49,Allendale,11/17/2020,1.052630458,0.973800884,1.599,0,5,1
50,Allendale,11/18/2020,1.060930973,0.978436695,1.607,0,5,1
51,Allendale,11/19/2020,1.066695242,0.983737132,1.616,0,5,1
52,Allendale,11/20/2020,1.074679984,0.989835517,1.554,0,5,1
