Date,Rt_actual,Rt_forecast,Case_actual,Case_forecast,Rt_lower95,Case_lower95,Rt_upper95,Case_upper95,type,County
11/11/2020,1.008956951,0.869946021,5,5,0.281314996,1,1.438900856,12,forecast,Abbeville
11/12/2020,1.014360484,0.869946021,5,4,0.281314996,1,1.438900856,11,forecast,Abbeville
11/13/2020,1.022783295,0.869946021,6,4,0.281314996,0,1.438900856,12,forecast,Abbeville
11/14/2020,1.077973112,0.869946021,4,4,0.281314996,0,1.438900856,12,forecast,Abbeville
11/15/2020,1.111923313,0.869946021,4,4,0.281314996,0,1.438900856,13,forecast,Abbeville
11/16/2020,1.044362457,0.869946021,4,4,0.281314996,0,1.438900856,13,forecast,Abbeville
11/17/2020,1.050521535,0.869946021,4,4,0.281314996,0,1.438900856,14,forecast,Abbeville
11/18/2020,1.05592095,0.869946021,5,4,0.281314996,0,1.438900856,15,forecast,Abbeville
11/19/2020,1.062792008,0.869946021,5,3,0.281314996,0,1.438900856,17,forecast,Abbeville
11/20/2020,1.073072436,0.869946021,5,3,0.281314996,0,1.438900856,18,forecast,Abbeville
11/21/2020,1.084519928,0.869946021,6,3,0.281314996,0,1.438900856,19.025,forecast,Abbeville
11/22/2020,1.099323816,0.869946021,7,3,0.281314996,0,1.438900856,21,forecast,Abbeville
11/23/2020,1.117083856,0.869946021,6,3,0.281314996,0,1.438900856,22.025,forecast,Abbeville
11/24/2020,1.138993527,0.869946021,7,3,0.281314996,0,1.438900856,26.025,forecast,Abbeville
11/25/2020,1.161904961,0.869946021,7,3,0.281314996,0,1.438900856,28.025,forecast,Abbeville
11/26/2020,1.187179295,0.869946021,7,2,0.281314996,0,1.438900856,32,forecast,Abbeville
11/27/2020,1.213600324,0.869946021,7,2,0.281314996,0,1.438900856,33.025,forecast,Abbeville
11/28/2020,1.238116591,0.869946021,8,2,0.281314996,0,1.438900856,39,forecast,Abbeville
11/29/2020,1.257843672,0.869946021,7,3,0.281314996,0,1.438900856,40.025,forecast,Abbeville
11/30/2020,1.270478235,0.869946021,8,2,0.281314996,0,1.438900856,45.025,forecast,Abbeville
12/1/2020,1.275171528,0.869946021,7,2,0.281314996,0,1.438900856,48,forecast,Abbeville
12/2/2020,1.272838508,1.106961344,6,8,0.514787089,2,1.969774184,17,forecast,Abbeville
12/3/2020,1.262802335,1.106961344,8,8,0.514787089,2,1.969774184,19,forecast,Abbeville
12/4/2020,1.245555946,1.106961344,8,8,0.514787089,2,1.969774184,19,forecast,Abbeville
12/5/2020,1.222452548,1.106961344,10,8,0.514787089,2,1.969774184,23,forecast,Abbeville
12/6/2020,1.195289806,1.106961344,11,9,0.514787089,2,1.969774184,26,forecast,Abbeville
12/7/2020,1.167828338,1.106961344,12,9,0.514787089,2,1.969774184,30,forecast,Abbeville
12/8/2020,1.141747603,1.106961344,12,9,0.514787089,1,1.969774184,35.025,forecast,Abbeville
12/9/2020,1.117178285,1.106961344,11,9,0.514787089,1,1.969774184,45,forecast,Abbeville
