Date,Rt_actual,Rt_forecast,Case_actual,Case_forecast,Rt_lower95,Case_lower95,Rt_upper95,Case_upper95,type,County
11/11/2020,0.969081798,0.869946021,5,5,0.281314996,1,1.438900856,12,forecast,Abbeville
11/12/2020,1.00180109,0.869946021,5,4,0.281314996,1,1.438900856,11,forecast,Abbeville
11/13/2020,1.041600331,0.869946021,6,4,0.281314996,0,1.438900856,12,forecast,Abbeville
11/14/2020,1.078090215,0.869946021,4,4,0.281314996,0,1.438900856,12,forecast,Abbeville
11/15/2020,1.112338193,0.869946021,4,4,0.281314996,0,1.438900856,13,forecast,Abbeville
11/16/2020,1.143248572,0.869946021,4,4,0.281314996,0,1.438900856,13,forecast,Abbeville
11/17/2020,1.171748902,0.869946021,4,4,0.281314996,0,1.438900856,14,forecast,Abbeville
11/18/2020,1.185376037,0.869946021,5,4,0.281314996,0,1.438900856,15,forecast,Abbeville
11/19/2020,1.191614116,0.869946021,5,3,0.281314996,0,1.438900856,17,forecast,Abbeville
11/20/2020,1.192434064,0.869946021,5,3,0.281314996,0,1.438900856,18,forecast,Abbeville
11/21/2020,1.188576433,0.869946021,6,3,0.281314996,0,1.438900856,19.025,forecast,Abbeville
11/22/2020,1.187234368,0.869946021,7,3,0.281314996,0,1.438900856,21,forecast,Abbeville
11/23/2020,1.186846094,0.869946021,6,3,0.281314996,0,1.438900856,22.025,forecast,Abbeville
11/24/2020,1.186248753,0.869946021,7,3,0.281314996,0,1.438900856,26.025,forecast,Abbeville
11/25/2020,1.176984886,0.869946021,7,3,0.281314996,0,1.438900856,28.025,forecast,Abbeville
11/26/2020,1.172326801,0.869946021,7,2,0.281314996,0,1.438900856,32,forecast,Abbeville
11/27/2020,1.168663273,0.869946021,7,2,0.281314996,0,1.438900856,33.025,forecast,Abbeville
11/28/2020,1.164207428,0.869946021,8,2,0.281314996,0,1.438900856,39,forecast,Abbeville
11/29/2020,1.157981861,0.869946021,7,3,0.281314996,0,1.438900856,40.025,forecast,Abbeville
11/30/2020,1.147282692,0.869946021,8,2,0.281314996,0,1.438900856,45.025,forecast,Abbeville
12/1/2020,1.130464691,0.869946021,7,2,0.281314996,0,1.438900856,48,forecast,Abbeville
12/2/2020,1.109679636,1.106961344,6,8,0.514787089,2,1.969774184,17,forecast,Abbeville
12/3/2020,1.085369862,1.106961344,8,8,0.514787089,2,1.969774184,19,forecast,Abbeville
12/4/2020,1.058000668,1.106961344,8,8,0.514787089,2,1.969774184,19,forecast,Abbeville
12/5/2020,1.033752689,1.106961344,10,8,0.514787089,2,1.969774184,23,forecast,Abbeville
12/6/2020,1.007111718,1.106961344,11,9,0.514787089,2,1.969774184,26,forecast,Abbeville
12/7/2020,0.983718926,1.106961344,12,9,0.514787089,2,1.969774184,30,forecast,Abbeville
12/8/2020,0.97009262,1.106961344,12,9,0.514787089,1,1.969774184,35.025,forecast,Abbeville
12/9/2020,0.962609926,1.106961344,11,9,0.514787089,1,1.969774184,45,forecast,Abbeville
12/10/2020,0.959259836,1.106961344,11,9,0.514787089,1,1.969774184,55.025,forecast,Abbeville
12/11/2020,0.962060703,1.106961344,11,10,0.514787089,1,1.969774184,66.025,forecast,Abbeville
12/12/2020,0.97240205,1.106961344,10,10,0.514787089,1,1.969774184,77,forecast,Abbeville
12/13/2020,0.987021316,1.106961344,10,10,0.514787089,1,1.969774184,94.025,forecast,Abbeville
12/14/2020,0.99889803,1.106961344,9,11,0.514787089,1,1.969774184,110,forecast,Abbeville
12/15/2020,1.005293152,1.106961344,10,11,0.514787089,0,1.969774184,142.05,forecast,Abbeville
12/16/2020,1.005187494,1.106961344,10,11,0.514787089,0,1.969774184,162.025,forecast,Abbeville
12/17/2020,1.001445457,1.106961344,10,11,0.514787089,0,1.969774184,206.05,forecast,Abbeville
12/18/2020,0.988842243,1.106961344,10,11,0.514787089,0,1.969774184,250.025,forecast,Abbeville
12/19/2020,0.967484983,1.106961344,9,12,0.514787089,0,1.969774184,277.375,forecast,Abbeville
12/20/2020,0.94425823,1.106961344,11,13,0.514787089,0,1.969774184,336.1,forecast,Abbeville
12/21/2020,0.918721468,1.106961344,10,12,0.514787089,0,1.969774184,399.425,forecast,Abbeville
12/22/2020,0.89433949,1.106961344,10,13,0.514787089,0,1.969774184,517.375,forecast,Abbeville
12/23/2020,0.874830532,0.980602094,10,10,0.620094971,4,1.437930809,19,forecast,Abbeville
12/24/2020,0.861793307,0.980602094,12,10,0.620094971,3,1.437930809,19,forecast,Abbeville
12/25/2020,0.860519343,0.980602094,10,10,0.620094971,3,1.437930809,20.025,forecast,Abbeville
12/26/2020,0.867929118,0.980602094,9,10,0.620094971,3,1.437930809,21,forecast,Abbeville
12/27/2020,0.885900969,0.980602094,10,10,0.620094971,3,1.437930809,23,forecast,Abbeville
12/28/2020,0.916754122,0.980602094,9,10,0.620094971,2,1.437930809,24,forecast,Abbeville
12/29/2020,0.955203696,0.980602094,10,9,0.620094971,2,1.437930809,26,forecast,Abbeville
12/30/2020,1.003282434,0.980602094,9,10,0.620094971,2,1.437930809,29,forecast,Abbeville
12/31/2020,1.059433149,0.980602094,8,10,0.620094971,2,1.437930809,31,forecast,Abbeville
1/1/2021,1.119513235,0.980602094,8,10,0.620094971,2,1.437930809,32,forecast,Abbeville
1/2/2021,1.176116276,0.980602094,8,10,0.620094971,1,1.437930809,36.025,forecast,Abbeville
1/3/2021,1.231536313,0.980602094,6,10,0.620094971,1,1.437930809,38,forecast,Abbeville
1/4/2021,1.286489861,0.980602094,7,9,0.620094971,1,1.437930809,42,forecast,Abbeville
1/5/2021,1.329942074,0.980602094,6,10,0.620094971,1,1.437930809,45,forecast,Abbeville
1/6/2021,1.35830825,0.980602094,7,9,0.620094971,1,1.437930809,50,forecast,Abbeville
1/7/2021,1.377876049,0.980602094,8,9,0.620094971,1,1.437930809,55,forecast,Abbeville
1/8/2021,1.389630667,0.980602094,10,9.5,0.620094971,1,1.437930809,57,forecast,Abbeville
1/9/2021,1.390541678,0.980602094,11,9,0.620094971,1,1.437930809,68.025,forecast,Abbeville
1/10/2021,1.386809854,0.980602094,13,9,0.620094971,0,1.437930809,72.025,forecast,Abbeville
1/11/2021,1.371845684,0.980602094,13,9,0.620094971,0,1.437930809,79.025,forecast,Abbeville
