County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
Abbeville,11/11/2020,1.008956951,0.970145004,5.539,1,11,5
Abbeville,11/12/2020,1.014360484,0.995856697,5.373,2,10,5
Abbeville,11/13/2020,1.022783295,1.018369737,5.519,1,10.025,6
Abbeville,11/14/2020,1.077973112,1.036309106,5.483,1,10,4
Abbeville,11/15/2020,1.111923313,1.049108819,5.471,1,11,4
Abbeville,11/16/2020,1.044362457,1.057042988,5.657,1,11,4
Abbeville,11/17/2020,1.050521535,1.060800256,5.768,2,11,4
Abbeville,11/18/2020,1.05592095,1.061144695,5.739,1,12,5
Abbeville,11/19/2020,1.062792008,1.058995598,5.805,1,12,5
Abbeville,11/20/2020,1.073072436,1.055083108,5.858,1,11,5
Abbeville,11/21/2020,1.084519928,1.050004532,5.911,1,12,6
Abbeville,11/22/2020,1.099323816,1.044238863,5.907,1,12,7
Abbeville,11/23/2020,1.117083856,1.038171783,5.958,1,12,6
Abbeville,11/24/2020,1.138993527,1.03213021,5.972,1,12,7
Abbeville,11/25/2020,1.161904961,1.026409189,6.047,1,13,7
Abbeville,11/26/2020,1.187179295,1.021271192,5.898,1,12,7
Abbeville,11/27/2020,1.213600324,1.016925179,6.009,1,12,7
Abbeville,11/28/2020,1.238116591,1.013519346,6.017,1,13,8
Abbeville,11/29/2020,1.257843672,1.011122799,5.859,1,12.025,7
Abbeville,11/30/2020,1.270478235,1.009724994,5.968,1,13,8
Abbeville,12/1/2020,1.275171528,1.009244495,6.07,1,14,7
Aiken,11/11/2020,1.002441209,0.782882906,26.33,17,36.025,36
Aiken,11/12/2020,0.992638276,0.796718795,27.287,18,38,36
Aiken,11/13/2020,0.984221641,0.821778792,27.613,18,39,36
Aiken,11/14/2020,0.777977114,0.853891871,27.75,18,38.025,41
Aiken,11/15/2020,0.785639376,0.889116591,28.064,17,39,43
Aiken,11/16/2020,0.970767487,0.923120051,28.089,18,39,48
Aiken,11/17/2020,0.96755984,0.952879463,28.54,18,41.025,46
Aiken,11/18/2020,0.966950956,0.977168463,28.49,17.975,41,50
Aiken,11/19/2020,0.969252074,0.995777658,28.71,18,40,49
Aiken,11/20/2020,0.97620445,1.009356103,28.875,18,41,53
Aiken,11/21/2020,0.988213308,1.018922761,29.089,18,42.025,52
Aiken,11/22/2020,1.005457219,1.025449045,29.134,18,42,52
Aiken,11/23/2020,1.024251875,1.029626732,29.341,18.975,43,52
Aiken,11/24/2020,1.044876329,1.031910091,29.979,18,44,53
Aiken,11/25/2020,1.065947562,1.032543106,29.621,17,45,54
Aiken,11/26/2020,1.088975877,1.031691001,29.974,18,45,49
Aiken,11/27/2020,1.112578312,1.029561421,30.314,18,44,46
Aiken,11/28/2020,1.136729923,1.026444048,30.226,18,44,42
Aiken,11/29/2020,1.151377975,1.022714015,30.248,18,45.025,39
Aiken,11/30/2020,1.163525989,1.018789095,30.312,18,45,43
Aiken,12/1/2020,1.173287192,1.015068797,30.285,17.975,45,38
Allendale,11/11/2020,1.030487127,0.931619479,1.206,0,4,1
Allendale,11/12/2020,1.029686008,0.91639972,1.302,0,4,1
Allendale,11/13/2020,1.033531711,0.903674277,1.454,0,4,0
Allendale,11/14/2020,0.945602206,0.895274929,1.335,0,4,0
Allendale,11/15/2020,0.956099639,0.892560642,1.33,0,4,0
Allendale,11/16/2020,1.065908866,0.895648761,1.28,0,4,0
Allendale,11/17/2020,1.08020032,0.904087246,1.333,0,4,1
Allendale,11/18/2020,1.093948675,0.916793115,1.332,0,4,1
Allendale,11/19/2020,1.108115652,0.932094247,1.302,0,4,1
Allendale,11/20/2020,1.122368623,0.948497482,1.339,0,4,1
Allendale,11/21/2020,1.141898296,0.964680364,1.393,0,4,0
Allendale,11/22/2020,1.161928929,0.979669016,1.268,0,5,0
Allendale,11/23/2020,1.182350121,0.992873033,1.4,0,5,0
Allendale,11/24/2020,1.200604857,1.004028832,1.294,0,4,0
Allendale,11/25/2020,1.216479801,1.013079249,1.277,0,5,0
Allendale,11/26/2020,1.228077199,1.020099887,1.396,0,5,0
Allendale,11/27/2020,1.234514197,1.025234223,1.393,0,5,0
Allendale,11/28/2020,1.240908374,1.028643326,1.461,0,5,1
Allendale,11/29/2020,1.243436274,1.030508585,1.368,0,5,0
Allendale,11/30/2020,1.251204997,1.031029983,1.394,0,5,1
Allendale,12/1/2020,1.255273446,1.030432716,1.444,0,5,1
Anderson,11/11/2020,1.058496734,1.039607433,28.103,18,39,28
Anderson,11/12/2020,1.050874643,1.042099346,28.292,18,39,27
Anderson,11/13/2020,1.043988464,1.045333079,28.795,18,41,36
Anderson,11/14/2020,1.042334677,1.048488443,29.125,19,42,37
