,County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
1,Abbeville,12/11/2022,0.977660183,1.041080046,6.946,2,13,7
2,Abbeville,12/12/2022,0.966588377,1.042918087,7.063,3,13,7
3,Abbeville,12/13/2022,0.953154356,1.04727938,7.124,2,13,7
4,Abbeville,12/14/2022,0.935948182,1.054478167,7.293,2,14,7
5,Abbeville,12/15/2022,0.921493248,1.062234344,7.243,2,13.025,7
6,Abbeville,12/16/2022,0.912285479,1.070965271,7.692,3,14,7
7,Abbeville,12/17/2022,0.901946685,1.081007276,7.689,2,14,7
8,Aiken,12/11/2022,3.157783246,2.285676386,7.359,2,14,7
9,Aiken,12/12/2022,3.142685177,2.279169298,7.316,2,14,7
10,Aiken,12/13/2022,3.169637646,2.281259315,7.476,2,15,5
11,Aiken,12/14/2022,3.200573438,2.282527961,7.475,2,14,5
12,Aiken,12/15/2022,3.22558521,2.290654832,7.77,2,15,5
13,Aiken,12/16/2022,3.235342202,2.296282188,7.737,2,15,5
14,Aiken,12/17/2022,3.245535626,2.305592004,7.804,2,15,5
15,Allendale,12/11/2022,1.018886389,1.040825319,69.875,55,86,38
16,Allendale,12/12/2022,1.023390674,1.040064264,77.632,60.975,96,38
17,Allendale,12/13/2022,1.034846987,1.04180512,92.697,73,111.025,29
18,Allendale,12/14/2022,1.052055823,1.045330442,112.346,91,135,29
19,Allendale,12/15/2022,1.080784714,1.050581943,136.843,110,165,29
20,Allendale,12/16/2022,1.105843945,1.057234512,165.274,134,197,29
21,Allendale,12/17/2022,1.127920907,1.065485169,202.507,166.975,238.05,29
22,Anderson,12/11/2022,1.119045874,1.119988444,248.918,205,297,29
23,Anderson,12/12/2022,1.114659782,1.121030394,302.427,246,360.025,29
24,Anderson,12/13/2022,1.109591363,1.124308541,367.485,306.975,431.025,37
25,Anderson,12/14/2022,1.103781139,1.127649009,448.047,376.975,520.025,37
26,Anderson,12/15/2022,1.097676241,1.132014022,545.44,455.975,637.025,37
27,Anderson,12/16/2022,1.092756029,1.136949483,664.83,552,779,37
28,Anderson,12/17/2022,1.085679793,1.14335377,808.775,687,947.075,37
29,Bamberg,12/11/2022,1.152151332,1.125388409,0.652,0,3,1
30,Bamberg,12/12/2022,1.154475364,1.124962089,0.757,0,3,1
31,Bamberg,12/13/2022,1.153694992,1.124321484,0.885,0,3,0
32,Bamberg,12/14/2022,1.153491525,1.123451742,0.895,0,3,0
33,Bamberg,12/15/2022,1.151294472,1.120899523,0.899,0,3,0
34,Bamberg,12/16/2022,1.151824301,1.119064613,0.904,0,4,0
35,Bamberg,12/17/2022,1.148935929,1.117035482,0.942,0,4,0
36,Barnwell,12/11/2022,1.076180053,1.142697458,1.041,0,4,0
37,Barnwell,12/12/2022,1.055975516,1.12646446,1.013,0,4,0
38,Barnwell,12/13/2022,1.052507446,1.115916673,1.053,0,4,0
39,Barnwell,12/14/2022,1.060715358,1.109629731,1.12,0,4,0
40,Barnwell,12/15/2022,1.078689968,1.108195924,1.151,0,4,0
41,Barnwell,12/16/2022,1.09225835,1.109498142,1.142,0,5,0
42,Barnwell,12/17/2022,1.108489567,1.11373205,1.214,0,5,0
43,Beaufort,12/11/2022,1.106596113,1.127301268,18.103,10,27,0
44,Beaufort,12/12/2022,1.106706654,1.12571463,16.289,9,25,0
45,Beaufort,12/13/2022,1.109208764,1.126857352,15.399,9,23,44
46,Beaufort,12/14/2022,1.109147344,1.129512689,15.613,8,24,57
47,Beaufort,12/15/2022,1.111001896,1.133103907,16.281,9,25,15
48,Beaufort,12/16/2022,1.112735647,1.136606892,16.96,9,26,0
49,Beaufort,12/17/2022,1.113276619,1.140803784,16.599,8.975,27,0
50,Berkeley,12/11/2022,1.08959976,1.102575887,16.431,8,27,0
51,Berkeley,12/12/2022,1.102413562,1.109170422,17.117,9,28,0
52,Berkeley,12/13/2022,1.11885429,1.116227461,18.001,9,28,51
53,Berkeley,12/14/2022,1.135601823,1.122886701,18.711,9,30,77
54,Berkeley,12/15/2022,1.148836158,1.128607536,19.229,10,31,30
55,Berkeley,12/16/2022,1.163131091,1.133559622,19.716,9.975,31,0
56,Berkeley,12/17/2022,1.173036962,1.137683519,20.022,11,32.025,0
57,Calhoun,12/11/2022,1.087466675,1.146733955,1.105,0,4,1
58,Calhoun,12/12/2022,1.089657242,1.146819723,1.14,0,3.025,1
59,Calhoun,12/13/2022,1.090706056,1.147699719,1.119,0,4,1
60,Calhoun,12/14/2022,1.08955011,1.150264713,1.176,0,4,1
61,Calhoun,12/15/2022,1.090435954,1.153755119,1.229,0,4,1
62,Calhoun,12/16/2022,1.094556436,1.157649756,1.222,0,4,1
63,Calhoun,12/17/2022,1.098311614,1.161724856,1.267,0,4,1
64,Charleston,12/11/2022,0.985950182,0.967932107,1.308,0,5,1
65,Charleston,12/12/2022,1.020799727,0.991555918,1.283,0,4,1
66,Charleston,12/13/2022,1.060256422,1.013794762,1.383,0,5,2
67,Charleston,12/14/2022,1.113252374,1.037699736,1.391,0,5,2
68,Charleston,12/15/2022,1.188249527,1.058651926,1.38,0,5,2
69,Charleston,12/16/2022,1.25885435,1.075523137,1.422,0,5,2
70,Charleston,12/17/2022,1.30340105,1.087629241,1.501,0,5,2
71,Cherokee,12/11/2022,1.028122693,1.016766245,2.728,0,6,3
72,Cherokee,12/12/2022,1.020360559,1.011311163,2.805,0,7,3
73,Cherokee,12/13/2022,1.016601796,1.009134117,3.004,0,7,2
74,Cherokee,12/14/2022,1.012387522,1.007830288,3.021,0,7,2
75,Cherokee,12/15/2022,1.010119935,1.008835971,3.214,0,7,2
76,Cherokee,12/16/2022,1.008487901,1.010456811,3.189,0,7,2
77,Cherokee,12/17/2022,1.009338333,1.012775863,3.301,0,8,2
78,Chester,12/11/2022,1.066522426,1.114140912,3.377,0,8,2
79,Chester,12/12/2022,1.057562469,1.113342167,3.323,0,8,2
80,Chester,12/13/2022,1.048993438,1.113587192,3.438,0,8,3
81,Chester,12/14/2022,1.042392258,1.114888245,3.556,0,9,3
82,Chester,12/15/2022,1.03581376,1.117972005,3.715,0,9,3
83,Chester,12/16/2022,1.031670222,1.1209443,3.707,0,10,3
84,Chester,12/17/2022,1.026672167,1.124812689,3.824,0,10,3
85,Chesterfield,12/11/2022,1.104777701,0.967693972,25.153,16,35,0
86,Chesterfield,12/12/2022,1.102671173,0.966252031,25.523,17,36,0
87,Chesterfield,12/13/2022,1.096994028,0.966897923,25.565,16,36,19
88,Chesterfield,12/14/2022,1.086902022,0.968630457,26.717,17,37.025,19
89,Chesterfield,12/15/2022,1.073710293,0.971379225,27.326,18,38.025,25
90,Chesterfield,12/16/2022,1.061027449,0.975811222,28.649,18,41,25
91,Chesterfield,12/17/2022,1.047058613,0.981002426,28.865,18,42,6
92,Clarendon,12/11/2022,1.064264015,1.157069345,29.748,18.975,43,0
93,Clarendon,12/12/2022,1.039636828,1.145005118,30.007,18.975,44,0
94,Clarendon,12/13/2022,1.023165397,1.138283525,30.998,19,45,31
95,Clarendon,12/14/2022,1.014851853,1.135797203,32.234,19,48,31
96,Clarendon,12/15/2022,1.008721231,1.136283753,32.934,20,47,38
97,Clarendon,12/16/2022,1.002176277,1.139537611,33.672,20,48,38
98,Clarendon,12/17/2022,0.997579029,1.144127375,34.518,21,50,8
99,Colleton,12/11/2022,1.037283572,1.10451041,34.063,23,46,3
100,Colleton,12/12/2022,1.038953307,1.107869112,33.972,23,45,11
101,Colleton,12/13/2022,1.049561952,1.113368603,34.119,23,46,25
102,Colleton,12/14/2022,1.064185499,1.121152133,35.215,24,48,30
103,Colleton,12/15/2022,1.079244539,1.128946775,36.565,25,50.025,23
104,Colleton,12/16/2022,1.098977163,1.137241695,37.77,26,51,25
105,Colleton,12/17/2022,1.126036352,1.144485966,38.439,26,53,9
