,County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
1,Abbeville,12/11/2022,1.092847483,1.041080046,6.876,2,12,7
2,Abbeville,12/12/2022,1.089876768,1.042918087,7.127,2,13,7
3,Abbeville,12/13/2022,1.092447145,1.04727938,7.221,2,13,7
4,Abbeville,12/14/2022,1.099851202,1.054478167,7.408,2.975,14,7
5,Abbeville,12/15/2022,1.109726713,1.062234344,7.458,3,14,7
6,Abbeville,12/16/2022,1.119491188,1.070965271,7.555,3,14,7
7,Abbeville,12/17/2022,1.125067676,1.081007276,7.79,3,14,7
8,Aiken,12/11/2022,1.394112251,2.285676386,69.781,54,87,38
9,Aiken,12/12/2022,1.395053772,2.279169298,78.227,61.975,96,38
10,Aiken,12/13/2022,1.40452649,2.281259315,92.252,73,112.025,29
11,Aiken,12/14/2022,1.416123784,2.282527961,112.519,91,134.025,29
12,Aiken,12/15/2022,1.428448539,2.290654833,136.19,107.975,161.025,29
13,Aiken,12/16/2022,1.436480531,2.296282188,166.085,137,200,29
14,Aiken,12/17/2022,1.442591086,2.305592004,201.295,167,239,29
15,Allendale,12/11/2022,1.061285266,1.040825319,0.661,0,3,1
16,Allendale,12/12/2022,1.061976826,1.040064264,0.813,0,3,1
17,Allendale,12/13/2022,1.066604415,1.04180512,0.834,0,3,0
18,Allendale,12/14/2022,1.07644987,1.045330442,0.903,0,3,0
19,Allendale,12/15/2022,1.089640088,1.050581943,0.917,0,3,0
20,Allendale,12/16/2022,1.098635653,1.057234512,0.92,0,3,0
21,Allendale,12/17/2022,1.103670282,1.065485169,0.93,0,3,0
22,Anderson,12/11/2022,1.12480219,1.119988444,18.037,10,26.025,0
23,Anderson,12/12/2022,1.12986214,1.121030394,16.146,8,24,0
24,Anderson,12/13/2022,1.140455245,1.124308541,15.295,8,24,44
25,Anderson,12/14/2022,1.153932396,1.127649009,15.64,8,24,57
26,Anderson,12/15/2022,1.170277415,1.132014022,16.272,9,26,15
27,Anderson,12/16/2022,1.184596131,1.136949483,16.652,8.975,27,0
28,Anderson,12/17/2022,1.19360949,1.14335377,16.56,8,26.025,0
29,Bamberg,12/11/2022,1.101347848,1.125388409,1.229,0,4,1
30,Bamberg,12/12/2022,1.100846226,1.124962089,1.205,0,4,1
31,Bamberg,12/13/2022,1.099643728,1.124321484,1.176,0,4,1
32,Bamberg,12/14/2022,1.099952395,1.123451742,1.215,0,4,1
33,Bamberg,12/15/2022,1.099588062,1.120899523,1.232,0,4,1
34,Bamberg,12/16/2022,1.099901688,1.119064613,1.305,0,4,1
35,Bamberg,12/17/2022,1.097411032,1.117035482,1.271,0,4.025,1
36,Barnwell,12/11/2022,1.192956772,1.142697458,2.597,0,6,3
37,Barnwell,12/12/2022,1.170732718,1.12646446,2.966,0,7,3
38,Barnwell,12/13/2022,1.155287687,1.115916673,2.935,0,7,2
39,Barnwell,12/14/2022,1.142543627,1.109629731,3.047,0,7,2
40,Barnwell,12/15/2022,1.131043605,1.108195924,3.181,0,7,2
41,Barnwell,12/16/2022,1.11824222,1.109498142,3.327,0,8,2
42,Barnwell,12/17/2022,1.108137402,1.11373205,3.306,0,8,2
43,Beaufort,12/11/2022,1.151493486,1.127301268,25.109,16,35,0
44,Beaufort,12/12/2022,1.151742406,1.12571463,25.374,16,35,0
45,Beaufort,12/13/2022,1.158816497,1.126857352,25.675,16,36,19
46,Beaufort,12/14/2022,1.163335756,1.12951269,26.345,17,37.025,19
47,Beaufort,12/15/2022,1.167838441,1.133103907,27.381,17,40,25
48,Beaufort,12/16/2022,1.169419991,1.136606892,28.817,18.975,41,25
49,Beaufort,12/17/2022,1.169500862,1.140803784,28.731,18,40,6
50,Berkeley,12/11/2022,1.125103132,1.102575887,33.946,23,46,3
