Date,Rt_actual,Rt_forecast,Case_forecast,Case_actual,Rt_lower95,Case_lower95,Rt_upper95,Case_upper95,County
12/11/2022,0.977660183,1.08554683,8,7,0.806902041,2,1.311879013,16,Abbeville
12/12/2022,0.966588377,1.08554683,8,7,0.806902041,2,1.311879013,16,Abbeville
12/13/2022,0.953154356,1.08554683,8,7,0.806902041,2,1.311879013,17,Abbeville
12/14/2022,0.935948182,1.08554683,8,7,0.806902041,2,1.311879013,18,Abbeville
12/15/2022,0.921493248,1.08554683,8.5,7,0.806902041,2,1.311879013,18,Abbeville
12/16/2022,0.912285479,1.08554683,9,7,0.806902041,2,1.311879013,19,Abbeville
12/17/2022,0.901946685,1.08554683,9,7,0.806902041,2,1.311879013,20,Abbeville
12/18/2022,0.897283654,1.005542439,7,7,0.771092461,2,1.252841361,15,Abbeville
12/19/2022,0.898270643,1.005542439,7,7,0.771092461,2,1.252841361,15,Abbeville
12/20/2022,0.897065526,1.005542439,7,5,0.771092461,2,1.252841361,16,Abbeville
12/21/2022,0.897334344,1.005542439,7,5,0.771092461,2,1.252841361,16,Abbeville
12/22/2022,0.901102147,1.005542439,7,5,0.771092461,2,1.252841361,17,Abbeville
12/23/2022,0.915573646,1.005542439,7,5,0.771092461,1.975,1.252841361,17,Abbeville
12/24/2022,0.932167573,1.005542439,7,5,0.771092461,2,1.252841361,17,Abbeville
12/25/2022,0.948580939,0.905014408,5,5,0.683714412,1,1.159233355,12,Abbeville
12/26/2022,0.965086442,0.905014408,5,5,0.683714412,1,1.159233355,12,Abbeville
12/27/2022,0.983361559,0.905014408,5,6,0.683714412,1,1.159233355,11,Abbeville
12/28/2022,0.999009023,0.905014408,5,6,0.683714412,1,1.159233355,11.025,Abbeville
12/29/2022,1.006464566,0.905014408,5,6,0.683714412,1,1.159233355,12,Abbeville
12/30/2022,1.009495024,0.905014408,5,6,0.683714412,1,1.159233355,12,Abbeville
12/31/2022,1.005303149,0.905014408,5,6,0.683714412,0,1.159233355,12,Abbeville
1/1/2023,0.998400247,0.938038493,5,6,0.725856674,1,1.227827817,11,Abbeville
1/2/2023,0.991951671,0.938038493,5,6,0.725856674,1,1.227827817,11,Abbeville
1/3/2023,0.979765445,0.938038493,5,0,0.725856674,1,1.227827817,12,Abbeville
1/4/2023,0.96392138,0.938038493,5,5,0.725856674,1,1.227827817,12,Abbeville
1/5/2023,0.945747619,0.938038493,5,5,0.725856674,1,1.227827817,12,Abbeville
1/6/2023,0.930092471,0.938038493,5,5,0.725856674,1,1.227827817,12,Abbeville
1/7/2023,0.917916634,0.938038493,5,5,0.725856674,1,1.227827817,13,Abbeville
1/8/2023,0.910013562,0.918557144,4,5,0.712172378,1,1.190928339,10,Abbeville
1/9/2023,0.906076061,0.918557144,4,5,0.712172378,1,1.190928339,10,Abbeville
1/10/2023,0.91234814,0.918557144,4,9,0.712172378,1,1.190928339,10,Abbeville
1/11/2023,0.928343449,0.918557144,4,4,0.712172378,0,1.190928339,10,Abbeville
1/12/2023,0.951736706,0.918557144,4,4,0.712172378,0,1.190928339,10,Abbeville
1/13/2023,0.975516068,0.918557144,4,4,0.712172378,0,1.190928339,10,Abbeville
1/14/2023,1.000768504,0.918557144,4,4,0.712172378,0,1.190928339,10,Abbeville
1/15/2023,1.027637216,0.954621243,4,4,0.741153217,1,1.207548095,10,Abbeville
1/16/2023,1.055406901,0.954621243,4,4,0.741153217,1,1.207548095,10,Abbeville
