County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
Abbeville,12/11/2022,1.092847483,0.990522891,6.702,2,12,7
Abbeville,12/12/2022,1.089876768,0.994812662,6.743,2,12,7
Abbeville,12/13/2022,1.092447145,0.998110223,6.836,2,12,7
Abbeville,12/14/2022,1.099851202,1.001401693,6.721,2,12,7
Abbeville,12/15/2022,1.109726713,1.001141194,6.81,2,13,7
Abbeville,12/16/2022,1.119491188,1.000120123,6.877,2,13,7
Abbeville,12/17/2022,1.125067676,0.999917555,6.892,2,13,7
Aiken,12/11/2022,1.394112251,3.220566935,97.728,80.975,118,38
Aiken,12/12/2022,1.395053772,3.221315496,114.289,95,136,38
Aiken,12/13/2022,1.40452649,3.226595333,147.487,123,173.025,29
Aiken,12/14/2022,1.416123784,3.225253461,196.534,165,229,29
Aiken,12/15/2022,1.428448539,3.223851516,261.271,220.95,301,29
Aiken,12/16/2022,1.436480531,3.223851516,348.1,295.975,401.025,29
Aiken,12/17/2022,1.442591086,3.223851516,461.298,395.95,528.025,29
Allendale,12/11/2022,1.061285266,1.020566616,0.679,0,3,1
Allendale,12/12/2022,1.061976826,1.017241221,0.79,0,3,1
Allendale,12/13/2022,1.066604415,1.015769291,0.841,0,3,0
Allendale,12/14/2022,1.07644987,1.013608689,0.819,0,3,0
Allendale,12/15/2022,1.089640088,1.010578175,0.91,0,3,0
Allendale,12/16/2022,1.098635653,1.007133141,0.882,0,3,0
Allendale,12/17/2022,1.103670282,1.005409494,0.863,0,3,0
Anderson,12/11/2022,1.12480219,1.113670836,17.932,10,26,0
Anderson,12/12/2022,1.12986214,1.109176569,16.078,9,25,0
Anderson,12/13/2022,1.140455245,1.106356704,15.078,8,23,44
Anderson,12/14/2022,1.153932396,1.101854639,15.088,8,23,57
Anderson,12/15/2022,1.170277415,1.096652306,15.664,8,24,15
Anderson,12/16/2022,1.184596131,1.089674482,15.865,8,25,0
Anderson,12/17/2022,1.19360949,1.08697379,15.555,7,25.025,0
Bamberg,12/11/2022,1.101347848,1.135670993,1.059,0,4,1
Bamberg,12/12/2022,1.100846226,1.128706337,1.09,0,3,1
Bamberg,12/13/2022,1.099643728,1.123374081,1.108,0,4,1
Bamberg,12/14/2022,1.099952395,1.119162879,1.162,0,4,1
Bamberg,12/15/2022,1.099588062,1.111552373,1.155,0,4,1
Bamberg,12/16/2022,1.099901688,1.107813315,1.188,0,4,1
Bamberg,12/17/2022,1.097411032,1.104239761,1.239,0,4,1
Barnwell,12/11/2022,1.192956772,1.100924159,2.484,0,6,3
Barnwell,12/12/2022,1.170732718,1.093344161,2.742,0,6,3
Barnwell,12/13/2022,1.155287687,1.089377905,2.911,0,7,2
Barnwell,12/14/2022,1.142543627,1.086827231,2.967,0,7,2
Barnwell,12/15/2022,1.131043605,1.085006794,3.011,0,7,2
Barnwell,12/16/2022,1.11824222,1.080452123,3.107,0,7,2
Barnwell,12/17/2022,1.108137402,1.078091891,2.956,0,7,2
Beaufort,12/11/2022,1.151493486,1.096642647,24.489,15,34,0
Beaufort,12/12/2022,1.151742406,1.092077902,24.487,16,34,0
Beaufort,12/13/2022,1.158816497,1.08801557,24.538,15,34,19
Beaufort,12/14/2022,1.163335756,1.086792483,25.214,15,35,19
Beaufort,12/15/2022,1.167838441,1.084710338,25.872,16,37.025,25
Beaufort,12/16/2022,1.169419991,1.080124679,26.279,16,38,25
Beaufort,12/17/2022,1.169500862,1.077926313,26.355,16,38,6
Berkeley,12/11/2022,1.125103132,1.07256083,33.007,22,46,3
Berkeley,12/12/2022,1.13589539,1.074036437,32.61,22,45,11
Berkeley,12/13/2022,1.149612417,1.072528491,32.407,22,45,25
Berkeley,12/14/2022,1.166275029,1.073112238,32.957,22,45,30
Berkeley,12/15/2022,1.185957902,1.071501088,33.999,23,46,23
Berkeley,12/16/2022,1.202332834,1.071510955,34.449,22,47,25
Berkeley,12/17/2022,1.210365303,1.068627395,34.242,23,47.025,9
Calhoun,12/11/2022,1.20802127,1.08331832,4.466,1,9,0
Calhoun,12/12/2022,1.20690881,1.080296069,4.024,1,9,0
Calhoun,12/13/2022,1.207051896,1.077666172,3.985,1,8,3
Calhoun,12/14/2022,1.20548648,1.075350031,3.967,1,8,3
Calhoun,12/15/2022,1.201053698,1.07443679,4.096,0,9,24
Calhoun,12/16/2022,1.197923217,1.073843203,4.253,1,9,0
Calhoun,12/17/2022,1.197069128,1.073383984,4.233,0,10,7
Charleston,12/11/2022,0.976711432,0.9480164,51.907,39,67,68
Charleston,12/12/2022,0.999119701,0.953431597,56.522,42,71,68
Charleston,12/13/2022,1.020826427,0.955644763,57.933,43,73,31
Charleston,12/14/2022,1.046106128,0.960344173,58.298,44,74,31
Charleston,12/15/2022,1.076529509,0.964426717,58.295,43,74,31
Charleston,12/16/2022,1.105281144,0.965284935,58.227,43.975,75,31
Charleston,12/17/2022,1.118257547,0.964243545,57.312,42,73,31
Cherokee,12/11/2022,0.998655994,1.038484789,12.385,6,19.025,0
