County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
Abbeville,12/11/2022,1.092847483,1.100130286,7.336,3,13,7
Abbeville,12/12/2022,1.089876768,1.100043725,7.512,3,13,7
Abbeville,12/13/2022,1.092447145,1.101350288,7.634,3,13,7
Abbeville,12/14/2022,1.099851202,1.101851078,7.889,2,14,7
Abbeville,12/15/2022,1.109726713,1.102063747,8.102,3,14.025,7
Abbeville,12/16/2022,1.119491188,1.101466492,8.059,3,14,7
Abbeville,12/17/2022,1.125067676,1.101219955,8.39,3,16,7
Aiken,12/11/2022,1.394112251,1.382593001,42.12,29,55,38
Aiken,12/12/2022,1.395053772,1.368911446,45.508,33,60,38
Aiken,12/13/2022,1.40452649,1.35402814,48.399,35,62.025,29
Aiken,12/14/2022,1.416123784,1.341317213,51.234,37,67,29
Aiken,12/15/2022,1.428448539,1.322709759,54.651,40,70.025,29
Aiken,12/16/2022,1.436480531,1.30224544,57.439,41.975,75,29
Aiken,12/17/2022,1.442591086,1.285105259,59.817,43.975,77,29
Allendale,12/11/2022,1.061285266,1.068732905,0.709,0,3,1
Allendale,12/12/2022,1.061976826,1.070398496,0.834,0,3,1
Allendale,12/13/2022,1.066604415,1.074762455,0.835,0,3,0
Allendale,12/14/2022,1.07644987,1.076980642,0.854,0,3,0
Allendale,12/15/2022,1.089640088,1.079959196,0.94,0,3,0
Allendale,12/16/2022,1.098635653,1.083311349,0.96,0,3,0
Allendale,12/17/2022,1.103670282,1.086512601,0.932,0,3.025,0
Anderson,12/11/2022,1.12480219,1.119002524,17.982,10,28,0
Anderson,12/12/2022,1.12986214,1.117044453,16.11,9,24,0
Anderson,12/13/2022,1.140455245,1.115534602,15.326,9,23,44
Anderson,12/14/2022,1.153932396,1.114104988,15.472,8,24,57
Anderson,12/15/2022,1.170277415,1.113007424,15.992,8,25,15
Anderson,12/16/2022,1.184596131,1.113176473,16.309,8,26,0
Anderson,12/17/2022,1.19360949,1.113028589,16.025,8,26,0
Bamberg,12/11/2022,1.101347848,1.102466242,1.129,0,3.025,1
Bamberg,12/12/2022,1.100846226,1.101705746,1.138,0,4,1
Bamberg,12/13/2022,1.099643728,1.101200949,1.155,0,3,1
Bamberg,12/14/2022,1.099952395,1.100900166,1.181,0,4,1
Bamberg,12/15/2022,1.099588062,1.100729617,1.173,0,4,1
Bamberg,12/16/2022,1.099901688,1.101087999,1.222,0,4,1
Bamberg,12/17/2022,1.097411032,1.101633153,1.288,0,4,1
Barnwell,12/11/2022,1.192956772,1.206717443,2.887,0,7,3
Barnwell,12/12/2022,1.170732718,1.194142025,3.065,0,7,3
Barnwell,12/13/2022,1.155287687,1.185719081,3.229,0,7,2
Barnwell,12/14/2022,1.142543627,1.171233962,3.267,0,7,2
Barnwell,12/15/2022,1.131043605,1.163945939,3.481,0,8,2
Barnwell,12/16/2022,1.11824222,1.155433038,3.728,0,8,2
Barnwell,12/17/2022,1.108137402,1.150193625,3.641,0,8.025,2
Beaufort,12/11/2022,1.151493486,1.149594817,25.424,17,37,0
Beaufort,12/12/2022,1.151742406,1.142287353,25.592,16,36,0
Beaufort,12/13/2022,1.158816497,1.137052167,26.071,16,36.025,19
Beaufort,12/14/2022,1.163335756,1.132280774,26.746,17,38,19
Beaufort,12/15/2022,1.167838441,1.128729945,27.693,17,39,25
Beaufort,12/16/2022,1.169419991,1.123588368,28.388,18,41,25
Beaufort,12/17/2022,1.169500862,1.119939237,28.828,18,41.025,6
Berkeley,12/11/2022,1.125103132,1.115921464,34.078,23,46,3
Berkeley,12/12/2022,1.13589539,1.115361486,34.05,23,46,11
Berkeley,12/13/2022,1.149612417,1.113631781,33.729,23,46,25
Berkeley,12/14/2022,1.166275029,1.113145348,34.418,22,47.025,30
Berkeley,12/15/2022,1.185957902,1.113167205,35.904,24,49,23
Berkeley,12/16/2022,1.202332834,1.113030288,36.906,25,50,25
Berkeley,12/17/2022,1.210365303,1.113304595,37.288,25,52,9
Calhoun,12/11/2022,1.20802127,1.198209725,4.871,1,10,0
Calhoun,12/12/2022,1.20690881,1.190735059,4.481,1,9,0
Calhoun,12/13/2022,1.207051896,1.179810386,4.383,1,9,3
Calhoun,12/14/2022,1.20548648,1.172114169,4.566,1,10,3
Calhoun,12/15/2022,1.201053698,1.164516489,4.647,1,9,24
Calhoun,12/16/2022,1.197923217,1.15744595,4.952,1,10,0
Calhoun,12/17/2022,1.197069128,1.151034597,5.071,1,10,7
Charleston,12/11/2022,0.976711432,0.945631683,52.41,39,67,68
Charleston,12/12/2022,0.999119701,0.949811172,55.784,42,71,68
Charleston,12/13/2022,1.020826427,0.947325428,57.157,43,72,31
Charleston,12/14/2022,1.046106128,0.948927955,57.26,42,73.025,31
Charleston,12/15/2022,1.076529509,0.948678276,57.004,41,72,31
Charleston,12/16/2022,1.105281144,0.949458456,56.794,41,74,31
Charleston,12/17/2022,1.118257547,0.949337487,55.931,41,73,31
Cherokee,12/11/2022,0.998655994,1.0052781,12.248,6,19,0
Cherokee,12/12/2022,0.987199171,0.999495013,11.815,5,18.025,0
Cherokee,12/13/2022,0.976964889,0.996782379,12.368,6,20,14
Cherokee,12/14/2022,0.967201074,0.993202545,12.382,6,20,6
Cherokee,12/15/2022,0.959473704,0.990708559,12.331,6,20,46
Cherokee,12/16/2022,0.954053746,0.985780639,12.434,6,20,0
Cherokee,12/17/2022,0.950139778,0.981242943,12.583,6,21,0
Chester,12/11/2022,1.158873447,1.149855791,32.084,22,43,0
Chester,12/12/2022,1.164685074,1.144774321,33.144,23,45,0
Chester,12/13/2022,1.173779776,1.139569728,32.912,21.975,45,8
Chester,12/14/2022,1.185182572,1.134678945,34.494,23,48,13
Chester,12/15/2022,1.197046514,1.131282169,36.406,25,50,75
Chester,12/16/2022,1.206985636,1.126857608,37.047,25.975,51.025,62
Chester,12/17/2022,1.213953087,1.122153848,38.183,26,52,0
Chesterfield,12/11/2022,0.827740254,0.848142664,26.253,16,37,10
Chesterfield,12/12/2022,0.812708362,0.84680784,25.701,16,36,22
Chesterfield,12/13/2022,0.799649765,0.853710456,25.237,16,36,40
Chesterfield,12/14/2022,0.787499747,0.85737676,24.568,15,35,52
Chesterfield,12/15/2022,0.777213079,0.8621062,24.393,15,35.025,40
Chesterfield,12/16/2022,0.770672264,0.867284605,23.96,16,34,43
Chesterfield,12/17/2022,0.766025453,0.871941072,22.852,13,33,23
Clarendon,12/11/2022,1.234023112,1.227459537,4.569,1,9,5
Clarendon,12/12/2022,1.230269714,1.215060936,5.029,1,10,5
Clarendon,12/13/2022,1.232693384,1.200006669,5.193,1,10,5
Clarendon,12/14/2022,1.23867369,1.188004796,5.437,1,11,5
Clarendon,12/15/2022,1.245515875,1.178354481,5.49,1,11,5
Clarendon,12/16/2022,1.251049533,1.170190333,5.827,1,11,5
Clarendon,12/17/2022,1.254312284,1.162352813,5.906,1,11,5
Colleton,12/11/2022,1.169691708,1.156526319,5.389,1,11,6
Colleton,12/12/2022,1.178668336,1.152799271,5.837,2,11,6
Colleton,12/13/2022,1.189882887,1.146489683,6.225,2,12,4
Colleton,12/14/2022,1.204160614,1.14196372,6.497,2,12,4
Colleton,12/15/2022,1.218115405,1.135782234,6.549,2,12,4
Colleton,12/16/2022,1.232832081,1.132209599,6.742,2,14,4
Colleton,12/17/2022,1.243952952,1.128433315,6.929,2,13,4
Darlington,12/11/2022,1.077551332,1.091166574,8.524,3,15,10
Darlington,12/12/2022,1.067148104,1.088351932,9.158,4,15,10
Darlington,12/13/2022,1.060842455,1.091168457,9.467,4,16,8
Darlington,12/14/2022,1.055706836,1.091312962,9.961,4,16.025,8
Darlington,12/15/2022,1.051174233,1.092882309,10.258,4,17,8
Darlington,12/16/2022,1.047126364,1.092228908,10.497,5,18,8
Darlington,12/17/2022,1.042145515,1.092278041,10.466,4,18,8
Dillon,12/11/2022,1.088413307,1.118151698,6.22,2,12,7
Dillon,12/12/2022,1.059085346,1.111887724,6.568,2,12,7
Dillon,12/13/2022,1.030429424,1.112616929,7.078,2,13,13
Dillon,12/14/2022,1.003177148,1.111273814,7.241,2,13,13
Dillon,12/15/2022,0.975072762,1.112284056,7.489,2,14,13
Dillon,12/16/2022,0.951720006,1.112107175,7.551,2,14,13
Dillon,12/17/2022,0.933044796,1.112644571,7.776,3,15,13
Dorchester,12/11/2022,1.074823853,1.056602557,25.633,17,36,2
Dorchester,12/12/2022,1.091683227,1.058355864,25.797,17,36,1
Dorchester,12/13/2022,1.110119045,1.054959815,25.671,16,36,18
Dorchester,12/14/2022,1.129989966,1.054791802,26.039,16,38,20
