County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
Abbeville,12/11/2022,1.092847483,1.094890327,7.208,2,13,7
Abbeville,12/12/2022,1.089876768,1.096646302,7.454,3,13,7
Abbeville,12/13/2022,1.092447145,1.103444529,7.589,3,13,7
Abbeville,12/14/2022,1.099851202,1.113413856,7.862,3,14,7
Abbeville,12/15/2022,1.109726713,1.125452408,8.028,3,15,7
Abbeville,12/16/2022,1.119491188,1.138342604,8.184,3,15,7
Abbeville,12/17/2022,1.125067676,1.151190003,8.683,3,16,7
Aiken,12/11/2022,1.394112251,1.397185979,41.721,30,55,38
Aiken,12/12/2022,1.395053772,1.399546664,45.136,33,59,38
Aiken,12/13/2022,1.40452649,1.408302357,48.934,35,64,29
Aiken,12/14/2022,1.416123784,1.421667082,52.768,39,67,29
Aiken,12/15/2022,1.428448539,1.438430521,57.549,42.975,74,29
Aiken,12/16/2022,1.436480531,1.456725698,62.457,45.975,79.025,29
Aiken,12/17/2022,1.442591086,1.474814184,68.573,51,89,29
Allendale,12/11/2022,1.061285266,1.061489901,0.656,0,2,1
Allendale,12/12/2022,1.061976826,1.060080795,0.791,0,3,1
Allendale,12/13/2022,1.066604415,1.060877412,0.835,0,3,0
Allendale,12/14/2022,1.07644987,1.063995486,0.849,0,3,0
Allendale,12/15/2022,1.089640088,1.069322309,0.873,0,3,0
Allendale,12/16/2022,1.098635653,1.076559417,0.846,0,3,0
Allendale,12/17/2022,1.103670282,1.085826538,0.927,0,3,0
Anderson,12/11/2022,1.12480219,1.125757475,17.991,10,28,0
Anderson,12/12/2022,1.12986214,1.135073478,16.176,9,24,0
Anderson,12/13/2022,1.140455245,1.149170743,15.484,8,23,44
Anderson,12/14/2022,1.153932396,1.1656509,15.603,8,25,57
Anderson,12/15/2022,1.170277415,1.183648703,16.229,8,25.025,15
Anderson,12/16/2022,1.184596131,1.201431487,16.827,9,26,0
Anderson,12/17/2022,1.19360949,1.217781998,17.71,9,28.025,0
Bamberg,12/11/2022,1.101347848,1.101999416,1.106,0,4,1
Bamberg,12/12/2022,1.100846226,1.100868371,1.076,0,4,1
Bamberg,12/13/2022,1.099643728,1.098405159,1.227,0,4,1
Bamberg,12/14/2022,1.099952395,1.095171057,1.203,0,4,1
Bamberg,12/15/2022,1.099588062,1.091597761,1.191,0,4,1
Bamberg,12/16/2022,1.099901688,1.088282499,1.207,0,4,1
Bamberg,12/17/2022,1.097411032,1.085288339,1.218,0,4.025,1
Barnwell,12/11/2022,1.192956772,1.193879027,2.701,0,6,3
Barnwell,12/12/2022,1.170732718,1.172075544,2.878,0,6,3
Barnwell,12/13/2022,1.155287687,1.154956021,2.971,0,7,2
Barnwell,12/14/2022,1.142543627,1.143265305,3.182,0,7,2
Barnwell,12/15/2022,1.131043605,1.13739162,3.096,0,7,2
Barnwell,12/16/2022,1.11824222,1.137013612,3.244,0,8,2
Barnwell,12/17/2022,1.108137402,1.1415164,3.373,0,8,2
Beaufort,12/11/2022,1.151493486,1.151131254,25.144,16,35,0
Beaufort,12/12/2022,1.151742406,1.151077094,25.637,16,35.025,0
Beaufort,12/13/2022,1.158816497,1.15603052,25.94,17,36,19
Beaufort,12/14/2022,1.163335756,1.164999655,26.415,17,37,19
Beaufort,12/15/2022,1.167838441,1.177284067,27.432,17,39,25
Beaufort,12/16/2022,1.169419991,1.191529108,28.986,18,41,25
Beaufort,12/17/2022,1.169500862,1.206545199,29.975,19,43,6
Berkeley,12/11/2022,1.125103132,1.125035313,34.225,23,47,3
Berkeley,12/12/2022,1.13589539,1.136511174,34.642,23,46,11
Berkeley,12/13/2022,1.149612417,1.150008694,35.398,25,47,25
Berkeley,12/14/2022,1.166275029,1.163350927,35.675,24,48,30
Berkeley,12/15/2022,1.185957902,1.17589966,37.321,26,51,23
Berkeley,12/16/2022,1.202332834,1.186461089,38.745,26,53,25
Berkeley,12/17/2022,1.210365303,1.194662018,40.218,28,54.025,9
Calhoun,12/11/2022,1.20802127,1.211856797,4.763,1,9,0
Calhoun,12/12/2022,1.20690881,1.214477726,4.653,1,9,0
Calhoun,12/13/2022,1.207051896,1.220981579,4.73,1,9.025,3
Calhoun,12/14/2022,1.20548648,1.231147587,4.787,1,10,3
Calhoun,12/15/2022,1.201053698,1.243806992,5.103,1,10,24
Calhoun,12/16/2022,1.197923217,1.258473845,5.251,1,11,0
Calhoun,12/17/2022,1.197069128,1.273769126,5.452,1,11,7
Charleston,12/11/2022,0.976711432,0.977031386,53.476,40,69,68
Charleston,12/12/2022,0.999119701,1.005764282,57.923,43,73,68
Charleston,12/13/2022,1.020826427,1.034272783,61.347,46,78,31
Charleston,12/14/2022,1.046106128,1.058553135,63.699,48.975,79,31
Charleston,12/15/2022,1.076529509,1.078083929,64.864,48,82,31
Charleston,12/16/2022,1.105281144,1.091966201,66.515,49,83,31
Charleston,12/17/2022,1.118257547,1.099618699,67.452,51,85,31
Cherokee,12/11/2022,0.998655994,0.998445979,11.616,5,19,0
Cherokee,12/12/2022,0.987199171,0.991581883,12.179,6,19,0
Cherokee,12/13/2022,0.976964889,0.98759528,11.972,6,19.025,14
Cherokee,12/14/2022,0.967201074,0.986786933,12.107,6,20,6
Cherokee,12/15/2022,0.959473704,0.989436266,12.147,6,20,46
Cherokee,12/16/2022,0.954053746,0.99540403,11.866,5,19.025,0
Cherokee,12/17/2022,0.950139778,1.004192455,11.946,5,20,0
Chester,12/11/2022,1.158873447,1.160353007,31.122,21,42,0
Chester,12/12/2022,1.164685074,1.167180649,33.638,23,45,0
Chester,12/13/2022,1.173779776,1.176687954,34.553,24,47,8
Chester,12/14/2022,1.185182572,1.187857789,35.639,24,48,13
Chester,12/15/2022,1.197046514,1.200166559,37.338,26,51,75
Chester,12/16/2022,1.206985636,1.212353913,39.05,26,53,62
Chester,12/17/2022,1.213953087,1.223684245,40.763,27.975,55.025,0
Chesterfield,12/11/2022,0.827740254,0.827461824,25.349,16,36,10
Chesterfield,12/12/2022,0.812708362,0.81827695,24.994,15,35,22
Chesterfield,12/13/2022,0.799649765,0.81501886,24.033,15,34.025,40
Chesterfield,12/14/2022,0.787499747,0.817341858,23.317,14,34,52
Chesterfield,12/15/2022,0.777213079,0.824766363,22.561,14,32,40
Chesterfield,12/16/2022,0.770672264,0.836679473,22.227,13,33,43
Chesterfield,12/17/2022,0.766025453,0.852317968,21.514,13,31,23
Clarendon,12/11/2022,1.234023112,1.236864813,4.257,1,9,5
Clarendon,12/12/2022,1.230269714,1.236047865,4.877,1,9,5
Clarendon,12/13/2022,1.232693384,1.240616162,5.179,1,10,5
Clarendon,12/14/2022,1.23867369,1.24928847,5.52,1,11,5
