Date,Rt_actual,Rt_forecast,Case_forecast,Case_actual,Rt_lower95,Case_lower95,Rt_upper95,Case_upper95,County
12/11/2022,1.092847483,1.077406657,8,7,0.797152174,2,1.323810773,16,Abbeville
12/12/2022,1.089876768,1.077406657,8,7,0.797152174,2,1.323810773,16,Abbeville
12/13/2022,1.092447145,1.077406657,8,7,0.797152174,2,1.323810773,17,Abbeville
12/14/2022,1.099851202,1.077406657,8,7,0.797152174,2,1.323810773,18,Abbeville
12/15/2022,1.109726713,1.077406657,8,7,0.797152174,2,1.323810773,18,Abbeville
12/16/2022,1.119491188,1.077406657,8,7,0.797152174,2,1.323810773,19,Abbeville
12/17/2022,1.125067676,1.077406657,9,7,0.797152174,2,1.323810773,20,Abbeville
12/18/2022,1.126822574,1.077406657,9,7,0.797152174,2,1.323810773,21,Abbeville
12/19/2022,1.125528622,1.077406657,9,7,0.797152174,2,1.323810773,23.025,Abbeville
12/20/2022,1.121003313,1.077406657,10,5,0.797152174,2,1.323810773,25,Abbeville
12/21/2022,1.117662008,1.077406657,9,5,0.797152174,2,1.323810773,25,Abbeville
12/22/2022,1.113839425,1.077406657,10,5,0.797152174,2,1.323810773,28,Abbeville
12/23/2022,1.11271732,1.077406657,10,5,0.797152174,2,1.323810773,29,Abbeville
12/24/2022,1.112146289,1.077406657,10,5,0.797152174,1,1.323810773,31,Abbeville
12/25/2022,1.112343347,0.899424511,5,5,0.674890151,1,1.133172036,11,Abbeville
12/26/2022,1.117128404,0.899424511,5,5,0.674890151,1,1.133172036,11.025,Abbeville
12/27/2022,1.125466788,0.899424511,5,6,0.674890151,1,1.133172036,12,Abbeville
12/28/2022,1.137073606,0.899424511,5,6,0.674890151,1,1.133172036,11,Abbeville
12/29/2022,1.144940142,0.899424511,5,6,0.674890151,1,1.133172036,11,Abbeville
12/30/2022,1.149738363,0.899424511,4.5,6,0.674890151,1,1.133172036,11,Abbeville
12/31/2022,1.149158764,0.899424511,4,6,0.674890151,0,1.133172036,12,Abbeville
1/1/2023,1.143270894,0.899424511,4,6,0.674890151,0,1.133172036,12,Abbeville
1/2/2023,1.129588324,0.899424511,4,6,0.674890151,0,1.133172036,12,Abbeville
1/3/2023,1.109420411,0.899424511,4,0,0.674890151,0,1.133172036,12,Abbeville
1/4/2023,1.080827498,0.899424511,4,5,0.674890151,0,1.133172036,12,Abbeville
1/5/2023,1.046982113,0.899424511,4,5,0.674890151,0,1.133172036,12,Abbeville
1/6/2023,1.011542691,0.899424511,4,5,0.674890151,0,1.133172036,12,Abbeville
1/7/2023,0.977593321,0.899424511,4,5,0.674890151,0,1.133172036,12,Abbeville
1/8/2023,0.9485781,0.922083453,4,5,0.726651329,1,1.178416262,10,Abbeville
1/9/2023,0.923842968,0.922083453,4,5,0.726651329,0,1.178416262,9,Abbeville
1/10/2023,0.906862927,0.922083453,4,9,0.726651329,0.975,1.178416262,10,Abbeville
1/11/2023,0.89868023,0.922083453,4,4,0.726651329,1,1.178416262,10,Abbeville
1/12/2023,0.897007993,0.922083453,4,4,0.726651329,0,1.178416262,10,Abbeville
1/13/2023,0.900742755,0.922083453,4,4,0.726651329,0,1.178416262,10,Abbeville
1/14/2023,0.91096874,0.922083453,4,4,0.726651329,0,1.178416262,10,Abbeville
1/15/2023,0.925320699,0.922083453,4,4,0.726651329,0,1.178416262,10,Abbeville
1/16/2023,0.943860226,0.922083453,4,4,0.726651329,0,1.178416262,10,Abbeville
1/17/2023,0.962195693,0.922083453,3,0,0.726651329,0,1.178416262,10,Abbeville
