County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
Abbeville,12/11/2022,1.092847483,0.990522891,6.569,2,11.025,7
Abbeville,12/12/2022,1.089876768,0.994812662,6.718,2,12,7
Abbeville,12/13/2022,1.092447145,0.998110223,6.78,2,12,7
Abbeville,12/14/2022,1.099851202,1.001401693,7.002,2,13,7
Abbeville,12/15/2022,1.109726713,1.001141194,6.737,2,12,7
Abbeville,12/16/2022,1.119491188,1.000120123,6.916,2,12.025,7
Abbeville,12/17/2022,1.125067676,0.999917555,6.838,2,13,7
Abbeville,12/18/2022,1.126822574,0.999842213,6.904,2,13,7
Abbeville,12/19/2022,1.125528622,0.999842213,6.761,2,13,7
Abbeville,12/20/2022,1.121003313,0.999842213,6.907,2,14,5
Abbeville,12/21/2022,1.117662008,0.999842213,6.709,2,13,5
Abbeville,12/22/2022,1.113839425,0.999842213,6.911,2,14,5
Abbeville,12/23/2022,1.11271732,0.999842213,6.803,2,14,5
Abbeville,12/24/2022,1.112146289,0.999842213,6.898,2,14,5
Aiken,12/11/2022,1.394112251,3.220566935,98.095,80,116,38
Aiken,12/12/2022,1.395053772,3.221315496,114.272,93,135,38
Aiken,12/13/2022,1.40452649,3.226595333,147.728,123,173,29
Aiken,12/14/2022,1.416123784,3.225253461,195.431,167,226.025,29
Aiken,12/15/2022,1.428448539,3.223851516,260.446,219,301,29
Aiken,12/16/2022,1.436480531,3.223851516,348.195,299,396.025,29
Aiken,12/17/2022,1.442591086,3.223851516,460.793,397,527.025,29
Aiken,12/18/2022,1.441477815,3.223851516,613.598,529,698.025,29
Aiken,12/19/2022,1.43289445,3.223851516,816.431,710.975,925,29
Aiken,12/20/2022,1.42228718,3.223851516,1087.842,945.975,1233.075,37
Aiken,12/21/2022,1.412219726,3.223851516,1445.327,1258.975,1633.075,37
Aiken,12/22/2022,1.403508238,3.223851516,1921.642,1681.9,2166.05,37
Aiken,12/23/2022,1.398223103,3.223851516,2557.666,2245.95,2880.025,37
Aiken,12/24/2022,1.394135644,3.223851516,3395.446,2980.95,3816.4,37
Allendale,12/11/2022,1.061285266,1.020566616,0.633,0,3,1
Allendale,12/12/2022,1.061976826,1.017241221,0.821,0,3,1
Allendale,12/13/2022,1.066604415,1.015769291,0.8,0,3,0
Allendale,12/14/2022,1.07644987,1.013608689,0.791,0,3,0
Allendale,12/15/2022,1.089640088,1.010578175,0.845,0,3,0
Allendale,12/16/2022,1.098635653,1.007133141,0.848,0,3,0
Allendale,12/17/2022,1.103670282,1.005409494,0.843,0,3,0
Allendale,12/18/2022,1.102065548,1.005317275,0.844,0,3,0
Allendale,12/19/2022,1.099959312,1.005291465,0.834,0,4,0
Allendale,12/20/2022,1.096910686,1.005257465,0.78,0,3,0
Allendale,12/21/2022,1.100049846,1.005257465,0.829,0,3,0
Allendale,12/22/2022,1.104451586,1.005257465,0.822,0,3,0
Allendale,12/23/2022,1.112559904,1.005257465,0.799,0,3,0
Allendale,12/24/2022,1.121595307,1.005257465,0.833,0,4,0
Anderson,12/11/2022,1.12480219,1.113670836,17.942,10,27,0
Anderson,12/12/2022,1.12986214,1.109176569,15.725,8,24,0
Anderson,12/13/2022,1.140455245,1.106356704,15.229,8,23,44
