,County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
1,Abbeville,12/11/2022,1.092847483,0.981925905,6.549,2,12,7
2,Abbeville,12/12/2022,1.089876768,0.982137442,6.6,2,12,7
3,Abbeville,12/13/2022,1.092447145,0.984050214,6.665,2,12,7
4,Abbeville,12/14/2022,1.099851202,0.987839758,6.757,2,12,7
5,Abbeville,12/15/2022,1.109726713,0.9931705,6.754,2,12,7
6,Abbeville,12/16/2022,1.119491188,0.99974072,6.673,2,13,7
7,Abbeville,12/17/2022,1.125067676,1.007774591,6.814,2,13,7
8,Abbeville,12/18/2022,1.126822574,1.014806509,6.884,2,13,7
9,Abbeville,12/19/2022,1.125528622,1.024786592,7.009,2,13,7
10,Abbeville,12/20/2022,1.121003313,1.033270001,6.956,2,13,5
11,Abbeville,12/21/2022,1.117662008,1.041624546,7.015,2,14,5
12,Abbeville,12/22/2022,1.113839425,1.049880028,7.132,2,14,5
13,Abbeville,12/23/2022,1.11271732,1.057242155,7.312,1,15,5
14,Abbeville,12/24/2022,1.112146289,1.063303232,7.356,2,15,5
15,Aiken,12/11/2022,1.394112251,3.174330473,96.928,77,118,38
16,Aiken,12/12/2022,1.395053772,3.153301001,111.43,91,132,38
17,Aiken,12/13/2022,1.40452649,3.137696028,143.03,119,171,29
18,Aiken,12/14/2022,1.416123784,3.114613771,186.975,156,218.025,29
19,Aiken,12/15/2022,1.428448539,3.10721612,246.745,209,285,29
20,Aiken,12/16/2022,1.436480531,3.086092472,323.311,271,378.025,29
21,Aiken,12/17/2022,1.442591086,3.088484764,424.906,363,487.025,29
22,Aiken,12/18/2022,1.441477815,3.088524818,557.433,480,641,29
23,Aiken,12/19/2022,1.43289445,3.091298342,733.631,640.975,842,29
24,Aiken,12/20/2022,1.42228718,3.096875906,968.288,840,1102.05,37
25,Aiken,12/21/2022,1.412219726,3.095716953,1273.089,1101.975,1443.05,37
26,Aiken,12/22/2022,1.403508238,3.094491482,1671.879,1460.975,1895.2,37
27,Aiken,12/23/2022,1.398223103,3.092202425,2196.404,1916.95,2485.125,37
28,Aiken,12/24/2022,1.394135644,3.091830015,2887.607,2520.825,3284.2,37
29,Allendale,12/11/2022,1.061285266,1.016920686,0.713,0,3,1
30,Allendale,12/12/2022,1.061976826,1.014103413,0.783,0,3,1
31,Allendale,12/13/2022,1.066604415,1.010136366,0.816,0,3,0
32,Allendale,12/14/2022,1.07644987,1.008294821,0.879,0,3,0
33,Allendale,12/15/2022,1.089640088,1.006663203,0.84,0,3,0
34,Allendale,12/16/2022,1.098635653,1.004772067,0.869,0,3,0
35,Allendale,12/17/2022,1.103670282,1.00147891,0.859,0,3.025,0
36,Allendale,12/18/2022,1.102065548,0.997393072,0.891,0,4,0
37,Allendale,12/19/2022,1.099959312,0.991350353,0.87,0,3,0
38,Allendale,12/20/2022,1.096910686,0.982591808,0.871,0,4,0
