Date,Rt_actual,Rt_forecast,Case_actual,Case_forecast,Rt_lower95,Case_lower95,Rt_upper95,Case_upper95,County
12/11/2022,0.977660183,1.084483865,7,8,0.813971799,2,1.338327685,15,Abbeville
12/12/2022,0.966588377,1.084483865,7,8,0.813971799,2,1.338327685,17,Abbeville
12/13/2022,0.953154356,1.084483865,7,8,0.813971799,2,1.338327685,17,Abbeville
12/14/2022,0.935948182,1.084483865,7,8,0.813971799,2,1.338327685,18,Abbeville
12/15/2022,0.921493248,1.084483865,7,9,0.813971799,2,1.338327685,18,Abbeville
12/16/2022,0.912285479,1.084483865,7,9,0.813971799,2,1.338327685,20,Abbeville
12/17/2022,0.901946685,1.084483865,7,9,0.813971799,2,1.338327685,19,Abbeville
12/18/2022,0.897283654,1.084483865,7,9,0.813971799,2,1.338327685,21,Abbeville
12/19/2022,0.898270643,1.084483865,7,9,0.813971799,2,1.338327685,23,Abbeville
12/20/2022,0.897065526,1.084483865,5,10,0.813971799,2,1.338327685,26,Abbeville
12/21/2022,0.897334344,1.084483865,5,10,0.813971799,2,1.338327685,26.025,Abbeville
12/22/2022,0.901102147,1.084483865,5,10,0.813971799,2,1.338327685,28,Abbeville
12/23/2022,0.915573646,1.084483865,5,10,0.813971799,2,1.338327685,29,Abbeville
12/24/2022,0.932167573,1.084483865,5,10,0.813971799,2,1.338327685,30,Abbeville
12/25/2022,0.948580939,1.084483865,5,11,0.813971799,2,1.338327685,34,Abbeville
12/26/2022,0.965086442,1.084483865,5,11,0.813971799,2,1.338327685,35.025,Abbeville
12/27/2022,0.983361559,1.084483865,6,11,0.813971799,2,1.338327685,42,Abbeville
12/28/2022,0.999009023,1.084483865,6,11,0.813971799,2,1.338327685,43,Abbeville
12/29/2022,1.006464566,1.084483865,6,12,0.813971799,1,1.338327685,45,Abbeville
12/30/2022,1.009495024,1.084483865,6,12,0.813971799,1,1.338327685,45,Abbeville
12/31/2022,1.005303149,1.084483865,6,12,0.813971799,1,1.338327685,50,Abbeville
1/1/2023,0.998400247,0.942577344,6,5,0.743547245,1,1.240911213,11,Abbeville
1/2/2023,0.991951671,0.942577344,6,5,0.743547245,1,1.240911213,11,Abbeville
1/3/2023,0.979765445,0.942577344,0,5,0.743547245,1,1.240911213,11,Abbeville
1/4/2023,0.96392138,0.942577344,5,5,0.743547245,1,1.240911213,12,Abbeville
1/5/2023,0.945747619,0.942577344,5,5,0.743547245,1,1.240911213,12,Abbeville
1/6/2023,0.930092471,0.942577344,5,5,0.743547245,1,1.240911213,12,Abbeville
1/7/2023,0.917916634,0.942577344,5,5,0.743547245,1,1.240911213,12,Abbeville
1/8/2023,0.910013562,0.942577344,5,4,0.743547245,1,1.240911213,12.025,Abbeville
1/9/2023,0.906076061,0.942577344,5,4,0.743547245,0,1.240911213,13,Abbeville
1/10/2023,0.91234814,0.942577344,9,5,0.743547245,1,1.240911213,13,Abbeville
1/11/2023,0.928343449,0.942577344,4,4,0.743547245,0,1.240911213,15,Abbeville
1/12/2023,0.951736706,0.942577344,4,4,0.743547245,0,1.240911213,15,Abbeville
1/13/2023,0.975516068,0.942577344,4,4,0.743547245,0,1.240911213,16,Abbeville
1/14/2023,1.000768504,0.942577344,4,4,0.743547245,0,1.240911213,17,Abbeville
1/15/2023,1.027637216,0.942577344,4,4,0.743547245,0,1.240911213,17,Abbeville
1/16/2023,1.055406901,0.942577344,4,4,0.743547245,0,1.240911213,17,Abbeville
1/17/2023,1.084914562,0.942577344,0,4,0.743547245,0,1.240911213,19,Abbeville
