County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
Abbeville,12/11/2022,1.092847483,1.100130286,7.358,2,13,7
Abbeville,12/12/2022,1.089876768,1.100043725,7.379,3,13,7
Abbeville,12/13/2022,1.092447145,1.101350288,7.564,3,14,7
Abbeville,12/14/2022,1.099851202,1.101851078,7.955,3,14,7
Abbeville,12/15/2022,1.109726713,1.102063747,7.847,3,14,7
Abbeville,12/16/2022,1.119491188,1.101466492,8.178,3,15,7
Abbeville,12/17/2022,1.125067676,1.101219955,8.225,3,14,7
Abbeville,12/18/2022,1.126822574,1.101049582,8.426,3,15,7
Abbeville,12/19/2022,1.125528622,1.100993793,8.498,3,16,7
Abbeville,12/20/2022,1.121003313,1.101177687,8.707,3,16,5
Abbeville,12/21/2022,1.117662008,1.101574505,9.06,3,17,5
Abbeville,12/22/2022,1.113839425,1.101761147,9.131,3,18,5
Abbeville,12/23/2022,1.11271732,1.101725957,9.217,3,17,5
Abbeville,12/24/2022,1.112146289,1.101278585,9.597,3,17.025,5
Abbeville,12/25/2022,1.112343347,1.101126477,9.804,3,19,5
Abbeville,12/26/2022,1.117128404,1.101091245,10.002,3,18,5
Abbeville,12/27/2022,1.125466788,1.10127377,10.211,3,19,6
Abbeville,12/28/2022,1.137073606,1.101670362,10.351,3,20,6
Abbeville,12/29/2022,1.144940142,1.101725957,10.539,3,21,6
Abbeville,12/30/2022,1.149738363,1.101725957,10.969,3,21,6
Abbeville,12/31/2022,1.149158764,1.101126477,11.066,3,22,6
Aiken,12/11/2022,1.394112251,1.382593001,41.754,30,54,38
Aiken,12/12/2022,1.395053772,1.368911446,45.213,33,59,38
Aiken,12/13/2022,1.40452649,1.35402814,48.606,35,64,29
Aiken,12/14/2022,1.416123784,1.341317213,51.238,38,65,29
Aiken,12/15/2022,1.428448539,1.322709759,54.54,40,70.025,29
Aiken,12/16/2022,1.436480531,1.30224544,57.37,41,74,29
Aiken,12/17/2022,1.442591086,1.285105259,60.069,43,78,29
Aiken,12/18/2022,1.441477815,1.265603249,62.786,47,81,29
Aiken,12/19/2022,1.43289445,1.250059275,64.776,48,84,29
Aiken,12/20/2022,1.42228718,1.234843299,67.578,48,86,37
Aiken,12/21/2022,1.412219726,1.21889114,70.504,53,91,37
Aiken,12/22/2022,1.403508238,1.202988877,73.425,54,95.025,37
Aiken,12/23/2022,1.398223103,1.190030169,74.874,55,97.025,37
Aiken,12/24/2022,1.394135644,1.179636618,77.252,57,101,37
Aiken,12/25/2022,1.391399129,1.17031247,80.204,58,106,37
Aiken,12/26/2022,1.391169337,1.162606802,82.349,61,107,37
Aiken,12/27/2022,1.395162308,1.155785909,85.101,62,110.025,51
Aiken,12/28/2022,1.404889777,1.150052692,87.191,62.975,116,51
Aiken,12/29/2022,1.413215799,1.143446429,89.48,65.975,118,51
Aiken,12/30/2022,1.418506669,1.137306677,91.537,66,120,51
Aiken,12/31/2022,1.426258122,1.132400288,94.063,66,126,51
Allendale,12/11/2022,1.061285266,1.068732905,0.672,0,3,1
Allendale,12/12/2022,1.061976826,1.070398496,0.798,0,3,1
Allendale,12/13/2022,1.066604415,1.074762455,0.869,0,3,0
Allendale,12/14/2022,1.07644987,1.076980642,0.912,0,3,0
Allendale,12/15/2022,1.089640088,1.079959196,0.923,0,3,0
Allendale,12/16/2022,1.098635653,1.083311349,0.902,0,3,0
Allendale,12/17/2022,1.103670282,1.086512601,0.984,0,3.025,0
Allendale,12/18/2022,1.102065548,1.088740591,0.921,0,3.025,0
Allendale,12/19/2022,1.099959312,1.091491311,0.965,0,4,0
Allendale,12/20/2022,1.096910686,1.092809918,0.981,0,4,0
Allendale,12/21/2022,1.100049846,1.093160863,0.978,0,4,0
Allendale,12/22/2022,1.104451586,1.092390242,1.038,0,4,0
Allendale,12/23/2022,1.112559904,1.092227882,1.095,0,4,0
Allendale,12/24/2022,1.121595307,1.092044253,1.017,0,4,0
Allendale,12/25/2022,1.132815938,1.09210277,1.146,0,5,0
Allendale,12/26/2022,1.146536188,1.09209994,1.052,0,5,0
Allendale,12/27/2022,1.159562379,1.092052429,1.137,0,5,1
Allendale,12/28/2022,1.172271638,1.091968687,1.111,0,5,1
Allendale,12/29/2022,1.189440515,1.091968687,1.139,0,5,1
Allendale,12/30/2022,1.205747731,1.091968687,1.198,0,5,1
Allendale,12/31/2022,1.214725972,1.091968687,1.245,0,5,1
Anderson,12/11/2022,1.12480219,1.119002524,18.264,10,28,0
Anderson,12/12/2022,1.12986214,1.117044453,16.037,9,24,0
Anderson,12/13/2022,1.140455245,1.115534602,15.339,8,23.025,44
Anderson,12/14/2022,1.153932396,1.114104988,15.533,8,24,57
Anderson,12/15/2022,1.170277415,1.113007424,16.052,8,25.025,15
Anderson,12/16/2022,1.184596131,1.113176473,16.47,9,26,0
Anderson,12/17/2022,1.19360949,1.113028589,16.272,8,26,0
Anderson,12/18/2022,1.194346213,1.113304595,15.811,7,25.025,0
Anderson,12/19/2022,1.188182653,1.113375635,16.546,8,27,0
