County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
Abbeville,12/11/2022,1.092847483,0.980038862,6.43,2,12,7
Abbeville,12/12/2022,1.089876768,0.980399633,6.515,2,12,7
Abbeville,12/13/2022,1.092447145,0.984840945,6.555,2,12,7
Abbeville,12/14/2022,1.099851202,0.993768533,6.534,2,12,7
Abbeville,12/15/2022,1.109726713,1.007042639,6.61,2,13,7
Abbeville,12/16/2022,1.119491188,1.023602994,6.764,2,13,7
Abbeville,12/17/2022,1.125067676,1.042664063,7.031,2,14,7
Abbeville,12/18/2022,1.126822574,1.064088266,6.981,2,13,7
Abbeville,12/19/2022,1.125528622,1.086750199,7.353,2,14,7
Abbeville,12/20/2022,1.121003313,1.109298456,7.57,2,15,5
Abbeville,12/21/2022,1.117662008,1.13103495,7.793,2,15,5
Abbeville,12/22/2022,1.113839425,1.151264691,8.226,2,16,5
Abbeville,12/23/2022,1.11271732,1.168682093,8.481,2,16,5
Abbeville,12/24/2022,1.112146289,1.182943687,8.737,2.975,18,5
Abbeville,12/25/2022,1.112343347,1.19400421,9.076,2,18,5
Abbeville,12/26/2022,1.117128404,1.201539531,9.709,3,19,5
Abbeville,12/27/2022,1.125466788,1.205747522,9.874,3,20,6
Abbeville,12/28/2022,1.137073606,1.207615528,10.167,3,20,6
Abbeville,12/29/2022,1.144940142,1.207762832,10.64,3,20,6
Abbeville,12/30/2022,1.149738363,1.206468994,10.83,3,22,6
Abbeville,12/31/2022,1.149158764,1.204631897,11.571,3,22,6
Aiken,12/11/2022,1.394112251,3.165654401,94.538,76,113,38
Aiken,12/12/2022,1.395053772,3.157322147,109.054,90,128.025,38
Aiken,12/13/2022,1.40452649,3.164122118,138.195,115,163,29
Aiken,12/14/2022,1.416123784,3.183583607,182.26,152,213,29
Aiken,12/15/2022,1.428448539,3.212191023,240.02,203,279.025,29
Aiken,12/16/2022,1.436480531,3.24670823,318.717,274.975,368.025,29
Aiken,12/17/2022,1.442591086,3.283706564,424.195,369,488,29
Aiken,12/18/2022,1.441477815,3.321036896,565.119,488,643.025,29
Aiken,12/19/2022,1.43289445,3.357679997,754.706,659.975,852.025,29
Aiken,12/20/2022,1.42228718,3.393201182,1011.33,885,1149,37
Aiken,12/21/2022,1.412219726,3.425819668,1360.518,1202,1533,37
Aiken,12/22/2022,1.403508238,3.454050277,1828.504,1595.975,2059.125,37
Aiken,12/23/2022,1.398223103,3.478693058,2461.368,2162.95,2777.025,37
Aiken,12/24/2022,1.394135644,3.498934412,3321.336,2943.675,3745.15,37
Aiken,12/25/2022,1.391399129,3.515304204,4484.86,3944,5036.05,37
