,County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
1,Abbeville,12/11/2022,1.092847483,0.981925905,6.669,2,12,7
2,Abbeville,12/12/2022,1.089876768,0.982137442,6.683,2,12,7
3,Abbeville,12/13/2022,1.092447145,0.984050214,6.719,2,13,7
4,Abbeville,12/14/2022,1.099851202,0.987839758,6.678,2,12,7
5,Abbeville,12/15/2022,1.109726713,0.9931705,6.744,2,12,7
6,Abbeville,12/16/2022,1.119491188,0.99974072,6.677,2,12,7
7,Abbeville,12/17/2022,1.125067676,1.007774591,6.848,2,13,7
8,Abbeville,12/18/2022,1.126822574,1.014806509,6.859,2,13,7
9,Abbeville,12/19/2022,1.125528622,1.024786592,6.907,2,13,7
10,Abbeville,12/20/2022,1.121003313,1.033270001,6.842,2,13,5
11,Abbeville,12/21/2022,1.117662008,1.041624546,6.98,2,13.025,5
12,Abbeville,12/22/2022,1.113839425,1.049880028,7.04,1.975,14,5
13,Abbeville,12/23/2022,1.11271732,1.057242155,7.086,2,14,5
14,Abbeville,12/24/2022,1.112146289,1.063303232,7.303,2,14,5
15,Abbeville,12/25/2022,1.112343347,1.071201801,7.452,2,14,5
16,Abbeville,12/26/2022,1.117128404,1.078107715,7.633,2,15,5
17,Abbeville,12/27/2022,1.125466788,1.086707711,7.784,2,15.025,6
18,Abbeville,12/28/2022,1.137073606,1.094522238,7.986,2,16,6
19,Abbeville,12/29/2022,1.144940142,1.101510525,8.17,2,17,6
20,Abbeville,12/30/2022,1.149738363,1.10923028,8.299,2,18,6
21,Abbeville,12/31/2022,1.149158764,1.116425037,8.681,2,18,6
22,Aiken,12/11/2022,1.394112251,3.174330473,96.519,77,115,38
23,Aiken,12/12/2022,1.395053772,3.153301001,111.874,92,132,38
24,Aiken,12/13/2022,1.40452649,3.137696028,142.992,119,170,29
25,Aiken,12/14/2022,1.416123784,3.114613771,187.572,157,218,29
26,Aiken,12/15/2022,1.428448539,3.10721612,246.893,210,286.025,29
27,Aiken,12/16/2022,1.436480531,3.086092472,324.192,275.975,374,29
28,Aiken,12/17/2022,1.442591086,3.088484764,425.887,366.975,486,29
29,Aiken,12/18/2022,1.441477815,3.088524818,559.586,487.95,636,29
30,Aiken,12/19/2022,1.43289445,3.091298342,734.846,641,846,29
31,Aiken,12/20/2022,1.42228718,3.096875906,969.884,852,1109,37
32,Aiken,12/21/2022,1.412219726,3.095716953,1274.641,1114.925,1445.05,37
33,Aiken,12/22/2022,1.403508238,3.094491482,1674.661,1472.95,1904,37
34,Aiken,12/23/2022,1.398223103,3.092202425,2200.193,1932.975,2495.1,37
35,Aiken,12/24/2022,1.394135644,3.091830015,2892.435,2539.8,3264.025,37
36,Aiken,12/25/2022,1.391399129,3.090673923,3802.366,3350.925,4296.05,37
37,Aiken,12/26/2022,1.391169337,3.088738203,4992.257,4391.975,5636.225,37
