,County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
1,Abbeville,12/11/2022,1.092847483,1.098709106,7.367,2,14,7
2,Abbeville,12/12/2022,1.089876768,1.101754904,7.486,3,13,7
3,Abbeville,12/13/2022,1.092447145,1.107485771,7.578,3,13,7
4,Abbeville,12/14/2022,1.099851202,1.120080829,7.952,3,14,7
5,Abbeville,12/15/2022,1.109726713,1.132580042,8.108,3,15,7
6,Abbeville,12/16/2022,1.119491188,1.148478866,8.482,3,15,7
7,Abbeville,12/17/2022,1.125067676,1.167647839,8.91,3,16,7
8,Abbeville,12/18/2022,1.126822574,1.189370394,9.241,3,17,7
9,Abbeville,12/19/2022,1.125528622,1.210979342,9.651,3,18,7
10,Abbeville,12/20/2022,1.121003313,1.229780197,10.147,3.975,18,5
11,Abbeville,12/21/2022,1.117662008,1.244596839,10.913,4,20,5
12,Abbeville,12/22/2022,1.113839425,1.255933404,11.418,4,20,5
13,Abbeville,12/23/2022,1.11271732,1.265660882,11.991,4,21,5
14,Abbeville,12/24/2022,1.112146289,1.268920064,12.782,4,23,5
15,Abbeville,12/25/2022,1.112343347,1.271268964,13.25,5,24,5
16,Abbeville,12/26/2022,1.117128404,1.274976969,13.993,5,25,5
17,Abbeville,12/27/2022,1.125466788,1.273574352,14.967,5,27,6
18,Abbeville,12/28/2022,1.137073606,1.27280736,15.655,6,29,6
19,Abbeville,12/29/2022,1.144940142,1.273450851,16.636,6,30,6
20,Abbeville,12/30/2022,1.149738363,1.272563457,17.344,6,31,6
21,Abbeville,12/31/2022,1.149158764,1.270612121,18.434,7,33,6
22,Aiken,12/11/2022,1.394112251,1.380553961,42.177,30,55,38
23,Aiken,12/12/2022,1.395053772,1.365169048,45.038,33,59,38
24,Aiken,12/13/2022,1.40452649,1.356066704,48.536,36,62,29
25,Aiken,12/14/2022,1.416123784,1.337619424,51.729,38,66,29
26,Aiken,12/15/2022,1.428448539,1.330195785,55.12,40,70,29
27,Aiken,12/16/2022,1.436480531,1.325770974,58.31,44,74,29
28,Aiken,12/17/2022,1.442591086,1.318555355,61.535,45,79.025,29
29,Aiken,12/18/2022,1.441477815,1.31356883,65.257,48,85,29
30,Aiken,12/19/2022,1.43289445,1.315004706,69.633,50.975,90.025,29
