County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
Abbeville,12/11/2022,1.092847483,1.100130286,7,2,13,7
Abbeville,12/12/2022,1.089876768,1.093815791,7,3,12,7
Abbeville,12/13/2022,1.092447145,1.09760053,7,2,12,7
Abbeville,12/14/2022,1.099851202,1.096819731,8,3,13,7
Abbeville,12/15/2022,1.109726713,1.096204235,8,3,13,7
Abbeville,12/16/2022,1.119491188,1.099350816,8,3,13,7
Abbeville,12/17/2022,1.125067676,1.098383617,8,3,14,7
Abbeville,12/18/2022,1.126822574,1.101016605,8,3,14,7
Abbeville,12/19/2022,1.125528622,1.101068704,8,3,14,7
Abbeville,12/20/2022,1.121003313,1.101302043,8,3,14,5
Abbeville,12/21/2022,1.117662008,1.101686663,8,3,14,5
Abbeville,12/22/2022,1.113839425,1.101705552,9,3,15,5
Abbeville,12/23/2022,1.11271732,1.101761147,9,3,15,5
Abbeville,12/24/2022,1.112146289,1.101453866,9,3,15,5
Abbeville,12/25/2022,1.112343347,1.112102823,7,2,13,5
Abbeville,12/26/2022,1.117128404,1.112248925,7,2,12,5
Abbeville,12/27/2022,1.125466788,1.112041377,7,2,12,6
Abbeville,12/28/2022,1.137073606,1.112222245,6,2,12,6
Abbeville,12/29/2022,1.144940142,1.112074795,6,2,11,6
Abbeville,12/30/2022,1.149738363,1.112241558,6,2,11,6
Abbeville,12/31/2022,1.149158764,1.112121056,7,2,12,6
Abbeville,1/1/2023,1.143270894,1.111222878,7,2,13,6
Abbeville,1/2/2023,1.129588324,1.111187457,7,2,13,6
Abbeville,1/3/2023,1.109420411,1.111041536,7,2,13,0
Abbeville,1/4/2023,1.080827498,1.111060849,7,3,13,5
Abbeville,1/5/2023,1.046982113,1.111288169,7,3,13,5
Abbeville,1/6/2023,1.011542691,1.111288169,7,2,13,5
Abbeville,1/7/2023,0.977593321,1.111288169,7,3,13,5
Abbeville,1/8/2023,0.9485781,0.964954898,5,1,10,5
Abbeville,1/9/2023,0.923842968,0.94352668,4,1,9,5
Abbeville,1/10/2023,0.906862927,0.94271495,4,1,8,9
Abbeville,1/11/2023,0.89868023,0.94054827,4,1,8,4
Abbeville,1/12/2023,0.897007993,0.931302437,4,1,8,4
