County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
Abbeville,12/11/2022,1.092847483,0.990522891,6,2,12,7
Abbeville,12/12/2022,1.089876768,0.987356779,7,2,11,7
Abbeville,12/13/2022,1.092447145,0.992365295,7,2,11,7
Abbeville,12/14/2022,1.099851202,0.995039078,7,2,12,7
Abbeville,12/15/2022,1.109726713,0.996033334,7,2,12,7
Abbeville,12/16/2022,1.119491188,1.00041379,7,2,13,7
Abbeville,12/17/2022,1.125067676,0.99964281,7,2,12,7
Abbeville,12/18/2022,1.126822574,0.91800143,6,2,12,7
Abbeville,12/19/2022,1.125528622,0.910402151,6,2,11,7
Abbeville,12/20/2022,1.121003313,0.927931451,6,2,12,5
Abbeville,12/21/2022,1.117662008,0.932360093,6,2,12,5
Abbeville,12/22/2022,1.113839425,0.938349375,6,2,12,5
Abbeville,12/23/2022,1.11271732,0.946074951,6,2,12,5
Abbeville,12/24/2022,1.112146289,0.948566214,6,2,12,5
Abbeville,12/25/2022,1.112343347,0.938530898,6,2,11,5
Abbeville,12/26/2022,1.117128404,0.95367997,6,1,11,5
Abbeville,12/27/2022,1.125466788,0.953411402,5,1,10,6
Abbeville,12/28/2022,1.137073606,0.956930703,5,1,10,6
Abbeville,12/29/2022,1.144940142,0.965455291,5,1,10,6
Abbeville,12/30/2022,1.149738363,0.965896086,5,1,10,6
Abbeville,12/31/2022,1.149158764,0.975419996,5,1,10,6
Abbeville,1/1/2023,1.143270894,1.003380378,5,1,10,6
Abbeville,1/2/2023,1.129588324,0.99901844,5,1,10,6
Abbeville,1/3/2023,1.109420411,0.998787807,6,2,10,0
Abbeville,1/4/2023,1.080827498,0.998564958,6,2,11,5
Abbeville,1/5/2023,1.046982113,0.997548894,6,2,11,5
Abbeville,1/6/2023,1.011542691,0.997394028,6,2,11,5
Abbeville,1/7/2023,0.977593321,0.997374207,6,1,11,5
Abbeville,1/8/2023,0.9485781,0.924540057,5,1,10,5
Abbeville,1/9/2023,0.923842968,0.912696697,4,1,9,5
Abbeville,1/10/2023,0.906862927,0.923509792,4,1,9,9
Abbeville,1/11/2023,0.89868023,0.921073753,4,1,9,4
Abbeville,1/12/2023,0.897007993,0.92222512,4,1,8,4
Abbeville,1/13/2023,0.900742755,0.927179669,4,1,9,4
Abbeville,1/14/2023,0.91096874,0.92650373,4,1,9,4
Abbeville,1/15/2023,0.925320699,0.994200978,5,1,10,4
Abbeville,1/16/2023,0.943860226,1.009710322,5,1,11,4
Abbeville,1/17/2023,0.962195693,1.00276261,5,1,11,0
Abbeville,1/18/2023,0.979195831,0.996165918,5,1,10,4
Abbeville,1/19/2023,0.991811327,0.998107077,5,1,10,4
Abbeville,1/20/2023,0.998655727,0.993086671,5,1,9,4
Abbeville,1/21/2023,0.999651951,0.992847969,4,1,9,4
Abbeville,1/22/2023,0.997853346,1.102840172,4,1,8,4
Abbeville,1/23/2023,0.993934398,1.083673169,4,1,8,4
Abbeville,1/24/2023,0.986708674,1.086355141,4,0,8,8
Abbeville,1/25/2023,0.978612864,1.080858899,4,0,8,5
Abbeville,1/26/2023,0.972212023,1.074746937,4,1,8,5
Abbeville,1/27/2023,0.967516695,1.07389296,4,1,8,5
Abbeville,1/28/2023,0.965822516,1.068789909,4,1,8,5
Abbeville,1/29/2023,0.96581185,0.933512893,4,1,9,5
Abbeville,1/30/2023,0.968462833,0.914681954,4,1,9,5
Abbeville,1/31/2023,0.971910615,0.925887602,5,1,9,5
Abbeville,2/1/2023,0.97778201,0.92815051,5,1,9,5
Abbeville,2/2/2023,0.983643354,0.92723658,5,1,10,5
Abbeville,2/3/2023,0.987393649,0.931446239,5,1,9,5
Abbeville,2/4/2023,0.986495247,0.932313307,5,1,9,5
Abbeville,2/5/2023,0.98401087,0.889546881,4,1,9,5
Abbeville,2/6/2023,0.981315577,0.888569061,4,1,9,5
Abbeville,2/7/2023,0.978158175,0.894064208,4,1,9,3
Abbeville,2/8/2023,0.974037477,0.896061221,4,1,9,3
Abbeville,2/9/2023,0.969909594,0.89696835,4,1,9,3
Abbeville,2/10/2023,0.97027855,0.89869617,4,1,9,3
Abbeville,2/11/2023,0.975327498,0.89917289,4,1,9,3
Abbeville,2/12/2023,0.986270689,0.882971666,4,1,8,3
Abbeville,2/13/2023,1.001648299,0.883918996,4,1,8,3
Abbeville,2/14/2023,1.020222506,0.885700053,3,0,7,4
Abbeville,2/15/2023,1.042011831,0.886702373,3,0,7,4
Abbeville,2/16/2023,1.062825992,0.886993288,3,0,7,4
Abbeville,2/17/2023,1.080499222,0.887861226,3,0,6,4
Abbeville,2/18/2023,1.091756267,0.888100742,3,0,6,4
Abbeville,2/19/2023,1.095020078,0.889206393,3,0,7,4
Abbeville,2/20/2023,1.087919179,0.88937203,3,0,7,4
Abbeville,2/21/2023,1.070435216,0.887820788,3,0,7,0
Abbeville,2/22/2023,1.040906298,0.887422665,3,0,8,2
Abbeville,2/23/2023,1.003704423,0.887264586,3,0,7,2
Abbeville,2/24/2023,0.962094417,0.887122467,3,0,8,2
Abbeville,2/25/2023,0.919301003,0.887130024,3,0,7,2
Abbeville,2/26/2023,0.878794582,0.846006168,3,0,6,2
Abbeville,2/27/2023,0.842336557,0.828853358,2,0,6,2
Abbeville,2/28/2023,0.809418408,0.844773847,2,0,5,4
Abbeville,3/1/2023,0.780759689,0.843265273,2,0,5,2
Abbeville,3/2/2023,0.758701056,0.845816051,2,0,4,2
Abbeville,3/3/2023,0.741575044,0.85032531,2,0,5,2
Abbeville,3/4/2023,0.731678825,0.851868582,2,0,5,2
Aiken,12/11/2022,1.394112251,3.220566935,76,61,94,38
Aiken,12/12/2022,1.395053772,3.20447519,90,70,109,38
Aiken,12/13/2022,1.40452649,3.219685611,109,89,130,29
Aiken,12/14/2022,1.416123784,3.225808816,133,112,155,29
Aiken,12/15/2022,1.428448539,3.221639048,161,137,186,29
