County,Date,Rt_actual,Rt_forecast,Case_forecast,Case_lower95,Case_upper95,Case_actual
Abbeville,12/11/2022,1.092847483,1.152799427,7,3,13,7
Abbeville,12/12/2022,1.089876768,1.128453324,7,2,13,7
Abbeville,12/13/2022,1.092447145,1.109960598,7,3,13,7
Abbeville,12/14/2022,1.099851202,1.078331492,7,2,13,7
Abbeville,12/15/2022,1.109726713,1.041526154,7,2,13,7
Abbeville,12/16/2022,1.119491188,1.031465354,7,3,13,7
Abbeville,12/17/2022,1.125067676,1.031391221,7,2,13,7
Abbeville,12/18/2022,1.126822574,1.00363339,7,2,13,7
Abbeville,12/19/2022,1.125528622,1.00535314,7,2,12,7
Abbeville,12/20/2022,1.121003313,0.990607854,7,3,12,5
Abbeville,12/21/2022,1.117662008,0.985340116,7,2,12,5
Abbeville,12/22/2022,1.113839425,1.007595543,7,3,13,5
Abbeville,12/23/2022,1.11271732,1.009627242,7,2,12,5
Abbeville,12/24/2022,1.112146289,0.991610804,7,2,12,5
Abbeville,12/25/2022,1.112343347,1.000490149,6,2,12,5
Abbeville,12/26/2022,1.117128404,1.003513909,6,2,11,5
Abbeville,12/27/2022,1.125466788,0.997371636,6,1,11,6
Abbeville,12/28/2022,1.137073606,0.990946337,6,2,10,6
Abbeville,12/29/2022,1.144940142,0.981570464,5,1,10,6
Abbeville,12/30/2022,1.149738363,0.986039032,5,1,10,6
Abbeville,12/31/2022,1.149158764,0.979810736,5,1,11,6
Abbeville,1/1/2023,1.143270894,0.968238891,5,1,10,6
Abbeville,1/2/2023,1.129588324,0.951189098,5,1,10,6
Abbeville,1/3/2023,1.109420411,0.929339886,5,1,10,0
Abbeville,1/4/2023,1.080827498,0.921600368,5,1,10,5
Abbeville,1/5/2023,1.046982113,0.908909904,5,1,9,5
Abbeville,1/6/2023,1.011542691,0.897777603,5,1,10,5
Abbeville,1/7/2023,0.977593321,0.89932059,5,1,9,5
Abbeville,1/8/2023,0.9485781,0.900051733,5,1,9,5
Abbeville,1/9/2023,0.923842968,0.899390947,4,1,8,5
Abbeville,1/10/2023,0.906862927,0.888290622,4,1,9,9
Abbeville,1/11/2023,0.89868023,0.899853164,4,1,8,4
Abbeville,1/12/2023,0.897007993,0.91608104,4,1,8,4
Abbeville,1/13/2023,0.900742755,0.933620218,4,1,9,4
Abbeville,1/14/2023,0.91096874,0.945306976,4,1,9,4
Abbeville,1/15/2023,0.925320699,0.962935274,4,1,9,4
Abbeville,1/16/2023,0.943860226,0.986032928,4,1,9,4
Abbeville,1/17/2023,0.962195693,0.999052552,4,1,9,0
Abbeville,1/18/2023,0.979195831,1.010965975,4,1,8,4
Abbeville,1/19/2023,0.991811327,1.008863849,4,1,8,4
Abbeville,1/20/2023,0.998655727,0.998879723,4,1,8,4
Abbeville,1/21/2023,0.999651951,0.998949739,4,1,8,4
Abbeville,1/22/2023,0.997853346,0.992231018,4,1,8,4
Abbeville,1/23/2023,0.993934398,0.981279181,3,0,8,4
Abbeville,1/24/2023,0.986708674,0.956416151,3,0,7,8
Abbeville,1/25/2023,0.978612864,0.944595963,3,0,7,5
Abbeville,1/26/2023,0.972212023,0.932304448,3,0,7,5
Abbeville,1/27/2023,0.967516695,0.92143844,3,0,7,5
Abbeville,1/28/2023,0.965822516,0.903409123,3,0,7,5
Abbeville,1/29/2023,0.96581185,0.906199034,3,0,7,5
Abbeville,1/30/2023,0.968462833,0.904512552,3,0,7,5
Abbeville,1/31/2023,0.971910615,0.931980571,3,0,7,5
Abbeville,2/1/2023,0.97778201,0.957706021,3,0,7,5
Abbeville,2/2/2023,0.983643354,0.976369885,3,0,7,5
Abbeville,2/3/2023,0.987393649,0.996593006,3,0,7,5
Abbeville,2/4/2023,0.986495247,1.026265372,3,0,7,5
Abbeville,2/5/2023,0.98401087,1.048487741,5,1,10,5
Abbeville,2/6/2023,0.981315577,1.090541907,6,1,11,5
Abbeville,2/7/2023,0.978158175,1.123041595,6,1,11,3
Abbeville,2/8/2023,0.974037477,1.128643156,6,2,11,3
Abbeville,2/9/2023,0.969909594,1.119462557,6,2,11,3
Abbeville,2/10/2023,0.97027855,1.103326925,6,2,10,3
Abbeville,2/11/2023,0.975327498,1.103507739,6,2,11,3
Abbeville,2/12/2023,0.986270689,1.065117078,6,2,11,3
Abbeville,2/13/2023,1.001648299,1.031975544,6,2,11,3
Abbeville,2/14/2023,1.020222506,1.002087504,6,2,11,4
Abbeville,2/15/2023,1.042011831,0.96327602,6,1,10,4
Abbeville,2/16/2023,1.062825992,0.956392419,6,2,11,4
Abbeville,2/17/2023,1.080499222,0.936880206,6,2,11,4
Abbeville,2/18/2023,1.091756267,0.896251435,5,2,10,4
Abbeville,2/19/2023,1.095020078,0.870697722,3,0,7,4
Abbeville,2/20/2023,1.087919179,0.870459001,3,0,7,4
Abbeville,2/21/2023,1.070435216,0.872960397,3,0,7,0
Abbeville,2/22/2023,1.040906298,0.882824455,3,0,7,2
Abbeville,2/23/2023,1.003704423,0.881667934,3,0,7,2
Abbeville,2/24/2023,0.962094417,0.879406269,3,0,7,2
Abbeville,2/25/2023,0.919301003,0.871055467,3,0,7,2
Abbeville,2/26/2023,0.878794582,0.887361926,3,0,7,2
Abbeville,2/27/2023,0.842336557,0.885693508,3,0,6,2
Abbeville,2/28/2023,0.809418408,0.880946728,3,0,6,4
Abbeville,3/1/2023,0.780759689,0.885917599,3,0,6,2
Abbeville,3/2/2023,0.758701056,0.874957102,3,0,6,2
Abbeville,3/3/2023,0.741575044,0.871883897,3,0,6,2
Abbeville,3/4/2023,0.731678825,0.885788896,3,0,7,2
Aiken,12/11/2022,1.394112251,3.689981202,88,69,106,38
Aiken,12/12/2022,1.395053772,3.713609305,106,86,127,38
Aiken,12/13/2022,1.40452649,3.72884969,131,108,154,29
Aiken,12/14/2022,1.416123784,3.73328136,161,136,187,29
Aiken,12/15/2022,1.428448539,3.7170485,201,173,229,29
Aiken,12/16/2022,1.436480531,3.779606023,251,222,283,29
Aiken,12/17/2022,1.442591086,3.855837722,322,284,355,29
Aiken,12/18/2022,1.441477815,3.762010554,403,364,444,29
Aiken,12/19/2022,1.43289445,3.802274012,526,482,573,29
Aiken,12/20/2022,1.42228718,3.750542005,665,614,719,37
Aiken,12/21/2022,1.412219726,3.640858465,815,761,873,37
Aiken,12/22/2022,1.403508238,3.657041494,1028,970,1090,37
Aiken,12/23/2022,1.398223103,3.625388647,1286,1209,1358,37
Aiken,12/24/2022,1.394135644,3.513508976,1572,1497,1652,37
Aiken,12/25/2022,1.391399129,3.464117589,110,90,130,37
Aiken,12/26/2022,1.391169337,3.361415109,119,98,141,37
Aiken,12/27/2022,1.395162308,3.343954745,134,111,157,51
Aiken,12/28/2022,1.404889777,3.25600173,153,130,178,51
Aiken,12/29/2022,1.413215799,3.20543266,180,152,207,51
Aiken,12/30/2022,1.418506669,3.190469301,220,193,248,51
Aiken,12/31/2022,1.426258122,3.138349824,269,240,303,51
Aiken,1/1/2023,1.431190698,3.114606209,337,301,373,51
Aiken,1/2/2023,1.428776928,3.174225547,429,390,473,51
Aiken,1/3/2023,1.417818414,3.208122587,538,494,584,0
Aiken,1/4/2023,1.39867545,3.196169669,647,600,698,45
Aiken,1/5/2023,1.373608628,3.255843061,793,741,848,45
Aiken,1/6/2023,1.347639826,3.277732802,977,919,1036,45
Aiken,1/7/2023,1.323912288,3.22464041,1185,1116,1248,45
Aiken,1/8/2023,1.304377284,3.203162381,141,117,163,45
Aiken,1/9/2023,1.288517782,3.157009256,140,119,161,45
Aiken,1/10/2023,1.279339774,3.133711587,147,124,170,97
Aiken,1/11/2023,1.274594228,3.144309459,163,140,189,52
Aiken,1/12/2023,1.276548745,3.140260492,195,169,224,52
Aiken,1/13/2023,1.285504132,3.114312521,248,218,281,52
Aiken,1/14/2023,1.298732176,3.084781019,308,275,346,52
Aiken,1/15/2023,1.313570706,3.04091983,380,342,416,52
Aiken,1/16/2023,1.329918569,3.04810939,472,426,513,52
Aiken,1/17/2023,1.34508476,3.08894421,584,538,629,0
Aiken,1/18/2023,1.35827795,3.047134273,686,638,736,44
Aiken,1/19/2023,1.368435953,3.08022524,831,773,890,44
Aiken,1/20/2023,1.375403384,3.131451844,1025,962,1083,44
Aiken,1/21/2023,1.380260304,3.232112349,1298,1227,1374,44
Aiken,1/22/2023,1.38279153,3.278066066,145,120,171,44
Aiken,1/23/2023,1.383838279,3.326505466,149,124,173,44
Aiken,1/24/2023,1.385976744,3.295035749,155,130,182,77
Aiken,1/25/2023,1.390298922,3.321487459,174,149,200,33
Aiken,1/26/2023,1.396423867,3.38782681,214,188,243,33
Aiken,1/27/2023,1.408494333,3.41259238,278,248,311,33
Aiken,1/28/2023,1.424631065,3.407498195,356,318,396,33
Aiken,1/29/2023,1.442612373,3.50671331,464,420,506,33
Aiken,1/30/2023,1.460519315,3.454759483,578,531,629,33
Aiken,1/31/2023,1.478053806,3.48953734,729,677,781,28
Aiken,2/1/2023,1.492830666,3.559033363,906,848,962,28
Aiken,2/2/2023,1.504726716,3.560537914,1116,1041,1179,28
Aiken,2/3/2023,1.513375263,3.546666187,1389,1319,1468,28
Aiken,2/4/2023,1.51784323,3.681791005,1815,1732,1895,28
Aiken,2/5/2023,1.520010039,3.692848401,117,96,138,28
Aiken,2/6/2023,1.522912,3.757108439,125,104,146,28
Aiken,2/7/2023,1.523470528,3.708215757,136,113,160,28
Aiken,2/8/2023,1.52257036,3.830635734,161,137,185,28
Aiken,2/9/2023,1.523929005,3.975425639,203,176,230,28
Aiken,2/10/2023,1.527385876,3.970062352,259,228,292,28
Aiken,2/11/2023,1.532276299,3.9177876,336,302,370,28
Aiken,2/12/2023,1.539914092,4.090863519,461,421,502,28
Aiken,2/13/2023,1.550110617,4.046616932,601,555,648,28
Aiken,2/14/2023,1.560569834,4.15073976,796,738,852,27
Aiken,2/15/2023,1.568266033,4.287997031,1038,977,1095,27
Aiken,2/16/2023,1.570572791,4.299291063,1323,1251,1400,27
Aiken,2/17/2023,1.569710242,4.338537043,1729,1647,1809,27
Aiken,2/18/2023,1.563004498,4.638233117,2412,2320,2508,27
Aiken,2/19/2023,1.549846532,4.684549585,131,107,155,27
Aiken,2/20/2023,1.530537193,4.836487159,148,126,173,27
Aiken,2/21/2023,1.507878394,4.94907945,177,151,204,0
Aiken,2/22/2023,1.485715809,5.100666419,223,193,254,23
Aiken,2/23/2023,1.46235705,5.208507474,294,261,326,23
Aiken,2/24/2023,1.441823345,5.256896153,401,364,440,23
Aiken,2/25/2023,1.423284976,5.310857633,562,512,610,23
Aiken,2/26/2023,1.406875581,5.439952138,802,748,858,23
Aiken,2/27/2023,1.39121232,5.428380008,1115,1052,1178,23
Aiken,2/28/2023,1.377088702,5.492022833,1543,1472,1624,37
Aiken,3/1/2023,1.36348876,5.544064398,2105,2018,2199,14
Aiken,3/2/2023,1.351392925,5.507346726,2845,2733,2946,14
Aiken,3/3/2023,1.343185739,5.473379568,3877,3747,4006,14
Aiken,3/4/2023,1.340089884,5.560667457,5423,5282,5564,14
Allendale,12/11/2022,1.061285266,1.47525732,1,0,2,1
Allendale,12/12/2022,1.061976826,1.481571529,1,0,2,1
Allendale,12/13/2022,1.066604415,1.516952072,1,0,3,0
Allendale,12/14/2022,1.07644987,1.528234621,1,0,4,0
Allendale,12/15/2022,1.089640088,1.474175852,1,0,4,0
Allendale,12/16/2022,1.098635653,1.480990608,2,0,4,0
Allendale,12/17/2022,1.103670282,1.497147128,2,0,4,0
Allendale,12/18/2022,1.102065548,1.423084587,2,0,5,0
Allendale,12/19/2022,1.099959312,1.406706597,2,0,4,0
Allendale,12/20/2022,1.096910686,1.33858905,2,0,5,0
Allendale,12/21/2022,1.100049846,1.247170805,2,0,5,0
Allendale,12/22/2022,1.104451586,1.237565434,2,0,5,0
Allendale,12/23/2022,1.112559904,1.193398359,2,0,5,0
Allendale,12/24/2022,1.121595307,1.115814334,2,0,5,0
Allendale,12/25/2022,1.132815938,1.102506682,0,0,0,0
Allendale,12/26/2022,1.146536188,1.078495612,0,0,0,0
Allendale,12/27/2022,1.159562379,1.041585806,0,0,0,1
Allendale,12/28/2022,1.172271638,1.045810402,0,0,0,1
Allendale,12/29/2022,1.189440515,1.03248184,0,0,0,1
Allendale,12/30/2022,1.205747731,1.024159089,0,0,0,1
Allendale,12/31/2022,1.214725972,1.011928552,0,0,0,1
Allendale,1/1/2023,1.216287916,1.028304104,0,0,0,1
Allendale,1/2/2023,1.204834704,1.020134635,0,0,0,1
Allendale,1/3/2023,1.181092393,1.05675284,0,0,0,0
Allendale,1/4/2023,1.145628608,1.088518826,0,0,0,0
Allendale,1/5/2023,1.10206554,1.109565469,0,0,0,0
Allendale,1/6/2023,1.054737118,1.11876188,0,0,0,0
Allendale,1/7/2023,1.007080025,1.15959097,0,0,0,0
Allendale,1/8/2023,0.965281736,1.15941432,1,0,3,0
Allendale,1/9/2023,0.930696992,1.184047119,1,0,3,0
Allendale,1/10/2023,0.904550481,1.191753307,0,0,2,2
Allendale,1/11/2023,0.882485249,1.216481691,0,0,2,2
Allendale,1/12/2023,0.868469,1.219948058,0,0,1,2
Allendale,1/13/2023,0.862984312,1.224642281,0,0,1,2
Allendale,1/14/2023,0.861354139,1.252623501,0,0,2,2
Allendale,1/15/2023,0.868021785,1.252827065,0,0,2,2
Allendale,1/16/2023,0.881267724,1.245978508,0,0,2,2
Allendale,1/17/2023,0.90246003,1.249915277,0,0,2,0
Allendale,1/18/2023,0.925834842,1.259078921,0,0,1,1
Allendale,1/19/2023,0.951619542,1.268309479,0,0,1,1
Allendale,1/20/2023,0.97200715,1.286074806,0,0,0,1
Allendale,1/21/2023,0.991165864,1.27406534,0,0,0,1
Allendale,1/22/2023,1.010432665,1.269500225,2,0,5,1
Allendale,1/23/2023,1.028178613,1.264822366,2,0,5,1
Allendale,1/24/2023,1.042496156,1.270361079,2,0,5,1
Allendale,1/25/2023,1.051512529,1.22104063,1,0,4,1
Allendale,1/26/2023,1.053686503,1.171560745,1,0,4,1
Allendale,1/27/2023,1.050708092,1.143165029,1,0,4,1
Allendale,1/28/2023,1.047118228,1.134880273,2,0,4,1
Allendale,1/29/2023,1.04022307,1.095072148,2,0,4,1
Allendale,1/30/2023,1.02987762,1.096936763,2,0,5,1
Allendale,1/31/2023,1.017383482,1.058313674,2,0,5,1
Allendale,2/1/2023,1.002445743,1.028254426,2,0,5,1
Allendale,2/2/2023,0.98878255,1.023412787,2,0,4,1
Allendale,2/3/2023,0.975528325,1.013059869,2,0,4,1
Allendale,2/4/2023,0.963517132,0.963386391,2,0,4,1
Allendale,2/5/2023,0.953491337,0.975026066,1,0,3,1
Allendale,2/6/2023,0.947307735,0.968171598,1,0,3,1
Allendale,2/7/2023,0.943330204,0.978921497,1,0,3,1
Allendale,2/8/2023,0.941260846,0.959313245,1,0,3,1
Allendale,2/9/2023,0.946787325,0.943966545,1,0,3,1
Allendale,2/10/2023,0.952092515,0.938033473,1,0,3,1
Allendale,2/11/2023,0.955519972,0.949583576,1,0,3,1
Allendale,2/12/2023,0.958426221,0.938132193,1,0,3,1
Allendale,2/13/2023,0.959466592,0.951408654,1,0,3,1
Allendale,2/14/2023,0.957454017,0.937658028,1,0,3,0
Allendale,2/15/2023,0.948210146,0.925894656,1,0,3,0
Allendale,2/16/2023,0.930930937,0.928059505,1,0,3,0
Allendale,2/17/2023,0.906654746,0.913330588,1,0,3,0
Allendale,2/18/2023,0.872288509,0.897936574,1,0,3,0
Allendale,2/19/2023,0.83785177,0.881735384,1,0,2,0
Allendale,2/20/2023,0.802925628,0.865023389,0,0,2,0
Allendale,2/21/2023,0.775048913,0.860025032,0,0,2,0
Allendale,2/22/2023,0.751359419,0.844555192,0,0,1,1
Allendale,2/23/2023,0.734820716,0.851798659,0,0,1,1
Allendale,2/24/2023,0.727056535,0.845483405,0,0,1,1
Allendale,2/25/2023,0.729250982,0.83621329,0,0,1,1
Allendale,2/26/2023,0.738381292,0.858950236,0,0,1,1
Allendale,2/27/2023,0.750733398,0.853647841,0,0,1,1
Allendale,2/28/2023,0.76288727,0.882942837,0,0,1,1
Allendale,3/1/2023,0.775332319,0.916511358,0,0,1,1
Allendale,3/2/2023,0.789674907,0.932652385,0,0,0,1
Allendale,3/3/2023,0.806798574,0.961548855,0,0,0,1
Allendale,3/4/2023,0.828586792,0.99330809,0,0,0,1
Anderson,12/11/2022,1.12480219,1.04631218,10,5,17,0
Anderson,12/12/2022,1.12986214,1.046620356,14,7,21,0
Anderson,12/13/2022,1.140455245,1.049568431,17,9,25,44
Anderson,12/14/2022,1.153932396,1.058235772,19,11,28,57
Anderson,12/15/2022,1.170277415,1.075284287,20,12,29,15
Anderson,12/16/2022,1.184596131,1.080660663,16,9,24,0
Anderson,12/17/2022,1.19360949,1.086896715,12,6,19,0
Anderson,12/18/2022,1.194346213,1.10392783,11,6,18,0
Anderson,12/19/2022,1.188182653,1.106488158,14,7,22,0
Anderson,12/20/2022,1.176960589,1.11332085,17,9,25,51
