Date,Rt_EpiNow,County
6/1/2020,1.120688558,Abbeville
6/2/2020,1.13086127,Abbeville
6/3/2020,1.142538414,Abbeville
6/4/2020,1.152981486,Abbeville
6/5/2020,1.154002224,Abbeville
6/6/2020,1.153026724,Abbeville
6/7/2020,1.152669278,Abbeville
6/8/2020,1.151836742,Abbeville
6/9/2020,1.151603253,Abbeville
6/10/2020,1.150096882,Abbeville
6/11/2020,1.142015179,Abbeville
6/12/2020,1.134598977,Abbeville
6/13/2020,1.126175075,Abbeville
6/14/2020,1.118088242,Abbeville
6/15/2020,1.118922225,Abbeville
6/16/2020,1.115306292,Abbeville
6/17/2020,1.108279844,Abbeville
6/18/2020,1.102667466,Abbeville
6/19/2020,1.094455266,Abbeville
6/20/2020,1.085768829,Abbeville
6/21/2020,1.07587603,Abbeville
6/22/2020,1.069702907,Abbeville
6/23/2020,1.062085877,Abbeville
6/24/2020,1.053245285,Abbeville
6/25/2020,1.048444883,Abbeville
6/26/2020,1.04102727,Abbeville
6/27/2020,1.03708978,Abbeville
6/28/2020,1.047422669,Abbeville
6/29/2020,1.064887646,Abbeville
6/30/2020,1.082308689,Abbeville
7/1/2020,1.097913064,Abbeville
7/2/2020,1.109326351,Abbeville
7/3/2020,1.130070625,Abbeville
7/4/2020,1.168246418,Abbeville
7/5/2020,1.220244055,Abbeville
7/6/2020,1.274775493,Abbeville
7/7/2020,1.322182791,Abbeville
7/8/2020,1.360206789,Abbeville
7/9/2020,1.380923212,Abbeville
7/10/2020,1.401229385,Abbeville
7/11/2020,1.4114261,Abbeville
7/12/2020,1.402447847,Abbeville
7/13/2020,1.376799326,Abbeville
7/14/2020,1.324403162,Abbeville
7/15/2020,1.244657182,Abbeville
7/16/2020,1.152469667,Abbeville
7/17/2020,1.065923352,Abbeville
7/18/2020,0.977712357,Abbeville
7/19/2020,0.909093558,Abbeville
7/20/2020,0.850323858,Abbeville
7/21/2020,0.802732241,Abbeville
7/22/2020,0.760786026,Abbeville
7/23/2020,0.741573186,Abbeville
7/24/2020,0.738121113,Abbeville
7/25/2020,0.746312815,Abbeville
7/26/2020,0.770735612,Abbeville
7/27/2020,0.807546257,Abbeville
7/28/2020,0.85137361,Abbeville
7/29/2020,0.897565171,Abbeville
7/30/2020,0.947166962,Abbeville
7/31/2020,0.989489152,Abbeville
8/1/2020,1.025022767,Abbeville
8/2/2020,1.045474911,Abbeville
8/3/2020,1.048892253,Abbeville
8/4/2020,1.03707014,Abbeville
8/5/2020,1.015503447,Abbeville
8/6/2020,0.99120557,Abbeville
8/7/2020,0.962531215,Abbeville
8/8/2020,0.930205922,Abbeville
8/9/2020,0.89795219,Abbeville
8/10/2020,0.868875881,Abbeville
8/11/2020,0.854889413,Abbeville
8/12/2020,0.851580383,Abbeville
8/13/2020,0.855771767,Abbeville
8/14/2020,0.86573856,Abbeville
8/15/2020,0.88545789,Abbeville
8/16/2020,0.916079431,Abbeville
8/17/2020,0.9548084,Abbeville
8/18/2020,1.001680484,Abbeville
8/19/2020,1.048996131,Abbeville
8/20/2020,1.097650865,Abbeville
8/21/2020,1.144715256,Abbeville
8/22/2020,1.185235695,Abbeville
8/23/2020,1.212885923,Abbeville
8/24/2020,1.234453983,Abbeville
8/25/2020,1.238760681,Abbeville
8/26/2020,1.230144103,Abbeville
8/27/2020,1.20936824,Abbeville
8/28/2020,1.169655387,Abbeville
8/29/2020,1.116644509,Abbeville
8/30/2020,1.057669985,Abbeville
8/31/2020,1.008946751,Abbeville
9/1/2020,0.968454966,Abbeville
9/2/2020,0.933006845,Abbeville
9/3/2020,0.90708009,Abbeville
9/4/2020,0.892561637,Abbeville
9/5/2020,0.886550267,Abbeville
9/6/2020,0.886757823,Abbeville
9/7/2020,0.900393874,Abbeville
9/8/2020,0.929097203,Abbeville
9/9/2020,0.96439169,Abbeville
9/10/2020,1.001800603,Abbeville
9/11/2020,1.040841989,Abbeville
9/12/2020,1.075528003,Abbeville
9/13/2020,1.112287817,Abbeville
9/14/2020,1.1395665,Abbeville
9/15/2020,1.155661716,Abbeville
9/16/2020,1.161798636,Abbeville
9/17/2020,1.156081485,Abbeville
9/18/2020,1.148661401,Abbeville
9/19/2020,1.136537883,Abbeville
9/20/2020,1.123178865,Abbeville
9/21/2020,1.115047874,Abbeville
9/22/2020,1.109893999,Abbeville
9/23/2020,1.112495393,Abbeville
9/24/2020,1.119029693,Abbeville
9/25/2020,1.125491684,Abbeville
9/26/2020,1.12852393,Abbeville
9/27/2020,1.128288513,Abbeville
9/28/2020,1.122545782,Abbeville
9/29/2020,1.106549931,Abbeville
9/30/2020,1.079571,Abbeville
10/1/2020,1.038438181,Abbeville
10/2/2020,0.985783828,Abbeville
10/3/2020,0.925086337,Abbeville
10/4/2020,0.859841655,Abbeville
10/5/2020,0.803321737,Abbeville
10/6/2020,0.758469026,Abbeville
10/7/2020,0.725223583,Abbeville
10/8/2020,0.705847976,Abbeville
10/9/2020,0.697695961,Abbeville
10/10/2020,0.705969258,Abbeville
10/11/2020,0.733124056,Abbeville
10/12/2020,0.770616997,Abbeville
10/13/2020,0.824214484,Abbeville
10/14/2020,0.893497941,Abbeville
10/15/2020,0.96937257,Abbeville
10/16/2020,1.049028895,Abbeville
10/17/2020,1.120227683,Abbeville
10/18/2020,1.182849413,Abbeville
10/19/2020,1.235578582,Abbeville
10/20/2020,1.271069414,Abbeville
10/21/2020,1.281613483,Abbeville
10/22/2020,1.267929649,Abbeville
10/23/2020,1.232992196,Abbeville
10/24/2020,1.189066785,Abbeville
10/25/2020,1.139316709,Abbeville
10/26/2020,1.088921843,Abbeville
10/27/2020,1.044135076,Abbeville
10/28/2020,1.00344069,Abbeville
10/29/2020,0.968379881,Abbeville
10/30/2020,0.937984408,Abbeville
10/31/2020,0.912686618,Abbeville
11/1/2020,0.895487605,Abbeville
11/2/2020,0.88284568,Abbeville
11/3/2020,0.875605975,Abbeville
11/4/2020,0.872975985,Abbeville
11/5/2020,0.870324074,Abbeville
11/6/2020,0.871012107,Abbeville
11/7/2020,0.88010644,Abbeville
11/8/2020,0.896644931,Abbeville
11/9/2020,0.917454322,Abbeville
11/10/2020,0.943119562,Abbeville
11/11/2020,0.969081798,Abbeville
11/12/2020,1.00180109,Abbeville
11/13/2020,1.041600331,Abbeville
11/14/2020,1.078090215,Abbeville
11/15/2020,1.112338193,Abbeville
11/16/2020,1.143248572,Abbeville
11/17/2020,1.171748902,Abbeville
11/18/2020,1.185376037,Abbeville
11/19/2020,1.191614116,Abbeville
11/20/2020,1.192434064,Abbeville
11/21/2020,1.188576433,Abbeville
11/22/2020,1.187234368,Abbeville
11/23/2020,1.186846094,Abbeville
11/24/2020,1.186248753,Abbeville
11/25/2020,1.176984886,Abbeville
11/26/2020,1.172326801,Abbeville
11/27/2020,1.168663273,Abbeville
11/28/2020,1.164207428,Abbeville
11/29/2020,1.157981861,Abbeville
11/30/2020,1.147282692,Abbeville
12/1/2020,1.130464691,Abbeville
12/2/2020,1.109679636,Abbeville
12/3/2020,1.085369862,Abbeville
12/4/2020,1.058000668,Abbeville
12/5/2020,1.033752689,Abbeville
12/6/2020,1.007111718,Abbeville
12/7/2020,0.983718926,Abbeville
12/8/2020,0.97009262,Abbeville
12/9/2020,0.962609926,Abbeville
12/10/2020,0.959259836,Abbeville
12/11/2020,0.962060703,Abbeville
12/12/2020,0.97240205,Abbeville
12/13/2020,0.987021316,Abbeville
12/14/2020,0.99889803,Abbeville
12/15/2020,1.005293152,Abbeville
12/16/2020,1.005187494,Abbeville
12/17/2020,1.001445457,Abbeville
12/18/2020,0.988842243,Abbeville
12/19/2020,0.967484983,Abbeville
12/20/2020,0.94425823,Abbeville
12/21/2020,0.918721468,Abbeville
12/22/2020,0.89433949,Abbeville
12/23/2020,0.874830532,Abbeville
12/24/2020,0.861793307,Abbeville
12/25/2020,0.860519343,Abbeville
12/26/2020,0.867929118,Abbeville
12/27/2020,0.885900969,Abbeville
12/28/2020,0.916754122,Abbeville
12/29/2020,0.955203696,Abbeville
12/30/2020,1.003282434,Abbeville
12/31/2020,1.059433149,Abbeville
1/1/2021,1.119513235,Abbeville
1/2/2021,1.176116276,Abbeville
1/3/2021,1.231536313,Abbeville
1/4/2021,1.286489861,Abbeville
1/5/2021,1.329942074,Abbeville
1/6/2021,1.35830825,Abbeville
1/7/2021,1.377876049,Abbeville
1/8/2021,1.389630667,Abbeville
1/9/2021,1.390541678,Abbeville
1/10/2021,1.386809854,Abbeville
1/11/2021,1.371845684,Abbeville
