Date,County,Rt_EpiNow
6/1/2020,Abbeville,1.435962325
6/2/2020,Abbeville,1.450584382
6/3/2020,Abbeville,1.459585824
6/4/2020,Abbeville,1.464743098
6/5/2020,Abbeville,1.460865448
6/6/2020,Abbeville,1.44816569
6/7/2020,Abbeville,1.430182049
6/8/2020,Abbeville,1.406250181
6/9/2020,Abbeville,1.378382683
6/10/2020,Abbeville,1.350061808
6/11/2020,Abbeville,1.32315238
6/12/2020,Abbeville,1.301066271
6/13/2020,Abbeville,1.280141407
6/14/2020,Abbeville,1.259259584
6/15/2020,Abbeville,1.242709218
6/16/2020,Abbeville,1.228558481
6/17/2020,Abbeville,1.214936265
6/18/2020,Abbeville,1.201396003
6/19/2020,Abbeville,1.186897648
6/20/2020,Abbeville,1.174908182
6/21/2020,Abbeville,1.163013293
6/22/2020,Abbeville,1.153851771
6/23/2020,Abbeville,1.142429219
6/24/2020,Abbeville,1.131174372
6/25/2020,Abbeville,1.120468021
6/26/2020,Abbeville,1.107857633
6/27/2020,Abbeville,1.096230693
6/28/2020,Abbeville,1.086101336
6/29/2020,Abbeville,1.079195754
6/30/2020,Abbeville,1.073707611
7/1/2020,Abbeville,1.070017788
7/2/2020,Abbeville,1.066245056
7/3/2020,Abbeville,1.065289933
7/4/2020,Abbeville,1.07006967
7/5/2020,Abbeville,1.079309252
7/6/2020,Abbeville,1.091100204
7/7/2020,Abbeville,1.102504788
7/8/2020,Abbeville,1.112581504
7/9/2020,Abbeville,1.118870951
7/10/2020,Abbeville,1.123776833
7/11/2020,Abbeville,1.126535024
7/12/2020,Abbeville,1.123019855
7/13/2020,Abbeville,1.115073949
7/14/2020,Abbeville,1.101896898
7/15/2020,Abbeville,1.082970466
7/16/2020,Abbeville,1.061689344
7/17/2020,Abbeville,1.041859103
7/18/2020,Abbeville,1.020961056
7/19/2020,Abbeville,1.00507339
7/20/2020,Abbeville,0.991631141
7/21/2020,Abbeville,0.982671583
7/22/2020,Abbeville,0.973784146
7/23/2020,Abbeville,0.97123484
7/24/2020,Abbeville,0.970185063
7/25/2020,Abbeville,0.748896073
7/26/2020,Abbeville,0.77320774
7/27/2020,Abbeville,0.809746313
7/28/2020,Abbeville,0.907273772
7/29/2020,Abbeville,0.957421757
7/30/2020,Abbeville,0.950947648
7/31/2020,Abbeville,0.94243697
8/1/2020,Abbeville,0.980485051
8/2/2020,Abbeville,0.977007138
8/3/2020,Abbeville,0.956358287
8/4/2020,Abbeville,0.925723779
8/5/2020,Abbeville,0.88200736
8/6/2020,Abbeville,0.870744395
8/7/2020,Abbeville,0.863412208
8/8/2020,Abbeville,0.857822842
8/9/2020,Abbeville,0.85590551
8/10/2020,Abbeville,0.85825355
8/11/2020,Abbeville,0.866672021
8/12/2020,Abbeville,0.878195323
8/13/2020,Abbeville,0.892865909
8/14/2020,Abbeville,0.907892179
8/15/2020,Abbeville,0.921037873
8/16/2020,Abbeville,0.933103678
8/17/2020,Abbeville,0.942822956
8/18/2020,Abbeville,0.949828512
8/19/2020,Abbeville,0.975357006
8/20/2020,Abbeville,0.999746019
8/21/2020,Abbeville,0.969444446
8/22/2020,Abbeville,0.974260525
8/23/2020,Abbeville,0.979768427
8/24/2020,Abbeville,0.982383688
8/25/2020,Abbeville,0.982500763
8/26/2020,Abbeville,0.979519955
8/27/2020,Abbeville,0.973599004
8/28/2020,Abbeville,0.963002738
8/29/2020,Abbeville,0.949526938
8/30/2020,Abbeville,0.936819337
8/31/2020,Abbeville,0.927132142
9/1/2020,Abbeville,0.920914588
9/2/2020,Abbeville,0.916683817
9/3/2020,Abbeville,0.918685225
9/4/2020,Abbeville,0.926067892
9/5/2020,Abbeville,0.939047537
9/6/2020,Abbeville,0.958082544
9/7/2020,Abbeville,0.982524531
9/8/2020,Abbeville,1.012096471
9/9/2020,Abbeville,1.049942264
9/10/2020,Abbeville,1.091602547
9/11/2020,Abbeville,1.133722746
9/12/2020,Abbeville,1.169561385
9/13/2020,Abbeville,1.195350797
9/14/2020,Abbeville,1.205673087
9/15/2020,Abbeville,1.19965242
9/16/2020,Abbeville,1.178180816
9/17/2020,Abbeville,1.141010373
9/18/2020,Abbeville,1.09348192
9/19/2020,Abbeville,1.045599924
9/20/2020,Abbeville,1.006315086
9/21/2020,Abbeville,0.978522926
9/22/2020,Abbeville,0.964388381
9/23/2020,Abbeville,0.960609404
9/24/2020,Abbeville,0.964262131
9/25/2020,Abbeville,0.974702462
9/26/2020,Abbeville,0.989779646
9/27/2020,Abbeville,1.008976002
9/28/2020,Abbeville,1.032823801
9/29/2020,Abbeville,1.060208699
9/30/2020,Abbeville,1.084350724
10/1/2020,Abbeville,1.105716449
10/2/2020,Abbeville,1.124100484
10/3/2020,Abbeville,1.133732558
10/4/2020,Abbeville,1.138008571
10/5/2020,Abbeville,1.138709757
10/6/2020,Abbeville,1.131599405
10/7/2020,Abbeville,1.118513299
10/8/2020,Abbeville,1.095174787
10/9/2020,Abbeville,1.06633492
10/10/2020,Abbeville,1.032675212
10/11/2020,Abbeville,1.000031363
10/12/2020,Abbeville,0.968130159
10/13/2020,Abbeville,0.942450852
10/14/2020,Abbeville,0.925227534
10/15/2020,Abbeville,0.913035219
10/16/2020,Abbeville,0.908836233
10/17/2020,Abbeville,0.907065921
10/18/2020,Abbeville,0.910032153
10/19/2020,Abbeville,0.91747746
10/20/2020,Abbeville,0.9290429
10/21/2020,Abbeville,0.941449548
10/22/2020,Abbeville,0.953305103
10/23/2020,Abbeville,0.963714052
10/24/2020,Abbeville,0.976251294
10/25/2020,Abbeville,0.988577421
10/26/2020,Abbeville,1.002409316
10/27/2020,Abbeville,1.016798667
10/28/2020,Abbeville,1.029437761
10/29/2020,Abbeville,1.038991902
10/30/2020,Abbeville,1.043230349
10/31/2020,Abbeville,1.042552438
11/1/2020,Abbeville,1.038292434
11/2/2020,Abbeville,1.033695415
11/3/2020,Abbeville,1.026899645
11/4/2020,Abbeville,1.021406563
11/5/2020,Abbeville,1.01577157
11/6/2020,Abbeville,1.009209321
11/7/2020,Abbeville,1.005766456
11/8/2020,Abbeville,1.003524792
11/9/2020,Abbeville,1.00380545
11/10/2020,Abbeville,1.006493243
11/11/2020,Abbeville,1.008956951
11/12/2020,Abbeville,1.014360484
11/13/2020,Abbeville,1.022783295
11/14/2020,Abbeville,1.077973112
11/15/2020,Abbeville,1.111923313
11/16/2020,Abbeville,1.044362457
11/17/2020,Abbeville,1.050521535
11/18/2020,Abbeville,1.05592095
11/19/2020,Abbeville,1.062792008
11/20/2020,Abbeville,1.073072436
11/21/2020,Abbeville,1.084519928
11/22/2020,Abbeville,1.099323816
11/23/2020,Abbeville,1.117083856
11/24/2020,Abbeville,1.138993527
11/25/2020,Abbeville,1.161904961
11/26/2020,Abbeville,1.187179295
11/27/2020,Abbeville,1.213600324
11/28/2020,Abbeville,1.238116591
11/29/2020,Abbeville,1.257843672
11/30/2020,Abbeville,1.270478235
12/1/2020,Abbeville,1.275171528
12/2/2020,Abbeville,1.272838508
12/3/2020,Abbeville,1.262802335
12/4/2020,Abbeville,1.245555946
12/5/2020,Abbeville,1.222452548
12/6/2020,Abbeville,1.195289806
12/7/2020,Abbeville,1.167828338
12/8/2020,Abbeville,1.141747603
12/9/2020,Abbeville,1.117178285
12/10/2020,Abbeville,1.096021229
12/11/2020,Abbeville,1.07698205
12/12/2020,Abbeville,1.063191495
12/13/2020,Abbeville,1.053523015
12/14/2020,Abbeville,1.046360123
12/15/2020,Abbeville,1.039417758
12/16/2020,Abbeville,1.033688625
12/17/2020,Abbeville,1.029248365
12/18/2020,Abbeville,1.024076193
12/19/2020,Abbeville,1.017262877
12/20/2020,Abbeville,1.011442316
12/21/2020,Abbeville,1.005236985
12/22/2020,Abbeville,0.999674117
12/23/2020,Abbeville,0.997022701
12/24/2020,Abbeville,0.998693539
12/25/2020,Abbeville,1.004757518
12/26/2020,Abbeville,1.013137333
12/27/2020,Abbeville,1.023841593
12/28/2020,Abbeville,1.037481258
12/29/2020,Abbeville,1.052824325
12/30/2020,Abbeville,1.068428585
12/31/2020,Abbeville,1.08415821
1/1/2021,Abbeville,1.100500496
1/2/2021,Abbeville,1.114150503
1/3/2021,Abbeville,1.126080324
1/4/2021,Abbeville,1.134553016
1/5/2021,Abbeville,1.138261602
1/6/2021,Abbeville,1.136798492
1/7/2021,Abbeville,1.13205056
1/8/2021,Abbeville,1.123001782
1/9/2021,Abbeville,1.111791038
1/10/2021,Abbeville,1.099083378
1/11/2021,Abbeville,1.083788021
1/12/2021,Abbeville,1.067047848
1/13/2021,Abbeville,1.04998942
1/14/2021,Abbeville,1.03248901
1/15/2021,Abbeville,1.014159883
1/16/2021,Abbeville,0.995027414
1/17/2021,Abbeville,0.973642357
1/18/2021,Abbeville,1.011785645
1/19/2021,Abbeville,1.042509848
1/20/2021,Abbeville,0.994065696
1/21/2021,Abbeville,0.953108017
1/22/2021,Abbeville,0.919222833
1/23/2021,Abbeville,0.896256202
1/24/2021,Abbeville,0.853845805
1/25/2021,Abbeville,0.85408457
1/26/2021,Abbeville,0.858852905
1/27/2021,Abbeville,0.868811905
1/28/2021,Abbeville,0.88385593
1/29/2021,Abbeville,0.903585241
1/30/2021,Abbeville,0.925680871
1/31/2021,Abbeville,0.946003114
2/1/2021,Abbeville,0.96473619
2/2/2021,Abbeville,0.981006133
2/3/2021,Abbeville,0.992824633
2/4/2021,Abbeville,0.99668877
2/5/2021,Abbeville,0.992760489
2/6/2021,Abbeville,0.980697499
2/7/2021,Abbeville,0.961453557
2/8/2021,Abbeville,0.939445948
2/9/2021,Abbeville,0.913576932
2/10/2021,Abbeville,0.887371115
2/11/2021,Abbeville,0.861862641
2/12/2021,Abbeville,0.838920378
2/13/2021,Abbeville,0.819162508
2/14/2021,Abbeville,0.804656961
2/15/2021,Abbeville,0.796533074
2/16/2021,Abbeville,0.793437726
2/17/2021,Abbeville,0.794474092
2/18/2021,Abbeville,0.798722971
2/19/2021,Abbeville,0.804743327
2/20/2021,Abbeville,0.811571908
2/21/2021,Abbeville,0.818641215
2/22/2021,Abbeville,0.812715535
2/23/2021,Abbeville,0.82699569
2/24/2021,Abbeville,0.841354867
2/25/2021,Abbeville,0.861137573
2/26/2021,Abbeville,0.881399092
2/27/2021,Abbeville,0.907454019
2/28/2021,Abbeville,0.849526538
3/1/2021,Abbeville,0.85725345
3/2/2021,Abbeville,0.865574142
3/3/2021,Abbeville,0.874108225
3/4/2021,Abbeville,0.883658398
3/5/2021,Abbeville,0.893591452
3/6/2021,Abbeville,0.904496217
3/7/2021,Abbeville,0.915401973
3/8/2021,Abbeville,0.926983028
3/9/2021,Abbeville,0.938227547
3/10/2021,Abbeville,0.949213961
3/11/2021,Abbeville,0.957767481
3/12/2021,Abbeville,0.964221891
3/13/2021,Abbeville,0.966416907
3/14/2021,Abbeville,0.966163456
3/15/2021,Abbeville,0.962891146
3/16/2021,Abbeville,0.957776656
3/17/2021,Abbeville,0.952523921
3/18/2021,Abbeville,0.947884276
3/19/2021,Abbeville,0.941690754
3/20/2021,Abbeville,0.936024081
3/21/2021,Abbeville,0.929868033
3/22/2021,Abbeville,0.923358674
3/23/2021,Abbeville,0.919536385
3/24/2021,Abbeville,0.917864897
3/25/2021,Abbeville,0.92042222
3/26/2021,Abbeville,0.925054865
3/27/2021,Abbeville,0.931869625
3/28/2021,Abbeville,0.940970779
3/29/2021,Abbeville,0.951357484
3/30/2021,Abbeville,0.965142782
3/31/2021,Abbeville,0.981113542
4/1/2021,Abbeville,0.998257824
4/2/2021,Abbeville,1.015236873
4/3/2021,Abbeville,1.033872209
4/4/2021,Abbeville,1.051443533
4/5/2021,Abbeville,1.069669706
4/6/2021,Abbeville,1.085495393
4/7/2021,Abbeville,1.098161633
4/8/2021,Abbeville,1.105542364
4/9/2021,Abbeville,1.107876832
4/10/2021,Abbeville,0.918947376
4/11/2021,Abbeville,0.742415582
4/12/2021,Abbeville,0.73711772
